Status,Published Date,Category,Published Title,URL,3 Step Buyers Journey,Gated,Content Type,
Published,10/7/15,Hyperconverged,3 signs you’re ready for a better approach to infrastructure management (Cisco vs. HP),http://h30499.www3.hp.com/t5/Converged-Data-Center/3-signs-you-re-ready-for-a-better-approach-to-infrastructure/ba-p/6799992,Earned Attention,No,blog post,
Published,9/25/15,Hyperconverged,Up and running in 15 minutes: a hyper-converged datacenter for your remote or branch offices,http://community.hpe.com/t5/Infrastructure-Insights/Up-and-running-in-15-minutes-a-hyper-converged-datacenter-for/ba-p/6788528,,,,
Published,9/17/15,Hyperconverged,Hyperconverged Infrastructure: a software-defined data center in a box,http://h30507.www3.hp.com/t5/Converged-Infrastructure/Hyper-Converged-Infrastructure-a-Software-Defined-Data-Center-in/ba-p/187412#.VfsaW01RGM8,Earned Attention,No,blog post,
Published,9/4/15,Hyperconverged,HP Composable Infrastructure: Programmable IT for the new breed of applications video (Paul Miller),http://h22228.www2.hpe.com/video-gallery/us/en/products/EMV5922/hp-composable-infrastructure-programmable-it-for-the-new-breed-of-applications/video/,Earned Attention,No,video,
Published,9/4/15,Hyperconverged,Speed delivery of IT services with HP Composable Infrastructure video (Paul Miller),http://h22228.www2.hpe.com/video-gallery/us/en/products/EMV5923/speed-delivery-of-it-services-with-hp-composable-infrastructure/video/,Earned Attention,No,video,
Published,8/28/15,Hyperconverged,Infographic: Actual TechMedia: Top 10 Things You Need To Consider When Buying a Hyperconverged Infrastructure,http://h20195.www2.hp.com/v2/GetDocument.aspx?docname=4AA6-0963ENW,Earned Attention,No,infographic,
Published,8/19/15,Hyperconverged,Gartner Magic Quadrant for Integrated Systems shows HP in the leaders quadrant,http://h30507.www3.hp.com/t5/Converged-Infrastructure/Gartner-Magic-Quadrant-for-Integrated-Systems-shows-HP-in-the/ba-p/186638,,No,blog post,
Published,8/13/15,Hyperconverged,ConvergedSystem 250-HC StoreVirtual Chalk Talk,https://www.youtube.com/watch?v=kuQ-gTm1q0Q&feature=youtu.be,Engage & Persuade,No,video,
Published,8/11/15,Hyperconverged,Gartner Magic Quadrant on Integrated Systems (MQ report),http://www.gartner.com/reprints/hp-essn-vol2?id=1-2L2BFA9&ct=150811&st=sb,Engage & Persuade,No,analyst paper,
Published,6/1/15,Hyperconverged,Actual TechMedia: Top 10 Things You Need To Consider When Buying a Hyperconverged Infrastructure,http://h20195.www2.hp.com/V2/GetDocument.aspx?docname=4AA5-9724ENW&cc=us&lc=en,Earned Attention,No,buyers guide,
Published,5/18/15,Hyperconverged,Taneja Group: Solution Positioning for HP ConvergedSystem Hyper-Converged Products,http://h20195.www2.hp.com/v2/getpdf.aspx/4AA5-8496ENW.pdf?ver=1.0,,,analyst paper,
Published,5/13/15,Hyperconverged,Hyper-Converged Chalk Talk,https://www.youtube.com/watch?v=Y_TzdiQUEs4,Engage & Persuade,No,video,
Published,4/22/15,Hyperconverged,Reasons why you need Hyper-Converged Infographic,http://www8.hp.com/h20195/v2/GetDocument.aspx?docname=4AA5-7523ENW,Earned Attention,No,infographic,
Published,3/1/15,Hyperconverged,How hyper-convergence can help IT,http://www8.hp.com/h20195/v2/GetDocument.aspx?docname=4AA5-7480ENW,Earned Attention,No,ebook,
Published,3/1/15,Hyperconverged,Current Analysis Report - HP ConvergedSystem Platforms,http://h20195.www2.hp.com/v2/GetDocument.aspx?docname=4AA5-9429ENW,Engage & Persuade,No,ebook,
Published,2/11/15,Hyperconverged,Reasons why you need Hyper-Converged eBook,http://www8.hp.com/h20195/v2/GetDocument.aspx?docname=4AA5-7480ENW,Earned Attention,Yes,ebook,
Published,,Hyperconverged,The Benefits of Hyperconverged Infrastructure ChalkTalk,https://www.youtube.com/watch?v=Q_h5TjnmNXU&feature=youtu.be,Engage & Persuade,,video,
Published,,Hyperconverged,Let's talk HyperConverged with Mark Peters from ESG,https://www.youtube.com/watch?v=cMCjF4_jgsw&feature=youtu.be,Earned Attention,,video,
Published,,Hyperconverged,Current Analysis Report on HyperConverged,http://h20195.www2.hp.com/v2/GetDocument.aspx?docname=4AA5-9429ENW,,,white paper,
Published,,Hyperconverged,Social Listening study – iWEsocial,,,No,analyst paper,
