,city,state_l,metro,revenue,url,industry,workers,rank,id,yrs_on_list,growth,ifmid,ifiid,state_s,company
2192,Knoxville,Tennessee,"Knoxville, TN",7324691,pyxl,Advertising & Marketing,55,2193,23596,4,167.486,99,5,TN,Pyxl
2200,Minneapolis,Minnesota,Minneapolis,8794984,gokart-labs,Advertising & Marketing,48,2201,37705,2,166.6941,13,5,MN,GoKart Labs
2206,Philadelphia,Pennsylvania,Philadelphia,6321669,delphic-digital,Advertising & Marketing,54,2207,37558,2,166.0991,49,5,PA,Delphic Digital
2209,Springfield,Ohio,"Springfield, OH",6954490,upward-brand-interactions,Advertising & Marketing,45,2210,26553,3,166.0382,372,5,OH,Upward Brand Interactions
2212,Los Angeles,California,Los Angeles,13992702,sensis,Advertising & Marketing,80,2213,367,8,165.5388,2,5,CA,Sensis
2233,Castle Rock,Colorado,Denver,9880563,data-dynamix,Advertising & Marketing,18,2234,37323,2,163.0774,30,5,CO,Data-Dynamix
2261,St. Petersburg,Florida,Tampa,45040581,kobie-marketing,Advertising & Marketing,170,2262,18579,7,160.6142,7,5,FL,Kobie Marketing
2279,Minneapolis,Minnesota,Minneapolis,12492664,sixspeed,Advertising & Marketing,54,2280,43933,1,159.0274,13,5,MN,SixSpeed
2326,Boston,Massachusetts,Boston,22879449,verndale,Advertising & Marketing,170,2327,2449,10,155.9525,6,5,MA,Verndale
2387,Redmond,Washington,Seattle,33691761,driveshop,Advertising & Marketing,147,2388,37565,2,151.7036,23,5,WA,DriveShop
2389,Columbia,Missouri,"Jefferson City, MO",13948925,woodruff-sweitzer,Advertising & Marketing,78,2390,43961,1,151.5305,236,5,MO,Woodruff Sweitzer
2397,Chicago,Illinois,Chicago,7395669,walker-sands-communications,Advertising & Marketing,62,2398,23639,4,150.9714,17,5,IL,Walker Sands Communications
2405,Brooklyn Heights,Ohio,Cleveland,5027000,proforma-signature-solutions,Advertising & Marketing,15,2406,24002,7,150.0995,79,5,OH,Proforma Signature Solutions
2417,Scottsdale,Arizona,Phoenix,5603657,leadmd,Advertising & Marketing,31,2418,43966,1,149.1273,46,5,AZ,LeadMD
2456,Boca Raton,Florida,Miami,13191473,citytwist,Advertising & Marketing,130,2457,18025,6,145.5508,1,5,FL,Citytwist
2487,Victor,New York,"Rochester, NY",71315744,dixon-schwabl,Advertising & Marketing,102,2488,20592,3,143.5102,71,5,NY,Dixon Schwabl
2506,SAN DIEGO,California,San Diego,9055478,dzap-group,Advertising & Marketing,69,2507,26389,3,141.9025,11,5,CA,DZAP Group
2513,Phoenix,Arizona,Phoenix,7921397,owens-harkey-advertising,Advertising & Marketing,36,2514,23228,4,141.5447,46,5,AZ,Owens Harkey Advertising
2531,Evanston,Illinois,Chicago,39133021,l2tmedia,Advertising & Marketing,69,2532,21478,5,140.2732,17,5,IL,L2TMedia
2572,West Chicago,Illinois,Chicago,11531348,evo-exhibits,Advertising & Marketing,46,2574,23150,4,137.149,17,5,IL,Evo Exhibits
2582,Des Moines,Iowa,"Des Moines-West Des Moines, IA",9984402,ls2group,Advertising & Marketing,51,2584,44020,1,136.522,161,5,IA,LS2group
2584,San Antonio,Texas,"San Antonio, TX",8180744,ce-group,Advertising & Marketing,71,2586,2332,2,136.4803,14,5,TX,CE Group
2585,Pearl River,New York,New York City,15121737,reach-marketing,Advertising & Marketing,42,2587,44021,1,136.4059,9,5,NY,Reach Marketing
2594,cincinnati,Ohio,Cincinnati,17528408,curiosity-advertising,Advertising & Marketing,50,2596,37710,2,135.8505,47,5,OH,Curiosity Advertising
2614,Greensboro,North Carolina,"Greensboro-High Point, NC",12245591,sfw,Advertising & Marketing,50,2616,22134,5,134.8321,287,5,NC,SFW
2616,Framingham,Massachusetts,Boston,6955710,stone-temple-consulting,Advertising & Marketing,50,2618,44028,1,134.7986,6,5,MA,Stone Temple Consulting
2637,Overland Park,Kansas,"Kansas City, MO-KS",8554028,avenue-link,Advertising & Marketing,14,2639,26205,3,133.5138,21,5,KS,Avenue Link
2650,Springville,Utah,"Provo-Orem, UT",7969419,circlepixcom,Advertising & Marketing,90,2651,6098,4,132.8002,48,5,UT,Circlepix.com
2652,The Woodlands,Texas,Houston,14398465,bubbleup,Advertising & Marketing,40,2653,21479,5,132.5152,22,5,TX,BubbleUp
2687,Philadelphia,Pennsylvania,Philadelphia,12154213,seer-interactive,Advertising & Marketing,105,2688,37706,2,130.5335,49,5,PA,Seer Interactive
2694,Denver,Colorado,Denver,10471736,lrxd,Advertising & Marketing,33,2695,24572,4,130.3635,30,5,CO,LRXD
2712,Elmhurst,Illinois,Chicago,9209205,the-core-organization,Advertising & Marketing,40,2713,44055,1,129.5409,17,5,IL,The CORE Organization
2727,San Diego,California,San Diego,31268987,internet-marketing,Advertising & Marketing,87,2728,21111,5,128.5191,11,5,CA,Internet Marketing
2734,Chadds Ford,Pennsylvania,Philadelphia,7832482,freerateupdatecom,Advertising & Marketing,27,2735,25636,3,128.1659,49,5,PA,FreeRateUpdate.com
2760,Irvine,California,Los Angeles,14221855,restoration-media,Advertising & Marketing,53,2761,18155,6,126.6711,2,5,CA,Restoration Media
2802,Farmingdale,New York,New York City,78152061,wilen,Advertising & Marketing,66,2803,2872,6,124.6417,9,5,NY,Wilen
2812,Chicago,Illinois,Chicago,5765600,punchkick-interactive,Advertising & Marketing,46,2813,23452,4,123.9068,17,5,IL,Punchkick Interactive
2815,Austin,Texas,Austin,8363053,springbox,Advertising & Marketing,85,2816,44086,1,123.8464,18,5,TX,Springbox
2828,Duluth,Minnesota,"Duluth, MN-WI",9241154,aimclear,Advertising & Marketing,34,2829,21296,5,122.9352,343,5,MN,Aimclear
2829,Saratoga Springs,New York,"Albany-Schenectady-Troy, NY",21268065,fingerpaint,Advertising & Marketing,120,2830,23391,4,122.9382,146,5,NY,Fingerpaint
2850,Fort Wayne,Indiana,"Fort Wayne, IN",9003495,britton-marketing-design-group,Advertising & Marketing,45,2850,37802,2,122.0305,162,5,IN,Britton Marketing & Design Group
2855,Baltimore,Maryland,Baltimore,5601000,idfive,Advertising & Marketing,30,2855,44099,1,121.734,35,5,MD,idfive
2859,El Segundo,California,Los Angeles,9293357,pk4-media,Advertising & Marketing,16,2859,25075,3,121.4877,2,5,CA,PK4 Media
2862,Waltham,Massachusetts,Boston,27494319,zoominfo,Advertising & Marketing,137,2862,5806,4,121.3409,6,5,MA,ZoomInfo
2863,Springfield,Missouri,"Springfield, MO",5007281,classy-llama,Advertising & Marketing,41,2863,23205,4,121.3313,102,5,MO,Classy Llama
2867,San Francisco,California,San Francisco,5896311,six-spoke-media,Advertising & Marketing,7,2867,24990,3,120.9404,4,5,CA,Six Spoke Media
2924,Plano,Texas,Dallas,5722896,c-level-marketing-and-sales-consulting,Advertising & Marketing,45,2924,44114,1,117.5559,8,5,TX,C-Level Marketing and Sales Consulting
2952,Sewell,New Jersey,Philadelphia,13790675,synergixx,Advertising & Marketing,175,2952,44127,1,116.1018,49,5,NJ,Synergixx
2971,Falmouth,Maine,"Portland-South Portland, ME",16178037,tidesmart-global,Advertising & Marketing,58,2971,44132,1,115.2821,1018,5,ME,TideSmart Global
2972,Portland,Oregon,"Portland, OR",5261000,eroi,Advertising & Marketing,42,2972,1864,5,115.2647,10,5,OR,eROI
2974,Minneapolis,Minnesota,Minneapolis,7764368,nina-hale,Advertising & Marketing,55,2974,23916,4,115.0902,13,5,MN,Nina Hale
2982,Farmington Hills,Michigan,Detroit,27641707,eview-360,Advertising & Marketing,39,2982,17888,4,114.8446,50,5,MI,Eview 360
3004,Allentown,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",6014055,liquid-interactive,Advertising & Marketing,47,3004,24295,4,113.9665,93,5,PA,Liquid Interactive
3038,Norwalk,Connecticut,"Bridgeport-Stamford-Norwalk, CT",37002293,inspira-marketing,Advertising & Marketing,358,3038,21004,4,112.5497,58,5,CT,Inspira Marketing
3055,Baltimore,Maryland,Baltimore,22147842,planit,Advertising & Marketing,101,3055,9398,5,111.7314,35,5,MD,Planit
3088,Corte Madera,California,San Francisco,13363428,mogo-marketing-and-media,Advertising & Marketing,40,3088,37506,2,110.0348,4,5,CA,Mogo Marketing and Media
3127,Newport Beach,California,Los Angeles,74931000,lifescript,Advertising & Marketing,123,3127,2672,10,108.3095,2,5,CA,Lifescript
3159,Farwell,Minnesota,,5293830,lakes-area-graphix-and-signworx,Advertising & Marketing,40,3159,37726,2,106.5682,998,5,MN,Lakes Area GraphiX and SignWorX
