,city,state_l,metro,revenue,url,industry,workers,rank,id,yrs_on_list,growth,state_s,company
2700,Spanish Fork,Utah,"Provo-Orem, UT",5790460,five-star-franchising,Business Products & Services,49,2718,25397,134.3629,2,UT,Five Star Franchising
2701,Walnut Creek,California,San Francisco,119985695,yapstone,Financial Services,263,2719,662,134.3135,8,CA,YapStone
2702,Fort Wayne,Indiana,"Fort Wayne, IN",7962034,britton-marketing-design-group,Advertising & Marketing,47,2720,37802,134.1488,1,IN,Britton Marketing & Design Group
2703,Horsham,Pennsylvania,Philadelphia,36790960,lra-worldwide,Business Products & Services,285,2721,24346,134.1161,3,PA,LRA Worldwide
2704,Louisville,Kentucky,"Louisville/Jefferson County, KY-IN",12111918,tom-drexler-plumbing-air-electric,Construction,90,2722,37803,134.1044,1,KY,"Tom Drexler Plumbing, Air & Electric"
2705,Atlanta,Georgia,Atlanta,2099458,step-logic,Advertising & Marketing,9,2723,37804,134.0118,1,GA,Step Logic
2706,Anaheim,California,Los Angeles,7375773,emazinglights,Consumer Products & Services,43,2724,25783,133.7898,2,CA,EmazingLights
2707,Santa Clara,California,San Jose,5201777,bbi-technologies,IT Services,63,2725,23768,133.7673,3,CA,BBI Technologies
2708,Thermal,California,"El Centro, CA",11619151,desert-jet,Logistics & Transportation,22,2726,19415,133.7147,5,CA,Desert Jet
2709,Asheville,North Carolina,"Asheville, NC",56736830,pli,Business Products & Services,365,2727,3738,133.7025,6,NC,PLI
2710,Aurora,Illinois,Chicago,32095667,quality-logo-products,Advertising & Marketing,93,2728,4938,133.534,5,IL,Quality Logo Products
2711,Lenexa,Kansas,"Kansas City, MO-KS",17724792,rhythm-engineering,Government Services,49,2729,19254,133.4756,3,KS,Rhythm Engineering
2712,San Francisco,California,San Francisco,4239929,schox-patent-group,Business Products & Services,10,2730,23728,133.4001,3,CA,Schox Patent Group
2713,Cleveland,Ohio,Cleveland,5385743,thunder-tech,Advertising & Marketing,48,2731,24092,133.3407,3,OH,Thunder Tech
2714,Fishers,Indiana,"Indianapolis, IN",89001138,stratosphere-quality,Manufacturing,1500,2732,23258,133.2639,3,IN,Stratosphere Quality
2715,Clearwater,Florida,Tampa,7360462,hawaiian-moon,Consumer Products & Services,16,2733,25424,133.1994,2,FL,Hawaiian Moon
2716,Scottsdale,Arizona,Phoenix,24918666,gps-insight,Software,69,2734,17461,133.1138,6,AZ,GPS Insight
2717,Tinton Falls,New Jersey,New York City,68471322,riverroad-waste-solutions,Environmental Services,68,2735,25595,133.0393,2,NJ,RiverRoad Waste Solutions
2718,Nashville,Tennessee,"Nashville-Davidson--Murfreesboro--Franklin, TN",77644485,hiller-plumbing-heating-cooling-electrical,Construction,510,2736,22836,132.9616,10,TN,"Hiller Plumbing, Heating, Cooling & Electrical"
2719,Bethlehem,Pennsylvania,"Allentown-Bethlehem-Easton, PA-NJ",3520468,dlp-realty,Real Estate,40,2737,23772,132.897,3,PA,DLP Realty
2720,Holt,Michigan,"Lansing-East Lansing, MI",15139477,block-imaging-parts-and-service,Health,55,2738,37805,132.868,1,MI,Block Imaging Parts and Service
2721,Vienna,Virginia,"Washington, DC",17075124,veris-group,Security,123,2739,17776,132.8053,6,VA,Veris Group
2722,Washington,District of Columbia,"Washington, DC",2158911,long-story-short-media,Media,9,2740,37806,132.8033,1,DC,Long Story Short Media
2723,Pittsburgh,Pennsylvania,"Pittsburgh, PA",13246141,voip-innovations,Telecommunications,16,2741,21453,132.6282,4,PA,VoIP Innovations
2724,New York,New York,New York City,11479585,door3-business-applications,Software,100,2742,18442,132.5316,2,NY,DOOR3 Business Applications
2725,Cleveland,Ohio,Cleveland,19991874,one-source-technology,Business Products & Services,130,2743,24848,132.4381,2,OH,One Source Technology
2726,Boston,Massachusetts,Boston,28551733,the-colony-group,Financial Services,69,2744,37807,132.4281,1,MA,The Colony Group
2727,Westlake Village,California,"Oxnard-Thousand Oaks-Ventura, CA",15455214,packit,Consumer Products & Services,20,2745,25764,132.4298,2,CA,PackIt
2728,El Segundo,California,Los Angeles,37106490,impex-technologies,IT Services,25,2746,25667,132.2542,2,CA,IMPEX Technologies
