,Unnamed: 0,city,state_l,metro,revenue,url,industry,workers,rank,id,yrs_on_list,growth,ifmid,ifiid,state_s,company
581,581,Mary Esther,Florida,"Pensacola-Ferry Pass-Brent, FL",62295999,advanced-enterprises-of-nw-fl,Advertising & Marketing,346,587,21328,2,773.3586,130,5,FL,Advanced Enterprises of NW FL
585,585,Boston,Massachusetts,Boston,5846293,fluent-boston-ma,Advertising & Marketing,39,591,23286,1,770.6876,6,5,MA,"Fluent (Boston, MA)"
591,591,Palm Beach Gardens,Florida,Miami,45177182,ads-direct-media,Advertising & Marketing,20,597,23289,1,767.7195,1,5,FL,Ads Direct Media
598,598,Venice,California,Los Angeles,13100000,zambezi,Advertising & Marketing,61,604,19597,3,760.8227,2,5,CA,Zambezi
618,618,Orlando,Florida,"Orlando, FL",5706783,rich-dealers,Advertising & Marketing,30,624,21398,2,734.3518,68,5,FL,Rich Dealers
641,641,Apex,North Carolina,"Raleigh-Cary, NC",2228312,autoshop-solutions,Advertising & Marketing,23,647,23312,1,709.23,36,5,NC,Autoshop Solutions
659,659,Plantation,Florida,Miami,16447000,world-web-partners,Advertising & Marketing,22,665,23322,1,690.3412,1,5,FL,World Web Partners
665,665,Austin,Texas,Austin,9009887,murphy-turner-associates,Advertising & Marketing,30,671,20092,2,679.6178,18,5,TX,Murphy Turner Associates
669,669,Indianapolis,Indiana,"Indianapolis, IN",10338385,slingshot-seo,Advertising & Marketing,81,675,19249,3,676.2005,81,5,IN,Slingshot SEO
678,678,Southern Pines,North Carolina,"Southern Pines-Pinehurst, NC",4220541,buycalls,Advertising & Marketing,6,684,23329,1,667.6669999999999,152,5,NC,buyCalls
684,684,Irvine,California,Los Angeles,2120000,interticket-usa,Advertising & Marketing,8,690,23333,1,662.5899,2,5,CA,Interticket USA
685,685,Newport Beach,California,Los Angeles,39667000,ymarketing,Advertising & Marketing,37,691,19302,3,662.3871,2,5,CA,ymarketing
688,688,Gaithersburg,Maryland,"Washington, DC",2971466,blue-corona,Advertising & Marketing,21,694,21104,2,659.5073,3,5,MD,Blue Corona
689,689,San Diego,California,San Diego,24406866,underground-elephant,Advertising & Marketing,65,695,23335,1,659.2226,11,5,CA,Underground Elephant
690,690,Worthington,Ohio,"Columbus, OH",7887686,farmer-lumpe-mcclelland-advertising-agency,Advertising & Marketing,37,696,21547,2,657.8666,19,5,OH,"Farmer, Lumpe, & McClelland Advertising Agency"
701,701,Falls Church,Virginia,"Washington, DC",2525001,hubshout,Advertising & Marketing,25,707,23341,1,647.867,3,5,VA,HubShout
703,703,Melville,New York,New York City,7472969,driven-local,Advertising & Marketing,28,709,21218,2,645.0617,9,5,NY,Driven Local
704,704,Portland,Oregon,"Portland, OR",12259347,citizen,Advertising & Marketing,32,710,23343,1,644.6909,10,5,OR,Citizen
715,715,Idaho Falls,Idaho,"Idaho Falls, ID",4829796,netmark,Advertising & Marketing,64,721,23348,1,640.0138,148,5,ID,Netmark
722,722,New York,New York,New York City,2118667,vector-media-group,Advertising & Marketing,12,728,23354,1,630.4892,9,5,NY,Vector Media Group
759,759,San Francisco,California,San Francisco,7097249,paperg,Advertising & Marketing,30,765,23370,1,596.3788,4,5,CA,PaperG
775,775,Chicago,Illinois,Chicago,19469682,rise-interactive,Advertising & Marketing,72,781,17579,4,582.927,17,5,IL,Rise Interactive
781,781,Washington,District of Columbia,"Washington, DC",4074472,istrategylabs,Advertising & Marketing,23,787,23376,1,578.9384,3,5,DC,iStrategyLabs
798,798,Mandeville,Louisiana,"New Orleans-Metairie-Kenner, LA",11192000,innovative-advertising,Advertising & Marketing,20,804,23383,1,561.075,33,5,LA,Innovative Advertising
