,Unnamed: 0,city,state_l,metro,revenue,url,industry,workers,rank,id,yrs_on_list,growth,ifmid,ifiid,state_s,company
40,40,New York,New York,New York City,5963105,revimedia,Advertising & Marketing,24,41,26117,1,5817.1289,9,5,NY,ReviMedia
53,53,New York,New York,New York City,6261593,crowdtap,Advertising & Marketing,46,54,25453,1,5217.2043,9,5,NY,Crowdtap
114,114,New York,New York,New York City,23442470,integral-ad-science,Advertising & Marketing,87,115,26395,1,3231.6852,9,5,NY,Integral Ad Science
126,126,New York,New York,New York City,6486000,fueled,Advertising & Marketing,64,128,24789,1,2916.7442,9,5,NY,Fueled
202,202,New York,New York,New York City,9565336,localresponse,Advertising & Marketing,32,204,23274,2,2152.8937,9,5,NY,LocalResponse
253,253,New York,New York,New York City,13031655,solve-media,Advertising & Marketing,42,255,25558,1,1798.0949,9,5,NY,Solve Media
274,274,New York,New York,New York City,27119347,accordant-media,Advertising & Marketing,41,276,25951,1,1663.0114,9,5,NY,Accordant Media
290,290,New York,New York,New York City,5577000,upsurge-media-group,Advertising & Marketing,5,292,23511,2,1560.1278,9,5,NY,UpSurge Media Group
345,345,New York,New York,New York City,2163161,the-participation-agency,Advertising & Marketing,5,348,25078,1,1351.7859,9,5,NY,The Participation Agency
386,386,New York,New York,New York City,2077365,new-tradition-media,Advertising & Marketing,4,389,24829,1,1208.5764,9,5,NY,New Tradition Media
538,538,New York,New York,New York City,4220122,social-media-link,Advertising & Marketing,16,541,25251,1,885.3652,9,5,NY,Social Media link
594,594,New York,New York,New York City,6003584,kettle,Advertising & Marketing,30,597,26281,1,795.5494,9,5,NY,Kettle
664,664,New York,New York,New York City,28089000,exelate,Advertising & Marketing,94,667,26131,1,686.5864,9,5,NY,eXelate
700,700,New York,New York,New York City,3071500,ready-set-rocket,Advertising & Marketing,26,703,26365,1,643.7046,9,5,NY,Ready Set Rocket
719,719,New York,New York,New York City,19106076,gravity-media,Advertising & Marketing,20,722,23067,2,628.9613,9,5,NY,Gravity Media
922,922,New York,New York,New York City,2930153,vector-media-group,Advertising & Marketing,15,925,23354,2,487.0744,9,5,NY,Vector Media Group
1005,1005,New York,New York,New York City,5120000,largetail,Advertising & Marketing,23,1008,23235,2,441.7989,9,5,NY,Largetail
1201,1201,New York,New York,New York City,13073497,sub-rosa,Advertising & Marketing,42,1205,22235,3,361.9475,9,5,NY,Sub Rosa
1234,1234,New York,New York,New York City,7769004,factory-360,Advertising & Marketing,11,1238,17954,4,352.1345,9,5,NY,Factory 360
1374,1374,New York,New York,New York City,13133811,precise-leads,Advertising & Marketing,55,1378,26023,1,311.0169,9,5,NY,Precise Leads
1584,1584,New York,New York,New York City,18731000,madison-logic,Advertising & Marketing,55,1591,23578,2,267.7793,9,5,NY,Madison Logic
2113,2113,New York,New York,New York City,6939060,grok,Advertising & Marketing,19,2122,23181,2,188.1774,9,5,NY,Grok
2142,2142,New York,New York,New York City,9605944,engine-shop,Advertising & Marketing,60,2151,26415,1,184.7599,9,5,NY,Engine Shop
2302,2302,New York,New York,New York City,16374118,blue-fountain-media,Advertising & Marketing,190,2311,19554,4,168.4419,9,5,NY,Blue Fountain Media
2361,2361,New York,New York,New York City,8114000,launchpad-advertising,Advertising & Marketing,55,2370,21281,3,163.1852,9,5,NY,Launchpad Advertising
2420,2420,New York,New York,New York City,13807243,elite-sem,Advertising & Marketing,65,2430,17855,5,157.8856,9,5,NY,Elite SEM
3047,3047,New York,New York,New York City,2113987,eye5-mktg-talent,Advertising & Marketing,5,3060,25888,1,116.3156,9,5,NY,Eye5 Mktg & Talent
3048,3048,New York,New York,New York City,5013766,digennaro-communications,Advertising & Marketing,29,3061,22151,4,116.3071,9,5,NY,DiGennaro Communications
3089,3089,New York,New York,New York City,11064000,team-epiphany,Advertising & Marketing,38,3102,17976,6,114.0453,9,5,NY,Team Epiphany
3757,3757,New York,New York,New York City,12581095,resolute-digital,Advertising & Marketing,46,3773,5293,2,83.1556,9,5,NY,Resolute Digital
4066,4066,New York,New York,New York City,17396497,prosek-partners,Advertising & Marketing,72,4084,2717,6,72.0689,9,5,NY,Prosek Partners
4195,4195,New York,New York,New York City,11727750,rain,Advertising & Marketing,78,4216,21962,3,67.6606,9,5,NY,Rain
4537,4537,New York,New York,New York City,10264536,taylor-creative,Advertising & Marketing,50,4563,24059,2,55.8982,9,5,NY,Taylor Creative
4716,4716,New York,New York,New York City,9774517,sullivan,Advertising & Marketing,60,4744,4540,5,50.3944,9,5,NY,Sullivan
4864,4864,New York,New York,New York City,13099005,formula-pr,Advertising & Marketing,95,4892,20418,4,46.0274,9,5,NY,Formula PR
