,2015-HOLDING,2015-COUNT,2015-REVENUE
2,Advance Publications,1,30364000
7,Cheil Worldwide,3,72502000
12,Eastport Holdings,4,81756000
18,Huntsworth,2,122316000
23,M&C Saatchi,1,34750000
25,Matomy Media Group,1,34232000
26,Meredith Corp.,1,124000000
27,Mother Holdings,1,35000000
28,Next Fifteen Communications Group,3,79057000
34,Viad Corp.,1,82520000
