,AGENCY-COMPANY,HEADQUARTERS,2014-REVENUE,% CHG,AGENCY-NAME,AGENCY-OWNER
28,inVentiv Health*,New York,"301,280",12.0,inVentiv Health*,Independent
55,Horizon Media*,New York,"187,094",16.0,Horizon Media*,Independent
92,Gyro*,New York,"114,000",3.6,Gyro*,Independent
119,McMurry/TMG,New York,"91,525",0.3,McMurry/TMG,Independent
123,TMP Worldwide Advertising & Communications,New York,"86,544",-0.9,TMP Worldwide Advertising & Communications,Independent
135,Droga5*,New York,"78,000",44.4,Droga5*,Independent
155,FTI Consulting (Strategic Communications)*,New York,"64,210",0.5,FTI Consulting (Strategic Communications)*,Independent
167,Finn Partners,New York,"58,921",9.2,Finn Partners,Independent
176,MWWPR,New York,"53,517",14.8,MWWPR,Independent
181,ICR,New York,"50,688",19.4,ICR,Independent
183,Acronym,New York,"50,200",39.4,Acronym,Independent
190,Sard Verbinnen & Co.*,New York,"47,600",7.2,Sard Verbinnen & Co.*,Independent
195,Ruder Finn,New York,"46,352",23.8,Ruder Finn,Independent
196,Paradysz & PM Digital,New York,"45,971",8.9,Paradysz & PM Digital,Independent
197,CementBloc,New York,"45,416",-3.4,CementBloc,Independent
206,Commonground/MGS,New York,"42,492",4.4,Commonground/MGS,Independent
209,DKC,New York,"41,500",13.7,DKC,Independent
214,Code & Theory,New York,"40,000",33.3,Code & Theory,Independent
233,Translation*,New York,"36,316",5.3,Translation*,Independent
252,MCD Partners,New York,"32,500",13.0,MCD Partners,Independent
277,Greater Than One,New York,"29,045",21.3,Greater Than One,Independent
299,G&S Business Communications*,New York,"25,438",13.1,G&S Business Communications*,Independent
321,Gravity Media,New York,"22,945",3.0,Gravity Media,Independent
340,Taylor,New York,"21,700",2.8,Taylor,Independent
355,Elite SEM*,New York,"20,400",47.8,Elite SEM*,Independent
366,LeadDog Marketing Group,New York,"19,614",18.7,LeadDog Marketing Group,Independent
374,5W Public Relations,New York,"18,961",18.4,5W Public Relations,Independent
