,AGENCY-COMPANY,HEADQUARTERS,2014-REVENUE,% CHG,AGENCY-NAME,AGENCY-OWNER
0,Epsilon [Alliance Data Systems Corp.],"Irving, Texas",1793417000,4.9,Epsilon ,Alliance Data Systems Corp.
1,Deloitte Digital* [Deloitte],Seattle,757100000,,Deloitte Digital ,Deloitte
2,IBM Interactive Experience* [IBM Corp.],"Armonk, N.Y.",708520000,,IBM Interactive Experience ,IBM Corp.
3,Acxiom Corp.*,"Little Rock, Ark.",706761000,2.4,Acxiom Corp.,Independent
4,SapientNitro* [Publicis],Boston,606387000,9.3,SapientNitro ,Publicis
5,BBDO Worldwide* [Omnicom],New York,576840000,4.5,BBDO Worldwide ,Omnicom
6,Accenture Interactive [Accenture],New York,565765000,,Accenture Interactive ,Accenture
7,Leo Burnett Worldwide/Arc* [Publicis],Chicago,487455000,-0.6,Leo Burnett Worldwide/Arc ,Publicis
8,Edelman [DJE Holdings],Chicago,482138000,7.1,Edelman ,DJE Holdings
9,PwC's Digital Services,"Hallandale Beach, Fla.",471000000,,PwC's Digital Services,Independent
10,Rapp* [Omnicom],New York,454697000,6.0,Rapp ,Omnicom
11,Publicis Worldwide* [Publicis],Paris,453848000,1.0,Publicis Worldwide ,Publicis
12,McCann Erickson Worldwide* [Interpublic],New York,445000000,10.7,McCann Erickson Worldwide ,Interpublic
13,DigitasLBi* [Publicis],Boston,443841000,4.0,DigitasLBi ,Publicis
14,J. Walter Thompson Co.* [WPP],New York,435216000,2.0,J. Walter Thompson Co. ,WPP
15,Y&R* [WPP],New York,435000000,4.2,Y&R ,WPP
16,Experian Marketing Services [Experian],New York,433000000,3.8,Experian Marketing Services ,Experian
17,Harte Hanks*,San Antonio,427025000,0.6,Harte Hanks,Independent
18,Weber Shandwick* [Interpublic],New York,425098000,11.0,Weber Shandwick ,Interpublic
19,Merkle,"Columbia, Md.",424500000,15.5,Merkle,Independent
20,Wunderman* [WPP],New York,397840000,0.0,Wunderman ,WPP
21,Razorfish* [Publicis],New York,356600000,-11.6,Razorfish ,Publicis
22,FleishmanHillard* [Omnicom],St. Louis,352484000,5.4,FleishmanHillard ,Omnicom
