,2012-HOLDING,2012-COUNT,2012-REVENUE
5,DJE Holdings,2,427052000
9,Experian,1,395000000
16,Hearst Corp.,1,177100000
18,IBM Corp.,1,343350000
31,Project WorldWide,2,166286000
38,Sapient Corp.,1,497000000
42,eBay,1,222000000
