ASM,1
Advance Publications,1
Alliance Data Systems Corp.,2
Asatsu-DK,1
BlueFocus Communication Group,1
Cheil Worldwide,2
Creston,1
DJE Holdings,2
Deloitte,1
Dentsu,11
Engine Group,2
Experian,1
FullSix Group,1
Grupo ABC,2
Harte-Hanks,1
Havas,5
Hearst Corp.,1
Huntsworth,2
IBM Corp.,1
Independent,648
Interpublic,43
Iris Worldwide,1
Klick Inc.,1
MDC Partners,21
Marc USA,1
Matomy Media Group,1
Meredith Corp.,1
Mother Holdings,1
Next Fifteen Communications Group,3
Omnicom,76
Part of Accenture Interactive,1
Project WorldWide,2
Publicis,41
PwC,1
Quebecor Media,1
Ruder Finn Group,3
Sapient Corp.,2
TMP Worldwide,1
Viad Corp.,1
WPP,50
eBay,1
