,2013-HOLDING,2013-COUNT,2013-REVENUE
1,Advance Publications,1,34408000
5,Cheil Worldwide,2,49429000
8,Deloitte,1,126400000
10,Engine Group,2,29634000
13,Grupo ABC,2,25300000
14,Harte-Hanks,1,136753000
17,Huntsworth,2,102943000
22,Klick Inc.,1,80732000
25,Matomy Media Group,1,25303000
26,Meredith Corp.,1,128000000
27,Mother Holdings,1,32000000
28,Next Fifteen Communications Group,3,58119000
30,Part of Accenture Interactive,1,138027000
35,Ruder Finn Group,3,92863000
37,TMP Worldwide,1,87292000
38,Viad Corp.,1,73100000
