,2015-HOLDING,2015-COUNT,2015-REVENUE
0,Accenture,1,1231596000
9,DJE Holdings,2,558486000
10,Deloitte,1,865200000
11,Dentsu,13,942850000
16,Havas,5,859391000
19,IBM Corp.,1,796800000
24,MDC Partners,23,1028257000
32,PwC,1,624000000
