Accenture,1
Advance Publications,1
Advantage Sales and Marketing,1
Alliance Data Systems Corp.,2
Asatsu-DK,1
BlueFocus Communication Group,2
Cheil Worldwide,3
Creston,1
DJE Holdings,2
Deloitte,1
Dentsu,12
Engine Group,2
Experian,1
FullSix Group,1
Grupo ABC,1
Harte Hanks,1
Havas,5
Hearst Corp.,1
Huntsworth,2
IBM Corp.,1
ICF International's Olson,1
Independent,665
Interpublic,43
Klick Inc.,1
MDC Partners,20
Marc USA,1
Matomy Media Group,1
Meredith Corp.,1
Mother Holdings,1
Next Fifteen Communications Group,4
Omnicom,77
Project WorldWide,4
Publicis,42
Viad Corp.'s Global Experience Specialists,1
WPP,45
eBay,1
