,2015-HOLDING,2015-COUNT,2015-REVENUE
1,Acosta,1,321717000
3,Advantage Solutions,1,480668000
13,Engine Group,2,177783000
14,Experian,1,432000000
17,Hearst Corp.,1,224940000
20,ICF International,1,165000000
30,Project WorldWide,4,224279000
36,inVentiv Group Holdings,1,325844000
