,AGENCY-COMPANY,HEADQUARTERS,2015-REVENUE,% CHG,AGENCY-NAME,AGENCY-OWNER
0,Epsilon [Alliance Data Systems Corp.],"Irving, Texas",1855045000,3.5,Epsilon ,Alliance Data Systems Corp.
1,Accenture Interactive [Accenture],New York,1231596000,70.8,Accenture Interactive ,Accenture
2,Deloitte Digital* [Deloitte],New York,865200000,,Deloitte Digital ,Deloitte
3,IBM Interactive Experience* [IBM Corp.],"Armonk, N.Y.",796800000,,IBM Interactive Experience ,IBM Corp.
4,Acxiom Corp.*,"Little Rock, Ark.",765299000,7.0,Acxiom Corp.,Independent
5,Razorfish Global* [Publicis],New York,651665000,-1.3,Razorfish Global ,Publicis
6,PwC Digital Services [PwC],New York,624000000,,PwC Digital Services ,PwC
7,BBDO Worldwide* [Omnicom],New York,602798000,4.5,BBDO Worldwide ,Omnicom
8,SapientNitro* [Publicis],Boston,585000000,1.3,SapientNitro ,Publicis
9,McCann* [Interpublic],New York,561860000,15.9,McCann ,Interpublic
10,Edelman [DJE Holdings],Chicago,523065000,8.5,Edelman ,DJE Holdings
11,J. Walter Thompson Co.* [WPP],New York,504176000,5.9,J. Walter Thompson Co. ,WPP
12,Leo Burnett Worldwide/Arc* [Publicis],Chicago,489369000,-1.0,Leo Burnett Worldwide/Arc ,Publicis
13,Publicis Worldwide* [Publicis],Paris,487887000,7.5,Publicis Worldwide ,Publicis
14,Advantage Marketing Partners [Advantage Solutions],"Irvine, Calif.",480668000,9.2,Advantage Marketing Partners ,Advantage Solutions
15,Merkle,"Columbia, Md.",464500000,5.8,Merkle,Independent
16,DigitasLBi* [Publicis],Boston,458754000,3.4,DigitasLBi ,Publicis
17,Rapp* [Omnicom],New York,458040000,0.7,Rapp ,Omnicom
18,Y&R* [WPP],New York,454575000,4.5,Y&R ,WPP
19,Weber Shandwick* [Interpublic],New York,448691000,5.6,Weber Shandwick ,Interpublic
20,Experian Marketing Services [Experian],New York,432000000,-0.2,Experian Marketing Services ,Experian
21,Wunderman* [WPP],New York,415743000,4.5,Wunderman ,WPP
22,Harte Hanks*,San Antonio,380940000,-14.3,Harte Hanks,Independent
23,TBWA Worldwide* [Omnicom],New York,361661000,7.5,TBWA Worldwide ,Omnicom
24,Havas Worldwide* [Havas],New York,358600000,4.6,Havas Worldwide ,Havas
25,FleishmanHillard* [Omnicom],St. Louis,350458000,-0.6,FleishmanHillard ,Omnicom
26,FCB* [Interpublic],New York,337838000,2.0,FCB ,Interpublic
27,Grey* [WPP],New York,336209000,5.8,Grey ,WPP
28,Mindshare Worldwide* [WPP],New York,331731000,14.5,Mindshare Worldwide ,WPP
29,inVentiv Health* [inVentiv Group Holdings],New York,325844000,8.2,inVentiv Health ,inVentiv Group Holdings
30,Mosaic [Acosta],"Irving, Texas",321717000,5.9,Mosaic ,Acosta
31,DDB Worldwide* [Omnicom],New York,320200000,11.2,DDB Worldwide ,Omnicom
32,OMD Worldwide* [Omnicom],New York,301500000,12.5,OMD Worldwide ,Omnicom
33,Ketchum* [Omnicom],New York,300000000,10.8,Ketchum ,Omnicom
34,OgilvyOne Worldwide* [WPP],New York,292500000,1.5,OgilvyOne Worldwide ,WPP
35,Starcom USA* [Publicis],Chicago,289315000,0.9,Starcom USA ,Publicis
36,R/GA* [Interpublic],New York,284137000,10.0,R/GA ,Interpublic
37,Saatchi & Saatchi* [Publicis],New York,282000000,-2.1,Saatchi & Saatchi ,Publicis
38,Mediavest USA* [Publicis],New York,272396000,0.8,Mediavest USA ,Publicis
39,Ogilvy & Mather Advertising* [WPP],New York,269620000,-1.5,Ogilvy & Mather Advertising ,WPP
40,Zenith* [Publicis],New York,266729000,12.9,Zenith ,Publicis
41,Freeman,Dallas,260000000,5.7,Freeman,Independent
42,MRM//McCann* [Interpublic],New York,244900000,6.0,MRM//McCann ,Interpublic
43,FCB Health* [Interpublic],New York,244825000,17.3,FCB Health ,Interpublic
44,Novus Media* [Omnicom],"Plymouth, Minn.",237459000,8.1,Novus Media ,Omnicom
45,MEC* [WPP],London,234878000,9.4,MEC ,WPP
46,Horizon Media*,New York,225000000,20.3,Horizon Media,Independent
47,iCrossing* [Hearst Corp.],New York,224940000,20.0,iCrossing ,Hearst Corp.
48,Wieden & Kennedy*,"Portland, Ore.",219000000,6.3,Wieden & Kennedy,Independent
49,MarketStar* [Omnicom],"Ogden, Utah",217680000,0.7,MarketStar ,Omnicom
50,Burson-Marsteller* [WPP],New York,217467000,3.6,Burson-Marsteller ,WPP
51,MediaCom* [WPP],New York,211050000,20.5,MediaCom ,WPP
52,Deutsch* [Interpublic],New York,208680000,11.0,Deutsch ,Interpublic
53,McGarryBowen* [Dentsu],New York,196000000,-2.0,McGarryBowen ,Dentsu
54,Havas Health* [Havas],New York,195500000,3.7,Havas Health ,Havas
55,Catapult [Alliance Data Systems Corp.],"Westport, Conn.",195420000,14.1,Catapult ,Alliance Data Systems Corp.
56,Marketing Arm* [Omnicom],Dallas,193000000,17.0,Marketing Arm ,Omnicom
57,Richards Group,Dallas,190000000,2.2,Richards Group,Independent
58,VML* [WPP],"Kansas City, Mo.",183000000,11.6,VML ,WPP
59,Hill Holliday Group* [Interpublic],Boston,178630000,-6.2,Hill Holliday Group ,Interpublic
60,Huge* [Interpublic],"Brooklyn, N.Y.",177300000,4.9,Huge ,Interpublic
61,Geometry Global* [WPP],New York,174556000,-8.3,Geometry Global ,WPP
62,MSL Group* [Publicis],Paris,172732000,5.0,MSL Group ,Publicis
63,George P. Johnson [Project WorldWide],"Auburn Hills, Mich.",168779000,13.5,George P. Johnson ,Project WorldWide
64,360i* [Dentsu],New York,168200000,17.5,360i ,Dentsu
65,ICF Olson [ICF International],Minneapolis,165000000,,ICF Olson ,ICF International
66,AKQA* [WPP],London,163000000,8.7,AKQA ,WPP
67,Carat* [Dentsu],London,157088000,-3.0,Carat ,Dentsu
68,Ogilvy CommonHealth Worldwide* [WPP],"Parsippany, N.J.",155144000,6.6,Ogilvy CommonHealth Worldwide ,WPP
69,Interbrand* [Omnicom],New York,154200000,7.7,Interbrand ,Omnicom
70,Match Marketing Group,"Mississauga, Ontario",153247000,13.3,Match Marketing Group,Independent
71,Possible* [WPP],Seattle,153000000,10.0,Possible ,WPP
72,MullenLowe* [Interpublic],Boston,152395000,9.0,MullenLowe ,Interpublic
73,Integer Group* [Omnicom],"Lakewood, Colo.",149910000,-5.0,Integer Group ,Omnicom
74,CP&B* [MDC Partners],"Boulder, Colo.",148407000,0.0,CP&B ,MDC Partners
75,Maxus* [WPP],New York,147751000,40.0,Maxus ,WPP
76,Havas Media Group* [Havas],"Puteaux, France",146991000,,Havas Media Group ,Havas
77,Hill&Knowlton Strategies* [WPP],New York,143276000,3.5,Hill&Knowlton Strategies ,WPP
78,GMR Marketing* [Omnicom],"New Berlin, Wis.",138713000,0.7,GMR Marketing ,Omnicom
79,UM* [Interpublic],New York,134599000,6.3,UM ,Interpublic
80,Zimmerman Advertising* [Omnicom],"Fort Lauderdale, Fla.",133876000,10.0,Zimmerman Advertising ,Omnicom
81,Organic* [Omnicom],New York,131262000,3.0,Organic ,Omnicom
82,Cramer-Krasselt,Chicago,131149000,-9.8,Cramer-Krasselt,Independent
83,Momentum Worldwide* [Interpublic],New York,127536000,0.9,Momentum Worldwide ,Interpublic
84,Martin Agency* [Interpublic],"Richmond, Va.",126008000,4.2,Martin Agency ,Interpublic
85,Droga5,New York,126000000,61.5,Droga5,Independent
86,72andSunny* [MDC Partners],"Playa Vista, Calif.",124432000,20.6,72andSunny ,MDC Partners
87,Octagon* [Interpublic],"Norwalk, Conn.",124291000,0.3,Octagon ,Interpublic
88,Ansira,St. Louis,124041000,7.9,Ansira,Independent
89,Meredith Xcelerated Marketing [Meredith Corp.],"Des Moines, Iowa",124000000,-5.3,Meredith Xcelerated Marketing ,Meredith Corp.
90,Proximity* [Omnicom],New York,123449000,3.0,Proximity ,Omnicom
91,Golin* [Interpublic],Chicago,123401000,7.9,Golin ,Interpublic
92,OMG Entertainment & Sports* [Omnicom],New York,123066000,25.0,OMG Entertainment & Sports ,Omnicom
