,AGENCY-COMPANY,HEADQUARTERS,2010-REVENUE,% CHG,AGENCY-NAME,AGENCY-OWNER
70,Horizon Media*,New York,"106,500",26.8,Horizon Media*,Independent
86,GyroHSR*,New York,"88,706",4.1,GyroHSR*,Independent
132,TBA Global,New York,"55,000",1.7,TBA Global,Independent
153,15miles,New York,"44,436",-8.7,15miles,Independent
184,MediaWhiz,New York,"36,423",32.3,MediaWhiz,Independent
194,CementBloc,New York,"33,900",24.0,CementBloc,Independent
196,Mktg,New York,"33,340",4.6,Mktg,Independent
202,Paradysz,New York,"31,693",14.9,Paradysz,Independent
208,Zeta Interactive,New York,"30,907",0.0,Zeta Interactive,Independent
219,Acronym Media,New York,"29,500",9.3,Acronym Media,Independent
235,Lippincott*,New York,"27,000",6.4,Lippincott*,Independent
239,Magnani Caruso Dutton,New York,"26,426",13.8,Magnani Caruso Dutton,Independent
251,Marina Maher Communications,New York,"25,000",,Marina Maher Communications,Independent
253,DKC,New York,"24,260",10.0,DKC,Independent
258,Droga5*,New York,"24,000",41.2,Droga5*,Independent
281,Vidal Partnership*,New York,"21,600",-38.3,Vidal Partnership*,Independent
282,Agency 212,New York,"21,500",0.0,Agency 212,Independent
293,Mr. Youth,New York,"20,000",17.6,Mr. Youth,Independent
304,Taylor Global,New York,"19,300",1.0,Taylor Global,Independent
334,Cheil Worldwide,New York,"16,469",-25.1,Cheil Worldwide,Independent
338,Della Femina/Rothschild/Jeary & Partners,New York,"16,100",-10.1,Della Femina/Rothschild/Jeary & Partners,Independent
345,Gibbs & Soell,New York,"15,500",-5.5,Gibbs & Soell,Independent
350,AdAsia Communications,New York,"15,257",12.8,AdAsia Communications,Independent
360,Prime Access*,New York,"14,900",,Prime Access*,Independent
362,Greater Than One,New York,"14,750",13.5,Greater Than One,Independent
368,Heartbeat Ideas,New York,"14,400",9.9,Heartbeat Ideas,Independent
372,GlobalWorks Group,New York,"14,200",10.1,GlobalWorks Group,Independent
376,Global Advertising Strategies,New York,"14,000",16.7,Global Advertising Strategies,Independent
395,Hunter Public Relations,New York,"12,810",27.7,Hunter Public Relations,Independent
397,RJ Palmer*,New York,"12,780",6.5,RJ Palmer*,Independent
410,Concentric Pharma Advertising,New York,"12,000",33.3,Concentric Pharma Advertising,Independent
413,Lippe Taylor,New York,"12,000",14.3,Lippe Taylor,Independent
418,Peppercom,New York,"11,826",-6.3,Peppercom,Independent
424,SS&K*,New York,"11,700",,SS&K*,Independent
426,5W Public Relations,New York,"11,654",3.0,5W Public Relations,Independent
448,Atrinsic Interactive*,New York,"10,650",-49.0,Atrinsic Interactive*,Independent
469,Concept Farm*,New York,"10,000",-13.0,Concept Farm*,Independent
473,Sarkissian Mason,New York,"10,000",33.3,Sarkissian Mason,Independent
479,Seiden Group,New York,"9,900",6.8,Seiden Group,Independent
481,Admerasia,New York,"9,750",-9.3,Admerasia,Independent
495,Kaplow Communications*,New York,"9,400",-1.1,Kaplow Communications*,Independent
496,Gardner Nelson & Partners,New York,"9,300",9.4,Gardner Nelson & Partners,Independent
499,Bodden Partners,New York,"9,284",-46.0,Bodden Partners,Independent
503,LeadDog Marketing Group,New York,"9,052",31.6,LeadDog Marketing Group,Independent
534,Pedone & Partners,New York,"8,000",14.3,Pedone & Partners,Independent
537,Chandelier Creative,New York,"7,900",31.7,Chandelier Creative,Independent
557,Vox Collective,New York,"7,251",18.9,Vox Collective,Independent
564,Gotham Direct,New York,"7,103",20.1,Gotham Direct,Independent
568,Amalgamated*,New York,"7,020",,Amalgamated*,Independent
576,RDA International,New York,"6,866",-9.5,RDA International,Independent
584,D Exposito & Partners,New York,"6,670",16.0,D Exposito & Partners,Independent
594,Korey Kay & Partners,New York,"6,410",12.5,Korey Kay & Partners,Independent
599,Profero,New York,"6,300",53.7,Profero,Independent
602,Digital Pulp,New York,"6,200",10.7,Digital Pulp,Independent
606,BoomBox,New York,"6,100",125.9,BoomBox,Independent
621,KraftWorks NYC,New York,"5,775",-8.3,KraftWorks NYC,Independent
623,Revolucion,New York,"5,750",5.5,Revolucion,Independent
641,Elite SEM,New York,"5,300",112.0,Elite SEM,Independent
645,Applicable Media,New York,"5,200",,Applicable Media,Independent
647,Catalyst Public Relations,New York,"5,135",12.3,Catalyst Public Relations,Independent
655,Brooklyn Brothers,New York,"5,000",22.0,Brooklyn Brothers,Independent
679,Seiter & Miller,New York,"4,800",-7.7,Seiter & Miller,Independent
682,Barker/DZP,New York,"4,706",11.3,Barker/DZP,Independent
687,Mirrorball,New York,"4,600",2.4,Mirrorball,Independent
692,E & M Advertising,New York,"4,500",,E & M Advertising,Independent
718,Spring O'Brien,New York,"4,100",-33.9,Spring O'Brien,Independent
729,CooperKatz & Co.,New York,"3,909",13.7,CooperKatz & Co.,Independent
731,Darling*,New York,"3,870",,Darling*,Independent
736,Squeaky Wheel Media,New York,"3,800",8.6,Squeaky Wheel Media,Independent
738,KD&E,New York,"3,798",-2.1,KD&E,Independent
763,Agent 16,New York,"3,400",-51.4,Agent 16,Independent
765,Gravity Media,New York,"3,400",,Gravity Media,Independent
771,Middleberg Communications,New York,"3,300",22.2,Middleberg Communications,Independent
779,Underscore Marketing,New York,"3,128",35.4,Underscore Marketing,Independent
784,Fly Communications,New York,"3,050",-67.1,Fly Communications,Independent
788,Ad Store,New York,"3,000",-9.3,Ad Store,Independent
805,Holtzman Communications*,New York,"2,800",0.0,Holtzman Communications*,Independent
809,Ventura Associates,New York,"2,645",0.0,Ventura Associates,Independent
818,AYDigital,New York,"2,500",108.3,AYDigital,Independent
820,Renegade,New York,"2,500",-16.7,Renegade,Independent
828,Munn Rabot*,New York,"2,340",-13.8,Munn Rabot*,Independent
838,"Catalano, Lellos & Silverstein",New York,"2,100",-12.5,"Catalano, Lellos & Silverstein",Independent
852,Bandujo Advertising & Design*,New York,"1,860",,Bandujo Advertising & Design*,Independent
865,Grok,New York,"1,500",87.5,Grok,Independent
872,ASB Communications,New York,"1,400",7.7,ASB Communications,Independent
911,Icube-New York,New York,350,0.0,Icube-New York,Independent
912,:30 Segundos,New York,340,41.7,:30 Segundos,Independent
913,Hudson Media Services,New York,310,93.8,Hudson Media Services,Independent
