,AGENCY-COMPANY,HEADQUARTERS,2011-REVENUE,% CHG,AGENCY-NAME,AGENCY-OWNER
0,Epsilon* [Alliance Data Systems Corp.'s Epsilon],"Irving, Texas",89774100,9.4,Epsilon* ,Alliance Data Systems Corp.'s Epsilon
1,Acxiom Corp.,"Little Rock, Ark.",65607600,5.3,Acxiom Corp.,Independent
2,DraftFCB* [Interpublic],Chicago/New York,53665000,0.0,DraftFCB* ,Interpublic
3,BBDO Worldwide* [Omnicom],New York,49500000,10.0,BBDO Worldwide* ,Omnicom
4,SapientNitro* [Sapient Corp.'s SapientNitro],Boston,45040000,28.7,SapientNitro* ,Sapient Corp.'s SapientNitro
5,McCann Erickson Worldwide* [Interpublic],New York,45000000,-0.2,McCann Erickson Worldwide* ,Interpublic
6,Leo Burnett Worldwide/Arc* [Publicis],Chicago,44900000,1.8,Leo Burnett Worldwide/Arc* ,Publicis
7,Rapp* [Omnicom],New York,41678600,10.7,Rapp* ,Omnicom
8,Digitas* [Publicis],Boston,40000000,20.6,Digitas* ,Publicis
9,Edelman [Daniel J. Edelman],Chicago,38342500,9.8,Edelman ,Daniel J. Edelman
10,Y&R* [WPP],New York,37000000,9.0,Y&R* ,WPP
11,JWT* [WPP],New York,35800000,0.5,JWT* ,WPP
12,Weber Shandwick* [Interpublic],New York,35400000,10.6,Weber Shandwick* ,Interpublic
13,Wunderman* [WPP],New York,34075700,5.0,Wunderman* ,WPP
14,Razorfish* [Publicis],New York,33000000,4.1,Razorfish* ,Publicis
15,Euro RSCG Worldwide* [Havas],New York,31570000,3.6,Euro RSCG Worldwide* ,Havas
16,TBWA Worldwide* [Omnicom],New York,31100000,4.7,TBWA Worldwide* ,Omnicom
17,Fleishman-Hillard* [Omnicom],St. Louis,31050000,5.6,Fleishman-Hillard* ,Omnicom
18,Merkle,"Columbia, Md.",30300000,19.3,Merkle,Independent
19,DDB Worldwide* [Omnicom],New York,29671100,12.6,DDB Worldwide* ,Omnicom
20,inVentiv Health*,"Burlington, Mass.",29367300,,inVentiv Health*,Independent
21,OgilvyOne Worldwide* [WPP],New York,26255000,4.6,OgilvyOne Worldwide* ,WPP
22,Starcom USA* [Publicis],Chicago,25717500,14.3,Starcom USA* ,Publicis
23,IBM Interactive* [IBM Corp.'s IBM Interactive],Chicago,25500000,,IBM Interactive* ,IBM Corp.'s IBM Interactive
