AGENCY-COMPANY,HEADQUARTERS,2011-REVENUE,% CHG
Epsilon* [Alliance Data Systems Corp.'s Epsilon],"Irving, Texas",897741,9.4
Acxiom Corp.,"Little Rock, Ark.",656076,5.3
DraftFCB* [Interpublic],Chicago/New York,536650,0
BBDO Worldwide* [Omnicom],New York,495000,10
SapientNitro* [Sapient Corp.'s SapientNitro],Boston,450400,28.7
McCann Erickson Worldwide* [Interpublic],New York,450000,-0.2
Leo Burnett Worldwide/Arc* [Publicis],Chicago,449000,1.8
Rapp* [Omnicom],New York,416786,10.7
Digitas* [Publicis],Boston,400000,20.6
Edelman [Daniel J. Edelman],Chicago,383425,9.8
Y&R* [WPP],New York,370000,9
JWT* [WPP],New York,358000,0.5
Weber Shandwick* [Interpublic],New York,354000,10.6
Wunderman* [WPP],New York,340757,5
Razorfish* [Publicis],New York,330000,4.1
Euro RSCG Worldwide* [Havas],New York,315700,3.6
TBWA Worldwide* [Omnicom],New York,311000,4.7
Fleishman-Hillard* [Omnicom],St. Louis,310500,5.6
Merkle,"Columbia, Md.",303000,19.3
DDB Worldwide* [Omnicom],New York,296711,12.6
inVentiv Health*,"Burlington, Mass.",293673,NA
OgilvyOne Worldwide* [WPP],New York,262550,4.6
Starcom USA* [Publicis],Chicago,257175,14.3
IBM Interactive* [IBM Corp.'s IBM Interactive],Chicago,255000,NA
Rosetta* [Publicis],"Hamilton, N.J.",250000,20.8
Saatchi & Saatchi* [Publicis],New York,235620,10
Grey* [WPP],New York,230000,20.2
GSI Marketing Services* [eBay's GSI Marketing Services],"King of Prussia, Pa.",226700,19.4
R/GA* [Interpublic],New York,220000,25.7
Ketchum* [Omnicom],New York,218000,17.8
OMD Worldwide* [Omnicom],New York,209304,14
Mindshare Worldwide* [WPP],New York,202717,27.4
Burson-Marsteller* [WPP],New York,200000,0
CDM Group* [Omnicom],New York,192351,4.5
MarketStar* [Omnicom],"Ogden, Utah",180000,20
Meredith Xcelerated Marketing [Meredith Corp.'s Meredith Xcelerated Marketing],Des Moines,180000,4
MEC* [WPP],New York/London,177552,5.4
Zenith Media USA* [Publicis],New York,177000,17.2
Ogilvy & Mather Advertising* [WPP],New York,176400,5
Hill Holliday* [Interpublic],Boston,176400,6
Deutsch* [Interpublic],New York,175780,2.4
Richards Group,Dallas,173000,1.8
Wieden & Kennedy*,"Portland, Ore.",170182,27.7
MediaVest USA* [Publicis],New York,169386,9
Havas Health* [Havas],New York,167000,10.6
McGarryBowen* [Dentsu],New York,165000,47.3
Publicis* [Publicis],New York/Paris,163654,-2.6
iCrossing* [Hearst Corp.'s iCrossing],New York,161000,18.3
"Goodby, Silverstein & Partners* [Omnicom]",San Francisco,159083,11.4
Ogilvy Public Relations Worldwide* [WPP],New York,154200,18.6
Cramer-Krasselt,Chicago,152595,2
CP&B* [MDC Partners],"Miami/Boulder, Colo.",151029,1.2
AKQA,San Francisco,150000,20
Ogilvy CommonHealth Worldwide* [WPP],"Parsippany, N.J.",150000,0
Integer Group* [Omnicom],"Lakewood, Colo.",149504,9
George P. Johnson [Project WorldWide],"Auburn Hills, Mich.",146016,14.1
The Agency Inside Harte-Hanks [Harte-Hanks],"Yardley, Pa.",145068,4.3
Martin Agency* [Interpublic],"Richmond, Va.",139373,4.5
Horizon Media*,New York,133000,24.9
Interbrand* [Omnicom],New York,125453,16.8
Hill & Knowlton Strategies* [WPP],New York,125000,NA
MSL Group* [Publicis],Paris,124494,NA
Organic* [Omnicom],San Francisco,123000,-4.7
MediaCom* [WPP],New York,122901,9
RPA,"Santa Monica, Calif.",122400,10
Campbell Ewald* [Interpublic],"Warren, Mich.",121000,-22.9
Momentum Worldwide* [Interpublic],New York,120000,9.1
UM* [Interpublic],New York,119500,6.2
G2* [WPP],New York,118000,2.6
DraftFCB Healthcare* [Interpublic],New York,116635,11.1
Digitas Health* [Publicis],Philadelphia,115000,-17.9
Ryan Partnership [Hyper Marketing],"Wilton, Conn.",114454,9.6
MediaWhiz [Hyper Marketing],New York,114083,-5.1
Critical Mass* [Omnicom],Chicago,110000,15.8
VML* [WPP],"Kansas City, Mo.",109800,15.3
Zimmerman Advertising* [Omnicom],"Fort Lauderdale, Fla.",109000,3.8
Mullen* [Interpublic],Boston,106578,14.6
Marketing Arm* [Omnicom],Dallas,106500,0
Arnold Worldwide* [Havas],Boston,106000,6.5
Acquity Group,Chicago,106000,46.2
360i* [Dentsu],New York,105000,40
Doner*,"Southfield, Mich.",101200,-13.9
Proximity Worldwide* [Omnicom],New York,101098,21
Waggener Edstrom Worldwide,"Bellevue, Wash.",100539,0.8
GMR Marketing* [Omnicom],"New Berlin, Wis.",100000,17.6
TracyLocke* [Omnicom],Dallas,100000,0
Carat* [Aegis Group],New York,98400,23
GolinHarris* [Interpublic],Chicago,98100,9
Publicis Modem* [Publicis],Paris,98000,35.2
Gyro*,New York,96250,8.5
McCann Healthcare Worldwide* [Interpublic],"Parsippany, N.J.",95796,0.6
Jack Morton Worldwide* [Interpublic],Boston,95700,16
Initiative* [Interpublic],New York,93700,5.3
Plattform Advertising [Ad Venture Interactive],"Lenexa, Kan.",93419,36.4
Sudler & Hennessey* [WPP],New York,92000,0
Kirshenbaum Bond Senecal & Partners* [MDC Partners],New York,91492,9.9
Goodness Mfg./Trailer Park,Los Angeles,91001,11
MRM Worldwide* [Interpublic],New York,90000,5.3
Porter Novelli* [Omnicom],New York,87834,5.1
Octagon* [Interpublic],"Norwalk, Conn.",87665,3.5
Hawkeye [Hawkeye Group],Dallas,85422,17.7
Olson,Minneapolis,82765,27.7
Targetbase* [Omnicom],"Irving, Texas",82267,5.5
OMG Entertainment & Sports* [Omnicom],New York,80497,8
Roundarch Isobar* [Aegis Group],"London, U.K.",80331,5
Landor Associates* [WPP],San Francisco,80000,6.7
TMP Worldwide Advertising & Communications [TMP Worldwide],New York,79882,15.3
Ansira,St. Louis,78768,13.3
AbelsonTaylor,Chicago,77490,10
MPG* [Havas],New York,77300,18.9
PHD* [Omnicom],London/New York,75939,5.5
Huge* [Interpublic],"Brooklyn, N.Y.",75073,75.2
Possible Worldwide* [WPP],New York,75000,4.2
Cohn & Wolfe* [WPP],New York,74875,8.9
Apco Worldwide,Washington,72903,-2.8
FTI Consulting [FTI Consulting (Strategic Communications)],New York,71731,6.9
GSD&M* [Omnicom],"Austin, Texas",71696,5.4
Moxie* [Publicis],Atlanta,71500,10
Geomentum* [Interpublic],"Downers Grove, Ill.",69320,4.8
SourceLink,"Itasca, Ill.",67700,-6.7
iProspect* [Aegis Group],Boston,67400,16.8
ICC Lowe* [Interpublic],"Parsippany, N.J.",66600,0
CAHG* [Omnicom],Chicago,66534,5.9
GlobalHue*,"Southfield, Mich.",65320,-0.5
22squared,Atlanta,64651,6.4
Harrison & Star* [Omnicom],New York,64200,7
Brunswick*,London,61000,3
Publicis Life Brands Medicus* [Publicis],New York,61000,0
Derse*,Milwaukee,60619,16.7
Kaplan Thaler Group* [Publicis],New York,60500,10
Brierley & Partners* [WPP],"Plano, Texas",60000,22.4
Group M Search* [WPP],St. Louis,60000,10
Glover Park Group* [WPP],Washington,60000,0
Resource Interactive,"Columbus, Ohio",60000,13.2
Team Enterprises* [MDC Partners],"Fort Lauderdale, Fla.",60000,0
Catapult RPM [Hyper Marketing],"Westport, Conn.",58825,0.7
Team One* [Publicis],"El Segundo, Calif.",58390,6.6
TBA Global*,New York,58000,5.5
Global Experience Specialists* [Viad Corp.'s Global Experience Specialists],Las Vegas,57400,2.7
Blast Radius* [WPP],New York,57400,10.4
Siegel & Gale* [Omnicom],New York,56805,NA
Tribal DDB* [Omnicom],New York,55110,-38.9
ePrize,"Pleasant Ridge, Mich.",53776,28
LBi* [LBi International],New York,53490,16.3
Huntsworth Health* [Huntsworth],"Yardley, Pa.",52617,-1
Merkley & Partners* [Omnicom],New York,52500,2.9
Periscope,Minneapolis,51474,10.7
GAPRC Group,"Stone Mountain, Ga.",51459,2.7
Javelin Marketing Group* [Omnicom],"Irving, Texas",50000,19
Bernard Hodes Group* [Omnicom],New York,50000,-9.1
R2C Group,"Portland, Ore.",49379,-4.9
Pacific Communications,"Costa Mesa, Calif.",49275,18.4
Neo@Ogilvy* [WPP],New York,49220,7
OMG Outdoor Media Group* [Omnicom],New York,48244,12.5
OgilvyAction* [WPP],New York,48090,11.8
Optimedia International U.S.* [Publicis],New York,48000,20
Grayling* [Huntsworth],London,47635,-8.1
IMC* [IMC2],Dallas,46600,-2.9
Moroch Partners,Dallas,46200,9.5
McMurry,Phoenix,46000,4.5
Fallon Worldwide* [Publicis],Minneapolis,45103,0.2
Euro RSCG Worldwide PR* [Havas],New York,45000,0
GHG* [WPP],New York,44785,0
WCG,San Francisco,44470,20.2
Bernstein-Rein Advertising,"Kansas City, Mo.",43117,-1
Rauxa*,"Costa Mesa, Calif.",42536,38.5
Carmichael Lynch* [Interpublic],Minneapolis,42441,4.8
Wasserman Media Group*,Los Angeles,42375,15.8
CementBloc,New York,42241,24.6
Ivie & Associates,"Flower Mound, Texas",42175,20.2
Hacker Group* [Interpublic],Seattle,41600,24.2
Band Digital,Chicago,41210,-4.2
GMMB* [Omnicom],Washington,41000,0
Marketing Drive* [RiverNorth Group (KB Holdings)],"Norwalk, Conn.",41000,-0.4
Martin Williams* [Omnicom],Minneapolis,40571,5.5
Kekst & Co.* [Publicis],New York,40319,0.8
Bartle Bogle Hegarty*,London,40000,2.6
Fry*,"Ann Arbor, Mich.",39920,2.9
Group360 Worldwide*,St. Louis,39913,-5
R&R Partners,Las Vegas,39601,5.5
Droga5*,New York,39420,33.6
Intouch Solutions,"Overland Park, Kan.",39159,27.6
Dieste* [Omnicom],Dallas,39024,5.5
RLM Finsbury* [WPP],New York/London,39000,-13.3
JWT Inside* [WPP],New York,38707,0
MWW Group,"East Rutherford, N.J.",38626,11
Saatchi & Saatchi Health Communications NY* [Publicis],New York,38000,-18.3
Ruder Finn [Ruder Finn Group],New York,37790,NA
McKinney,"Durham, N.C.",37400,-6.5
Mars Advertising,"Southfield, Mich.",37273,5.1
E-Graphics Worldwide* [Omnicom],"Long Beach, Calif.",37000,0
SMG Performance Marketing* [Publicis],New York,37000,15.6
MKTG,New York,36856,10.5
Anomaly* [MDC Partners],New York,36828,27.3
Maxus* [WPP],New York,36814,23
BFG Communications,"Bluffton, S.C.",36770,5.6
Barkley,"Kansas City, Mo.",36745,-13.3
SolutionSet [Hyper Marketing],"Palo Alto, Calif.",36427,91.5
Campbell Mithun* [Interpublic],Minneapolis,36101,4.8
Dachis Group*,"Austin, Texas",36000,NA
Team Epic* [Aegis Group],"Norwalk, Conn.",36000,14.6
Engauge,"Columbus, Ohio",35819,-2.2
Marketing Werks,Chicago,35264,2.3
U.S. International Media*,Los Angeles,35250,0.7
Zaaz* [WPP],Seattle,35000,6.1
Grizzard Communications Group* [Omnicom],Atlanta,34599,6.2
"Butler, Shine, Stern & Partners","Sausalito, Calif.",34585,11.7
Russ Reid Co.* [Omnicom],"Pasadena, Calif.",34526,15.1
Paradysz,New York,34329,8.8
Performics* [Publicis],Chicago,34000,17.7
Eric Mower & Associates,"Syracuse, N.Y.",33829,10.7
Saatchi & Saatchi X* [Publicis],"Springdale, Ark.",33696,8
BGT Partners,"Hallandale Beach, Fla.",33570,10
Marketing Store,"Lombard, Ill.",33251,-9.4
Bader Rutter & Associates,"Brookfield, Wis.",32828,26.9
Mother New York [Mother Holdings],New York,32700,36.3
Switch,St. Louis,32600,35.6
Saatchi & Saatchi Wellness* [Publicis],New York,32500,18.6
BVK,Milwaukee,32200,-16.6
Marc USA,Pittsburgh,32130,17.5
The Search Agency*,Los Angeles,32120,24
ICR,"Norwalk, Conn.",32030,20.8
Allen & Gerritsen,"Watertown, Mass.",31858,12
Haworth Marketing & Media,Minneapolis,31500,10.5
Bravo Group* [WPP],Miami,31500,5
Resolution Media* [Omnicom],Chicago,31440,31
Scap Mundocom* [Publicis],"Saint-Denis, France/Chicago",31400,-15.1
M.J. Brunner,Pittsburgh,31265,22
Geary LSF Group,San Francisco,31120,2.8
Acronym Media,New York,31000,5.1
Zeta Interactive*,New York,30900,0
Integrated Media Solutions* [MDC Partners],New York,30800,0.1
72andSunny Partners* [MDC Partners],Los Angeles,30420,37.9
Quigley-Simpson,Los Angeles,30156,13.4
Big Fuel* [Publicis],New York,30000,500
"Venables, Bell & Partners",San Francisco,29951,-10.1
Allied Integrated Marketing,"Cambridge, Mass.",29870,14.9
Qorvis Communications*,Washington,29500,-0.7
Ackerman McQueen,Oklahoma City,29436,-0.5
Colle & McVoy* [MDC Partners],Minneapolis,29368,6.6
Risdall Advertising,"New Brighton, Minn.",29214,6
Davis Elen Advertising,Los Angeles,29212,15.2
Cramer,"Norwood, Mass.",29000,3.6
HL Group Partners* [MDC Partners],New York,29000,38.1
Kinetic* [WPP],London,28926,4.5
David & Goliath,"El Segundo, Calif.",28900,37
Macquarium Intelligent Communications*,Atlanta,28864,-17.5
Lopez Negrete Communications,Houston,28260,17
Ascentium,"Bellevue, Wash.",28000,-35
Gotham* [Interpublic],New York,28000,4.4
Impaqt [Merkle],Pittsburgh,27443,46.8
DKC,New York,27414,13
BKV,"Overland Park, Kan.",27400,17.4
iostudio,"Nashville, Tenn.",27264,29.4
Source Marketing* [MDC Partners],"Norwalk, Conn.",27133,24.5
Mercury Media,"Santa Monica, Calif.",27132,9.7
CMD,"Portland, Ore.",27100,3
Anderson Direct Marketing,"Poway, Calif.",26000,-11.9
RTC* [WPP],Washington,26000,2.2
FutureBrand* [Interpublic],London,26000,17.6
Mr. Youth [LBi International],New York,26000,30
Inter/Media Advertising*,"Woodland Hills, Calif.",26000,-1.5
CMI/Compas,"King of Prussia, Pa.",26000,18.2
MMGY Global,"Kansas City, Mo.",25982,10.1
Pop,Seattle,25587,11.1
Brodeur Partners*,Boston,25500,0
Enlighten,"Ann Arbor, Mich.",25000,13.6
Marina Maher Communications* [Omnicom],New York,25000,0
WDCW,Seattle,25000,11.1
Alcone Marketing* [Omnicom],"Irvine, Calif.",24850,13.6
Laughlin Constable,Milwaukee,24400,25.1
Dailey* [Interpublic],"West Hollywood, Calif.",24102,4.8
Wire Stone,San Francisco,24008,19.9
Star Group*,"Voorhees, N.J.",23927,-22.8
TM Advertising* [Interpublic],Dallas,23800,0
