Accenture,1
Acosta,1
Advance Publications,1
Advantage Solutions,1
Alliance Data Systems Corp.,2
Asatsu-DK,1
BlueFocus Communication Group,3
Cheil Worldwide,3
Creston,1
DJE Holdings,2
Deloitte,1
Dentsu,13
Eastport Holdings,4
Engine Group,2
Experian,1
Hakuhodo DY Holdings,1
Havas,5
Hearst Corp.,1
Huntsworth,2
IBM Corp.,1
ICF International,1
Independent,634
Interpublic,43
M&C Saatchi,1
MDC Partners,23
Matomy Media Group,1
Meredith Corp.,1
Mother Holdings,1
Next Fifteen Communications Group,3
Omnicom,73
Project WorldWide,4
Publicis,36
PwC,1
Time Inc.,1
Viad Corp.,1
WPP,43
inVentiv Group Holdings,1
