,2011-HOLDING,2011-COUNT,2011-REVENUE
0,Ad Venture Interactive,1,93419000
10,FTI Consulting,1,71731000
13,Harte-Hanks,1,145068000
15,Hawkeye Group,1,85422000
18,Huntsworth,2,100252000
21,IMC2,1,46600000
25,LBi International,2,79490000
30,Merkle,1,27443000
31,Mother Holdings,1,32700000
32,Next Fifteen Communications Group,3,50311000
39,RiverNorth Group,3,67939000
40,Ruder Finn Group,3,73303000
42,TMP Worldwide,1,79882000
43,Viad Corp.'s Global Experience Specialists,1,57400000
