,AGENCY-COMPANY,HEADQUARTERS,2013-REVENUE,% CHG,AGENCY-NAME,AGENCY-OWNER
0,Epsilon* [Alliance Data Systems Corp.],"Irving, Texas",1182570000,11.6,Epsilon ,Alliance Data Systems Corp.
1,Acxiom Corp.*,"Little Rock, Ark.",666540000,1.9,Acxiom Corp.,Independent
2,IBM Interactive Experience* [IBM Corp.],"Armonk, N.Y.",598750000,,IBM Interactive Experience ,IBM Corp.
3,SapientNitro* [Sapient Corp.],Boston,554648000,11.0,SapientNitro ,Sapient Corp.
4,BBDO Worldwide* [Omnicom ],New York,552000000,2.1,BBDO Worldwide ,Omnicom
5,Leo Burnett Worldwide/Arc* [Publicis ],Chicago,500680000,6.2,Leo Burnett Worldwide/Arc ,Publicis
6,Edelman [DJE Holdings],Chicago,450350000,10.9,Edelman ,DJE Holdings
7,McCann Erickson Worldwide* [Interpublic],New York,437103000,3.5,McCann Erickson Worldwide ,Interpublic
8,Publicis Worldwide* [Publicis ],New York/Paris,431139000,0.0,Publicis Worldwide ,Publicis
9,Rapp* [Omnicom ],New York,428959000,1.3,Rapp ,Omnicom
10,J. Walter Thompson Co.* [WPP],New York,426682000,3.5,J. Walter Thompson Co. ,WPP
11,Y&R* [WPP],New York,417474000,5.7,Y&R ,WPP
12,Experian Marketing Services [Experian],New York,417000000,5.6,Experian Marketing Services ,Experian
13,DigitasLBi* [Publicis ],Boston,416770000,3.9,DigitasLBi ,Publicis
14,Razorfish* [Publicis ],New York,400000000,2.6,Razorfish ,Publicis
15,Weber Shandwick* [Interpublic],New York,397719000,8.6,Weber Shandwick ,Interpublic
16,FCB* [Interpublic],New York,373733000,-15.6,FCB ,Interpublic
17,FleishmanHillard* [Omnicom ],St. Louis,366425000,-2.8,FleishmanHillard ,Omnicom
18,Wunderman* [WPP],New York,361590000,2.0,Wunderman ,WPP
19,Merkle,"Columbia, Md.",348000000,16.5,Merkle,Independent
20,TBWA Worldwide* [Omnicom ],New York,324476000,1.0,TBWA Worldwide ,Omnicom
21,Havas Worldwide* [Havas],New York,304400000,-2.9,Havas Worldwide ,Havas
22,IN Marketing Services* [ASM],"Irvine, Calif.",295000000,,IN Marketing Services ,ASM
23,Grey* [WPP],New York,294300000,16.7,Grey ,WPP
24,Starcom USA* [Publicis ],Chicago,278924000,8.0,Starcom USA ,Publicis
25,DDB Worldwide* [Omnicom ],New York,276869000,5.0,DDB Worldwide ,Omnicom
26,Mindshare Worldwide* [WPP],New York,274000000,8.7,Mindshare Worldwide ,WPP
27,Rosetta* [Publicis ],"Hamilton, N.J.",270375000,5.0,Rosetta ,Publicis
28,inVentiv Health Communications*,New York,269000000,-11.7,inVentiv Health Communications,Independent
29,Ketchum* [Omnicom ],New York,262899000,8.0,Ketchum ,Omnicom
30,Saatchi & Saatchi* [Publicis ],New York,262245000,5.0,Saatchi & Saatchi ,Publicis
31,PwC Digital [PwC],"Hallandale Beach, Fla.",260000000,,PwC Digital ,PwC
32,MediaVest USA* [Publicis ],New York,251732000,30.0,MediaVest USA ,Publicis
33,Ogilvy & Mather Advertising* [WPP],New York,247900000,-4.7,Ogilvy & Mather Advertising ,WPP
34,OMD Worldwide* [Omnicom ],New York,245252000,7.5,OMD Worldwide ,Omnicom
35,R/GA* [Interpublic],New York,238000000,4.8,R/GA ,Interpublic
36,MRM//McCann* [Interpublic],New York,234746000,6.3,MRM//McCann ,Interpublic
37,OgilvyOne Worldwide* [WPP],New York,230200000,0.7,OgilvyOne Worldwide ,WPP
38,Zenith Media USA* [Publicis ],New York,225002000,12.0,Zenith Media USA ,Publicis
39,Freeman,Dallas,225000000,5.3,Freeman,Independent
40,eBay Enterprise Marketing Solutions* [eBay],"King of Prussia, Pa.",223000000,0.5,eBay Enterprise Marketing Solutions ,eBay
41,Novus Media* [Omnicom ],"Plymouth, Minn.",219738000,15.7,Novus Media ,Omnicom
42,MarketStar* [Omnicom ],"Ogden, Utah",216091000,1.3,MarketStar ,Omnicom
43,McGarryBowen* [Dentsu],New York,210000000,5.0,McGarryBowen ,Dentsu
44,Hill Holliday* [Interpublic],Boston,200560000,9.0,Hill Holliday ,Interpublic
45,Burson-Marsteller* [WPP],New York,195400000,-1.1,Burson-Marsteller ,WPP
46,Deutsch* [Interpublic],New York,187752000,3.7,Deutsch ,Interpublic
47,Richards Group,Dallas,184000000,2.2,Richards Group,Independent
48,MEC* [WPP],New York/London,184000000,-3.0,MEC ,WPP
49,iCrossing* [Hearst Corp.],New York,182000000,2.8,iCrossing ,Hearst Corp.
50,Geometry Global* [WPP],New York,181339000,3.5,Geometry Global ,WPP
51,Havas Health* [Havas],New York,181000000,-1.5,Havas Health ,Havas
52,Wieden & Kennedy*,"Portland, Ore.",177823000,-1.0,Wieden & Kennedy,Independent
53,CP&B* [MDC Partners],"Boulder, Colo.",159400000,12.0,CP&B ,MDC Partners
54,Carat* [Dentsu],New York,153504000,20.0,Carat ,Dentsu
55,Cramer-Krasselt,Chicago,152380000,-2.7,Cramer-Krasselt,Independent
56,MediaCom* [WPP],New York,151000000,9.8,MediaCom ,WPP
57,FCB Health* [Interpublic],New York,145428000,9.0,FCB Health ,Interpublic
58,Integer Group* [Omnicom ],"Lakewood, Colo.",145289000,3.0,Integer Group ,Omnicom
59,Hill&Knowlton Strategies* [WPP],New York,140500000,-7.8,Hill&Knowlton Strategies ,WPP
60,Horizon Media*,New York,140250000,10.0,Horizon Media,Independent
61,Interbrand* [Omnicom ],New York,140000000,9.4,Interbrand ,Omnicom
62,George P. Johnson [Project WorldWide],"Auburn Hills, Mich.",138709000,-6.7,George P. Johnson ,Project WorldWide
63,Acquity Group* [Part of Accenture Interactive],Chicago,138027000,-2.1,Acquity Group ,Part of Accenture Interactive
64,AKQA* [WPP],San Francisco,138000000,20.0,AKQA ,WPP
65,VML* [WPP],"Kansas City, Mo.",136831000,5.7,VML ,WPP
