,2012-HOLDING,2012-COUNT,2012-REVENUE
0,Advance Publications,1,34408000
3,Cheil Worldwide,2,52786000
6,Deloitte Touche Tohmatsu,1,110000000
12,Harte-Hanks,1,140001000
14,Hawkeye Group,1,90530000
17,Huntsworth,2,100668000
22,Klick Inc.,1,62425000
26,Matomy Media Group,1,79619000
27,Meredith Corp.,1,143000000
28,Mother Holdings,1,34000000
29,Next Fifteen Communications Group,3,51645000
37,Ruder Finn Group,3,73350000
39,TMP Worldwide,1,84407000
40,Viad Corp.,1,58700000
