Ad Venture Interactive,1
Aegis Group,5
Alliance Data Systems Corp.,1
Alloy Media & Marketing,1
Asatsu-DK,1
Cheil Worldwide,1
Chime Communications,1
Creston,1
D.L. Ryan Cos.,4
Daniel J. Edelman,3
Dentsu,5
Emak Worldwide,2
Engine Group,2
FTI Consulting,1
FullSix Group,1
GSI Commerce Inc.,1
Groupe Aeroplan,1
Grupo ABC,2
Hakuhodo DY Holdings,1
Harte-Hanks,1
Havas,8
Hawkeye Group,1
HealthStar Communications,2
Hearst Corp.,1
Huntsworth,2
IBM Corp.,1
IMC2,1
Independent,634
Interpublic,39
Iris Worldwide,1
LBi International,1
MDC Partners,19
Marc USA,1
Media Square,1
Meredith Corp.,1
Merkle,1
Mother Holdings,1
Next Fifteen Communications Group,2
Omnicom,63
Project WorldWide,2
Publicis,39
Quebecor Media,1
Regan Communications Group,1
Richards Group,1
RiverNorth Group,3
Ruder Finn Group,2
Sapient Corp.,1
TMP Worldwide,1
Viad Corp.,1
Vision7 Int'l,1
Vision7 International,1
WPP,46
inVentiv Group Holdings,1
