,AGENCY-COMPANY,HEADQUARTERS,2010-REVENUE,% CHG,AGENCY-NAME,AGENCY-OWNER
0,Acxiom Corp.,"Little Rock, Ark.",623000000,-2.4,Acxiom Corp.,Independent
1,Epsilon [Alliance Data Systems Corp.],"Irving, Texas",584400000,19.8,Epsilon ,Alliance Data Systems Corp.
2,DraftFCB* [Interpublic (DraftFCB)],Chicago/New York,530000000,7.1,DraftFCB ,Interpublic
3,McCann Erickson Worldwide* [Interpublic (McCann)],New York,456863000,1.5,McCann Erickson Worldwide ,Interpublic
4,BBDO Worldwide* [Omnicom (BBDO)],New York,450000000,3.2,BBDO Worldwide ,Omnicom
5,Leo Burnett Worldwide/Arc* [Publicis (Leo Burnett)],Chicago,441013000,7.5,Leo Burnett Worldwide/Arc ,Publicis
6,Rapp* [Omnicom (DDB {Rapp})],New York,376500000,10.7,Rapp ,Omnicom
7,JWT* [WPP (JWT)],New York,356245000,9.6,JWT ,WPP
8,SapientNitro [Sapient Corp.],Boston,350000000,35.1,SapientNitro ,Sapient Corp.
9,Edelman [Daniel J. Edelman],Chicago,338090000,17.9,Edelman ,Daniel J. Edelman
10,Euro RSCG Worldwide* [Havas (Euro RSCG)],New York,337203000,3.5,Euro RSCG Worldwide ,Havas
11,Digitas* [Publicis (Digitas)],Boston,331800000,12.5,Digitas ,Publicis
12,Wunderman* [WPP (Y&R {Wunderman})],New York,324530000,8.8,Wunderman ,WPP
13,Weber Shandwick* [Interpublic (McCann)],New York,320000000,10.0,Weber Shandwick ,Interpublic
14,Razorfish* [Publicis (Razorfish)],Seattle,317000000,6.4,Razorfish ,Publicis
15,Y&R* [WPP (Y&R)],New York,304000000,6.3,Y&R ,WPP
16,Fleishman-Hillard* [Omnicom],St. Louis,294000000,8.1,Fleishman-Hillard ,Omnicom
17,inVentiv Health* [inVentiv Group Holdings],"Westerville, Ohio",269425000,16.5,inVentiv Health ,inVentiv Group Holdings
18,Carlson Marketing* [Groupe Aeroplan],Minneapolis,266251000,4.0,Carlson Marketing ,Groupe Aeroplan
19,DDB Worldwide* [Omnicom (DDB)],New York,263550000,5.0,DDB Worldwide ,Omnicom
20,TBWA Worldwide* [Omnicom (TBWA)],New York,260000000,4.0,TBWA Worldwide ,Omnicom
21,Merkle,"Columbia, Md.",254000000,13.9,Merkle,Independent
22,OgilvyOne Worldwide* [WPP (O&M)],New York,251000000,13.1,OgilvyOne Worldwide ,WPP
23,Aspen Marketing Services,"West Chicago, Ill.",244334000,8.4,Aspen Marketing Services,Independent
24,IBM Interactive* [IBM Corp.],Chicago,233600000,10.9,IBM Interactive ,IBM Corp.
25,Starcom USA* [Publicis (SMG)],Chicago,225000000,9.0,Starcom USA ,Publicis
26,Rosetta,"Hamilton, N.J.",218394000,23.1,Rosetta,Independent
27,Saatchi & Saatchi* [Publicis (Saatchi)],New York,214200000,2.0,Saatchi & Saatchi ,Publicis
28,Burson-Marsteller* [WPP (Y&R {Burson-Marsteller})],New York,200000000,6.7,Burson-Marsteller ,WPP
29,Grey* [WPP (Grey)],New York,191400000,6.3,Grey ,WPP
30,Hill & Knowlton* [WPP],New York,190000000,2.7,Hill & Knowlton ,WPP
31,Ketchum* [Omnicom],New York,185000000,6.3,Ketchum ,Omnicom
32,OMD Worldwide* [Omnicom (OMG)],New York,183600000,4.3,OMD Worldwide ,Omnicom
33,R/GA* [Interpublic (DraftFCB)],New York,175000000,45.8,R/GA ,Interpublic
34,Meredith Integrated Marketing [Meredith Corp.],"Des Moines, Iowa",173000000,-2.8,Meredith Integrated Marketing ,Meredith Corp.
35,Deutsch* [Interpublic (Lowe)],New York,171600000,4.0,Deutsch ,Interpublic
36,Digitas Health* [Publicis (Digitas)],Philadelphia,170436000,16.7,Digitas Health ,Publicis
37,Richards Group,Dallas,170000000,0.3,Richards Group,Independent
38,MEC* [WPP (Group M)],New York/London,168421000,5.0,MEC ,WPP
39,Ogilvy & Mather Advertising* [WPP (O&M)],New York,168000000,8.4,Ogilvy & Mather Advertising ,WPP
40,Publicis* [Publicis (Publicis)],New York/Paris,167940000,8.0,Publicis ,Publicis
41,Hill Holliday* [Interpublic],Boston,166400000,4.0,Hill Holliday ,Interpublic
42,GSI Global Marketing Services* [GSI Commerce Inc.],"King of Prussia, Pa.",162881000,48.8,GSI Global Marketing Services ,GSI Commerce Inc.
43,Mindshare Worldwide* [WPP (Group M)],New York,159092000,15.0,Mindshare Worldwide ,WPP
44,Campbell Ewald* [Interpublic],"Warren, Mich.",157000000,0.0,Campbell Ewald ,Interpublic
45,MediaVest USA* [Publicis (SMG)],New York,155400000,11.0,MediaVest USA ,Publicis
46,Zenith Media USA* [Publicis (ZenithOptimedia)],New York,151000000,17.1,Zenith Media USA ,Publicis
47,Ogilvy CommonHealth Worldwide* [WPP (O&M)],"Parsippany, N.J.",150000000,-16.7,Ogilvy CommonHealth Worldwide ,WPP
48,Cramer-Krasselt,Chicago,149615000,0.7,Cramer-Krasselt,Independent
49,Crispin Porter & Bogusky* [MDC Partners],"Miami/Boulder, Colo.",144765000,4.8,Crispin Porter & Bogusky ,MDC Partners
50,"Goodby, Silverstein & Partners* [Omnicom]",San Francisco,142740000,35.9,"Goodby, Silverstein & Partners ",Omnicom
51,CDM New York* [Omnicom (CDM Group)],New York,140000000,7.7,CDM New York ,Omnicom
52,Wieden & Kennedy*,"Portland, Ore.",138600000,20.7,Wieden & Kennedy,Independent
53,The Agency Inside Harte-Hanks [Harte-Hanks],"Yardley, Pa.",138585000,-1.8,The Agency Inside Harte-Hanks ,Harte-Hanks
54,Integer Group* [Omnicom (TBWA)],"Lakewood, Colo.",137160000,8.0,Integer Group ,Omnicom
55,Martin Agency* [Interpublic (McCann)],"Richmond, Va.",136640000,22.0,Martin Agency ,Interpublic
56,iCrossing* [Hearst Corp.],"Scottsdale, Ariz.",136100000,12.0,iCrossing ,Hearst Corp.
57,Doner*,"Southfield, Mich.",133000000,-6.3,Doner,Independent
58,Ogilvy Public Relations Worldwide* [WPP (O&M)],New York,130000000,5.7,Ogilvy Public Relations Worldwide ,WPP
59,Organic* [Omnicom (BBDO)],San Francisco,129007000,-4.8,Organic ,Omnicom
60,AKQA,San Francisco,124800000,26.1,AKQA,Independent
61,Euro RSCG Life* [Havas (Euro RSCG)],New York,124320000,12.0,Euro RSCG Life ,Havas
62,George P. Johnson [Project WorldWide],"Auburn Hills, Mich.",121999000,-1.2,George P. Johnson ,Project WorldWide
63,G2* [WPP (Grey)],New York,117857000,-1.8,G2 ,WPP
