,2010-HOLDING,2010-COUNT,2010-REVENUE
1,Aegis Group,5,189900000
9,Daniel J. Edelman,3,361691000
10,Dentsu,5,230800000
15,GSI Commerce Inc.,1,162881000
16,Groupe Aeroplan,1,266251000
25,IBM Corp.,1,233600000
34,Meredith Corp.,1,173000000
46,Sapient Corp.,1,350000000
52,inVentiv Group Holdings,1,269425000
