,2013-HOLDING,2013-COUNT,2013-REVENUE
0,ASM,1,295000000
7,DJE Holdings,2,478485000
11,Experian,1,417000000
16,Hearst Corp.,1,182000000
31,Project WorldWide,2,156159000
33,PwC,1,260000000
40,eBay,1,223000000
