,AGENCY-COMPANY,HEADQUARTERS,2013-REVENUE,% CHG,AGENCY-NAME,AGENCY-OWNER
0,Epsilon* [Alliance Data Systems Corp.],"Irving, Texas",118257000,11.6,Epsilon* ,Alliance Data Systems Corp.
1,Acxiom Corp.*,"Little Rock, Ark.",66654000,1.9,Acxiom Corp.*,Independent
2,IBM Interactive Experience* [IBM Corp.],"Armonk, N.Y.",59875000,,IBM Interactive Experience* ,IBM Corp.
3,SapientNitro* [Sapient Corp.],Boston,55464800,11.0,SapientNitro* ,Sapient Corp.
4,BBDO Worldwide* [Omnicom ],New York,55200000,2.1,BBDO Worldwide* ,Omnicom 
5,Leo Burnett Worldwide/Arc* [Publicis ],Chicago,50068000,6.2,Leo Burnett Worldwide/Arc* ,Publicis 
6,Edelman [DJE Holdings],Chicago,45035000,10.9,Edelman ,DJE Holdings
7,McCann Erickson Worldwide* [Interpublic],New York,43710300,3.5,McCann Erickson Worldwide* ,Interpublic
8,Publicis Worldwide* [Publicis ],New York/Paris,43113900,0.0,Publicis Worldwide* ,Publicis 
9,Rapp* [Omnicom ],New York,42895900,1.3,Rapp* ,Omnicom 
10,J. Walter Thompson Co.* [WPP],New York,42668200,3.5,J. Walter Thompson Co.* ,WPP
11,Y&R* [WPP],New York,41747400,5.7,Y&R* ,WPP
12,Experian Marketing Services [Experian],New York,41700000,5.6,Experian Marketing Services ,Experian
13,DigitasLBi* [Publicis ],Boston,41677000,3.9,DigitasLBi* ,Publicis 
14,Razorfish* [Publicis ],New York,40000000,2.6,Razorfish* ,Publicis 
15,Weber Shandwick* [Interpublic],New York,39771900,8.6,Weber Shandwick* ,Interpublic
16,FCB* [Interpublic],New York,37373300,-15.6,FCB* ,Interpublic
17,FleishmanHillard* [Omnicom ],St. Louis,36642500,-2.8,FleishmanHillard* ,Omnicom 
18,Wunderman* [WPP],New York,36159000,2.0,Wunderman* ,WPP
19,Merkle,"Columbia, Md.",34800000,16.5,Merkle,Independent
20,TBWA Worldwide* [Omnicom ],New York,32447600,1.0,TBWA Worldwide* ,Omnicom 
21,Havas Worldwide* [Havas],New York,30440000,-2.9,Havas Worldwide* ,Havas
22,IN Marketing Services* [ASM],"Irvine, Calif.",29500000,,IN Marketing Services* ,ASM
23,Grey* [WPP],New York,29430000,16.7,Grey* ,WPP
24,Starcom USA* [Publicis ],Chicago,27892400,8.0,Starcom USA* ,Publicis 
25,DDB Worldwide* [Omnicom ],New York,27686900,5.0,DDB Worldwide* ,Omnicom 
26,Mindshare Worldwide* [WPP],New York,27400000,8.7,Mindshare Worldwide* ,WPP
27,Rosetta* [Publicis ],"Hamilton, N.J.",27037500,5.0,Rosetta* ,Publicis 
28,inVentiv Health Communications*,New York,26900000,-11.7,inVentiv Health Communications*,Independent
29,Ketchum* [Omnicom ],New York,26289900,8.0,Ketchum* ,Omnicom 
30,Saatchi & Saatchi* [Publicis ],New York,26224500,5.0,Saatchi & Saatchi* ,Publicis 
31,PwC Digital [PwC],"Hallandale Beach, Fla.",26000000,,PwC Digital ,PwC
32,MediaVest USA* [Publicis ],New York,25173200,30.0,MediaVest USA* ,Publicis 
33,Ogilvy & Mather Advertising* [WPP],New York,24790000,-4.7,Ogilvy & Mather Advertising* ,WPP
34,OMD Worldwide* [Omnicom ],New York,24525200,7.5,OMD Worldwide* ,Omnicom 
35,R/GA* [Interpublic],New York,23800000,4.8,R/GA* ,Interpublic
36,MRM//McCann* [Interpublic],New York,23474600,6.3,MRM//McCann* ,Interpublic
37,OgilvyOne Worldwide* [WPP],New York,23020000,0.7,OgilvyOne Worldwide* ,WPP
38,Zenith Media USA* [Publicis ],New York,22500200,12.0,Zenith Media USA* ,Publicis 
39,Freeman,Dallas,22500000,5.3,Freeman,Independent
40,eBay Enterprise Marketing Solutions* [eBay],"King of Prussia, Pa.",22300000,0.5,eBay Enterprise Marketing Solutions* ,eBay
41,Novus Media* [Omnicom ],"Plymouth, Minn.",21973800,15.7,Novus Media* ,Omnicom 
42,MarketStar* [Omnicom ],"Ogden, Utah",21609100,1.3,MarketStar* ,Omnicom 
43,McGarryBowen* [Dentsu],New York,21000000,5.0,McGarryBowen* ,Dentsu
44,Hill Holliday* [Interpublic],Boston,20056000,9.0,Hill Holliday* ,Interpublic
45,Burson-Marsteller* [WPP],New York,19540000,-1.1,Burson-Marsteller* ,WPP
46,Deutsch* [Interpublic],New York,18775200,3.7,Deutsch* ,Interpublic
47,Richards Group,Dallas,18400000,2.2,Richards Group,Independent
48,MEC* [WPP],New York/London,18400000,-3.0,MEC* ,WPP
49,iCrossing* [Hearst Corp.],New York,18200000,2.8,iCrossing* ,Hearst Corp.
50,Geometry Global* [WPP],New York,18133900,3.5,Geometry Global* ,WPP
51,Havas Health* [Havas],New York,18100000,-1.5,Havas Health* ,Havas
52,Wieden & Kennedy*,"Portland, Ore.",17782300,-1.0,Wieden & Kennedy*,Independent
53,CP&B* [MDC Partners],"Boulder, Colo.",15940000,12.0,CP&B* ,MDC Partners
54,Carat* [Dentsu],New York,15350400,20.0,Carat* ,Dentsu
55,Cramer-Krasselt,Chicago,15238000,-2.7,Cramer-Krasselt,Independent
56,MediaCom* [WPP],New York,15100000,9.8,MediaCom* ,WPP
57,FCB Health* [Interpublic],New York,14542800,9.0,FCB Health* ,Interpublic
58,Integer Group* [Omnicom ],"Lakewood, Colo.",14528900,3.0,Integer Group* ,Omnicom 
59,Hill&Knowlton Strategies* [WPP],New York,14050000,-7.8,Hill&Knowlton Strategies* ,WPP
60,Horizon Media*,New York,14025000,10.0,Horizon Media*,Independent
61,Interbrand* [Omnicom ],New York,14000000,9.4,Interbrand* ,Omnicom 
62,George P. Johnson [Project WorldWide],"Auburn Hills, Mich.",13870900,-6.7,George P. Johnson ,Project WorldWide
63,Acquity Group* [Part of Accenture Interactive],Chicago,13802700,-2.1,Acquity Group* ,Part of Accenture Interactive
64,AKQA* [WPP],San Francisco,13800000,20.0,AKQA* ,WPP
65,VML* [WPP],"Kansas City, Mo.",13683100,5.7,VML* ,WPP
66,The Agency Inside [Harte-Hanks],"Yardley, Pa.",13675300,-2.3,The Agency Inside ,Harte-Hanks
67,Ogilvy CommonHealth Worldwide* [WPP],"Parsippany, N.J.",13650000,2.3,Ogilvy CommonHealth Worldwide* ,WPP
68,Catapult* [Alliance Data Systems Corp.],"Westport, Conn.",13355200,3.5,Catapult* ,Alliance Data Systems Corp.
69,Match Marketing Group,"Mississauga, Ontario, Canada",13120800,10.0,Match Marketing Group,Independent
70,Mullen* [Interpublic],Boston,12951400,8.5,Mullen* ,Interpublic
71,360i* [Dentsu],New York,12900000,11.2,360i* ,Dentsu
72,Meredith Xcelerated Marketing [Meredith Corp.],New York,12800000,-10.5,Meredith Xcelerated Marketing ,Meredith Corp.
73,GMR Marketing* [Omnicom ],"New Berlin, Wis.",12750000,2.0,GMR Marketing* ,Omnicom 
74,Deloitte Digital* [Deloitte],Seattle,12640000,8.7,Deloitte Digital* ,Deloitte
75,Huge* [Interpublic],"Brooklyn, N.Y.",12600000,32.6,Huge* ,Interpublic
76,Organic* [Omnicom ],San Francisco,12459900,1.3,Organic* ,Omnicom 
77,Zimmerman Advertising* [Omnicom ],"Fort Lauderdale, Fla.",12170500,1.0,Zimmerman Advertising* ,Omnicom 
78,Jack Morton Worldwide* [Interpublic],Boston,12147500,7.5,Jack Morton Worldwide* ,Interpublic
79,Ogilvy Public Relations* [WPP],New York,12130000,-7.4,Ogilvy Public Relations* ,WPP
80,Moxie* [Publicis ],Atlanta,12100000,9.7,Moxie* ,Publicis 
81,Lowe Campbell Ewald* [Interpublic],Detroit,12100000,0.0,Lowe Campbell Ewald* ,Interpublic
