,AGENCY-COMPANY,HEADQUARTERS,2010-REVENUE,% CHG,AGENCY-NAME,AGENCY-OWNER
0,Acxiom Corp.,"Little Rock, Ark.",62300000,-2.4,Acxiom Corp.,Independent
1,Epsilon [Alliance Data Systems Corp.],"Irving, Texas",58440000,19.8,Epsilon ,Alliance Data Systems Corp.
2,DraftFCB* [Interpublic (DraftFCB)],Chicago/New York,53000000,7.1,DraftFCB* ,Interpublic (DraftFCB)
3,McCann Erickson Worldwide* [Interpublic (McCann)],New York,45686300,1.5,McCann Erickson Worldwide* ,Interpublic (McCann)
4,BBDO Worldwide* [Omnicom (BBDO)],New York,45000000,3.2,BBDO Worldwide* ,Omnicom (BBDO)
5,Leo Burnett Worldwide/Arc* [Publicis (Leo Burnett)],Chicago,44101300,7.5,Leo Burnett Worldwide/Arc* ,Publicis (Leo Burnett)
6,Rapp* [Omnicom (DDB {Rapp})],New York,37650000,10.7,Rapp* ,Omnicom (DDB {Rapp})
7,JWT* [WPP (JWT)],New York,35624500,9.6,JWT* ,WPP (JWT)
8,SapientNitro [Sapient Corp.],Boston,35000000,35.1,SapientNitro ,Sapient Corp.
9,Edelman [Daniel J. Edelman],Chicago,33809000,17.9,Edelman ,Daniel J. Edelman
10,Euro RSCG Worldwide* [Havas (Euro RSCG)],New York,33720300,3.5,Euro RSCG Worldwide* ,Havas (Euro RSCG)
11,Digitas* [Publicis (Digitas)],Boston,33180000,12.5,Digitas* ,Publicis (Digitas)
12,Wunderman* [WPP (Y&R {Wunderman})],New York,32453000,8.8,Wunderman* ,WPP (Y&R {Wunderman})
13,Weber Shandwick* [Interpublic (McCann)],New York,32000000,10.0,Weber Shandwick* ,Interpublic (McCann)
14,Razorfish* [Publicis (Razorfish)],Seattle,31700000,6.4,Razorfish* ,Publicis (Razorfish)
15,Y&R* [WPP (Y&R)],New York,30400000,6.3,Y&R* ,WPP (Y&R)
16,Fleishman-Hillard* [Omnicom],St. Louis,29400000,8.1,Fleishman-Hillard* ,Omnicom
17,inVentiv Health* [inVentiv Group Holdings],"Westerville, Ohio",26942500,16.5,inVentiv Health* ,inVentiv Group Holdings
18,Carlson Marketing* [Groupe Aeroplan],Minneapolis,26625100,4.0,Carlson Marketing* ,Groupe Aeroplan
19,DDB Worldwide* [Omnicom (DDB)],New York,26355000,5.0,DDB Worldwide* ,Omnicom (DDB)
20,TBWA Worldwide* [Omnicom (TBWA)],New York,26000000,4.0,TBWA Worldwide* ,Omnicom (TBWA)
21,Merkle,"Columbia, Md.",25400000,13.9,Merkle,Independent
22,OgilvyOne Worldwide* [WPP (O&M)],New York,25100000,13.1,OgilvyOne Worldwide* ,WPP (O&M)
23,Aspen Marketing Services,"West Chicago, Ill.",24433400,8.4,Aspen Marketing Services,Independent
24,IBM Interactive* [IBM Corp.],Chicago,23360000,10.9,IBM Interactive* ,IBM Corp.
25,Starcom USA* [Publicis (SMG)],Chicago,22500000,9.0,Starcom USA* ,Publicis (SMG)
