,AGENCY-COMPANY,HEADQUARTERS,2011-REVENUE,% CHG,AGENCY-NAME,AGENCY-OWNER
0,Epsilon* [Alliance Data Systems Corp.'s Epsilon],"Irving, Texas",897741000,9.4,Epsilon ,Alliance Data Systems Corp.'s Epsilon
1,Acxiom Corp.,"Little Rock, Ark.",656076000,5.3,Acxiom Corp.,Independent
2,DraftFCB* [Interpublic],Chicago/New York,536650000,0.0,DraftFCB ,Interpublic
3,BBDO Worldwide* [Omnicom],New York,495000000,10.0,BBDO Worldwide ,Omnicom
4,SapientNitro* [Sapient Corp.'s SapientNitro],Boston,450400000,28.7,SapientNitro ,Sapient Corp.'s SapientNitro
5,McCann Erickson Worldwide* [Interpublic],New York,450000000,-0.2,McCann Erickson Worldwide ,Interpublic
6,Leo Burnett Worldwide/Arc* [Publicis],Chicago,449000000,1.8,Leo Burnett Worldwide/Arc ,Publicis
7,Rapp* [Omnicom],New York,416786000,10.7,Rapp ,Omnicom
8,Digitas* [Publicis],Boston,400000000,20.6,Digitas ,Publicis
9,Edelman [Daniel J. Edelman],Chicago,383425000,9.8,Edelman ,Daniel J. Edelman
10,Y&R* [WPP],New York,370000000,9.0,Y&R ,WPP
11,JWT* [WPP],New York,358000000,0.5,JWT ,WPP
12,Weber Shandwick* [Interpublic],New York,354000000,10.6,Weber Shandwick ,Interpublic
13,Wunderman* [WPP],New York,340757000,5.0,Wunderman ,WPP
14,Razorfish* [Publicis],New York,330000000,4.1,Razorfish ,Publicis
15,Euro RSCG Worldwide* [Havas],New York,315700000,3.6,Euro RSCG Worldwide ,Havas
16,TBWA Worldwide* [Omnicom],New York,311000000,4.7,TBWA Worldwide ,Omnicom
17,Fleishman-Hillard* [Omnicom],St. Louis,310500000,5.6,Fleishman-Hillard ,Omnicom
18,Merkle,"Columbia, Md.",303000000,19.3,Merkle,Independent
19,DDB Worldwide* [Omnicom],New York,296711000,12.6,DDB Worldwide ,Omnicom
20,inVentiv Health*,"Burlington, Mass.",293673000,,inVentiv Health,Independent
21,OgilvyOne Worldwide* [WPP],New York,262550000,4.6,OgilvyOne Worldwide ,WPP
22,Starcom USA* [Publicis],Chicago,257175000,14.3,Starcom USA ,Publicis
23,IBM Interactive* [IBM Corp.'s IBM Interactive],Chicago,255000000,,IBM Interactive ,IBM Corp.'s IBM Interactive
24,Rosetta* [Publicis],"Hamilton, N.J.",250000000,20.8,Rosetta ,Publicis
25,Saatchi & Saatchi* [Publicis],New York,235620000,10.0,Saatchi & Saatchi ,Publicis
26,Grey* [WPP],New York,230000000,20.2,Grey ,WPP
27,GSI Marketing Services* [eBay's GSI Marketing Services],"King of Prussia, Pa.",226700000,19.4,GSI Marketing Services ,eBay's GSI Marketing Services
28,R/GA* [Interpublic],New York,220000000,25.7,R/GA ,Interpublic
29,Ketchum* [Omnicom],New York,218000000,17.8,Ketchum ,Omnicom
30,OMD Worldwide* [Omnicom],New York,209304000,14.0,OMD Worldwide ,Omnicom
31,Mindshare Worldwide* [WPP],New York,202717000,27.4,Mindshare Worldwide ,WPP
32,Burson-Marsteller* [WPP],New York,200000000,0.0,Burson-Marsteller ,WPP
33,CDM Group* [Omnicom],New York,192351000,4.5,CDM Group ,Omnicom
34,MarketStar* [Omnicom],"Ogden, Utah",180000000,20.0,MarketStar ,Omnicom
35,Meredith Xcelerated Marketing [Meredith Corp.'s Meredith Xcelerated Marketing],Des Moines,180000000,4.0,Meredith Xcelerated Marketing ,Meredith Corp.'s Meredith Xcelerated Marketing
36,MEC* [WPP],New York/London,177552000,5.4,MEC ,WPP
37,Zenith Media USA* [Publicis],New York,177000000,17.2,Zenith Media USA ,Publicis
38,Ogilvy & Mather Advertising* [WPP],New York,176400000,5.0,Ogilvy & Mather Advertising ,WPP
39,Hill Holliday* [Interpublic],Boston,176400000,6.0,Hill Holliday ,Interpublic
40,Deutsch* [Interpublic],New York,175780000,2.4,Deutsch ,Interpublic
41,Richards Group,Dallas,173000000,1.8,Richards Group,Independent
42,Wieden & Kennedy*,"Portland, Ore.",170182000,27.7,Wieden & Kennedy,Independent
