,2013-HOLDING,2013-COUNT,2013-REVENUE
2,Alliance Data Systems Corp.,2,1316122000
9,Dentsu,11,748800000
15,Havas,5,727700000
18,IBM Corp.,1,598750000
23,MDC Partners,21,845993000
36,Sapient Corp.,2,574748000
