,2014-HOLDING,2014-COUNT,2014-REVENUE
0,Accenture,1,565765000
3,Alliance Data Systems Corp.,2,1964635000
8,DJE Holdings,2,510437000
9,Deloitte,1,757100000
10,Dentsu,12,857192000
16,Havas,5,780200000
19,IBM Corp.,1,708520000
24,MDC Partners,20,973610000
