,AGENCY-COMPANY,HEADQUARTERS,2014-REVENUE,% CHG,AGENCY-NAME,AGENCY-OWNER
0,Epsilon [Alliance Data Systems Corp.],"Irving, Texas",179341700,4.9,Epsilon ,Alliance Data Systems Corp.
1,Deloitte Digital* [Deloitte],Seattle,75710000,,Deloitte Digital* ,Deloitte
2,IBM Interactive Experience* [IBM Corp.],"Armonk, N.Y.",70852000,,IBM Interactive Experience* ,IBM Corp.
3,Acxiom Corp.*,"Little Rock, Ark.",70676100,2.4,Acxiom Corp.*,Independent
4,SapientNitro* [Publicis],Boston,60638700,9.3,SapientNitro* ,Publicis
5,BBDO Worldwide* [Omnicom],New York,57684000,4.5,BBDO Worldwide* ,Omnicom
6,Accenture Interactive [Accenture],New York,56576500,,Accenture Interactive ,Accenture
7,Leo Burnett Worldwide/Arc* [Publicis],Chicago,48745500,-0.6,Leo Burnett Worldwide/Arc* ,Publicis
8,Edelman [DJE Holdings],Chicago,48213800,7.1,Edelman ,DJE Holdings
9,PwC's Digital Services,"Hallandale Beach, Fla.",47100000,,PwC's Digital Services,Independent
10,Rapp* [Omnicom],New York,45469700,6.0,Rapp* ,Omnicom
11,Publicis Worldwide* [Publicis],Paris,45384800,1.0,Publicis Worldwide* ,Publicis
12,McCann Erickson Worldwide* [Interpublic],New York,44500000,10.7,McCann Erickson Worldwide* ,Interpublic
13,DigitasLBi* [Publicis],Boston,44384100,4.0,DigitasLBi* ,Publicis
14,J. Walter Thompson Co.* [WPP],New York,43521600,2.0,J. Walter Thompson Co.* ,WPP
15,Y&R* [WPP],New York,43500000,4.2,Y&R* ,WPP
16,Experian Marketing Services [Experian],New York,43300000,3.8,Experian Marketing Services ,Experian
17,Harte Hanks*,San Antonio,42702500,0.6,Harte Hanks*,Independent
18,Weber Shandwick* [Interpublic],New York,42509800,11.0,Weber Shandwick* ,Interpublic
19,Merkle,"Columbia, Md.",42450000,15.5,Merkle,Independent
20,Wunderman* [WPP],New York,39784000,0.0,Wunderman* ,WPP
21,Razorfish* [Publicis],New York,35660000,-11.6,Razorfish* ,Publicis
