AGENCY-COMPANY,HEADQUARTERS,2012-REVENUE,% CHG
SourceLink,"Itasca, Ill.","75,100",10.9
AbelsonTaylor,Chicago,"74,368",-4
Moxie* [Publicis],Atlanta,"71,300",-0.3
Brierley & Partners* [WPP],"Plano, Texas","70,000",16.7
Match Marketing Group,"Mississauga, Ontario","67,250",17
GSD&M* [Omnicom],"Austin, Texas","67,000",-1.5
22squared,Atlanta,"66,657",3.1
FTI Consulting* (Strategic Communications),New York,"66,351",-7.5
ePrize,"Pleasant Ridge, Mich.","65,221",21.3
Group360 Worldwide,St. Louis,"65,000",44.4
Parago,"Lewisville, Texas","64,097",2.6
GlobalHue*,"Southfield, Mich.","63,925",-2.1
Team Enterprises* [MDC Partners],"Fort Lauderdale, Fla.","63,600",6
Maxus* [WPP],New York,"63,338",85
CAHG* [Omnicom],Chicago,"63,000",-5.3
Harrison & Star* [Omnicom],New York,"62,852",-2.1
Team One* [Publicis],"El Segundo, Calif.","62,477",7
Klick Health [Klick Inc.],Toronto,"62,425",26.9
iProspect* [Dentsu],Boston,"62,400",6.3
Resource,"Columbus, Ohio","62,000",3.3
Glover Park Group* [WPP],Washington,"61,934",3.2
ICC Lowe* [Interpublic],"Parsippany, N.J.","61,300",-8
Optimedia International U.S.* [Publicis],New York,"61,200",27.5
DDB Health/DDB Remedy* [Omnicom],New York,"60,000",0
Huntsworth Health* [Huntsworth],"Yardley, Pa.","59,788",14.6
TBA Global,New York,"59,000",13.5
Merkley & Partners* [Omnicom],New York,"58,800",12
Global Experience Specialists* [Viad Corp.],Las Vegas,"58,700",2.3
PureRed,"Stone Mountain, Ga.","58,686",14
Blast Radius* [WPP],New York,"58,000",1
Saatchi & Saatchi Health & Wellness* [Publicis],New York,"58,000",-17.7
Periscope,Minneapolis,"57,872",12.4
Siegel & Gale* [Omnicom],New York,"57,743",1.7
Tribal Worldwide* [Omnicom],New York,"57,573",4.5
W2O Group,San Francisco,"56,097",26.1
Rauxa*,"Costa Mesa, Calif.","55,336",30.1
PlattForm Advertising,"Lenexa, Kan.","54,569",NA
Pacific Communications,"Costa Mesa, Calif.","53,520",8.6
VivaKi* [Publicis],Chicago,"53,025",NA
Moroch Partners,Dallas,"52,906",14.5
GMMB* [Omnicom],Washington,"52,000",26.8
Javelin Marketing Group* [Omnicom],"Irving, Texas","52,000",4
OgilvyAction* [WPP],New York,"51,400",6.9
Intouch Solutions,"Overland Park, Kan.","51,188",30.7
OMG Outdoor Media Group* [Omnicom],New York,"50,400",4.5
Ivie & Associates,"Flower Mound, Texas","50,380",19.5
72andSunny Partners* [MDC Partners],Los Angeles,"50,356",65.5
R2C Group,"Portland, Ore.","46,558",-5.7
R&R Partners,Las Vegas,"46,494",13
Campbell Mithun* [Interpublic],Minneapolis,"46,000",NA
Havas PR* [Havas],New York,"45,990",2.2
MWW Group,"East Rutherford, N.J.","45,908",11.3
Publicis Life Brands Medicus* [Publicis],New York,"45,000",-26.2
Marketing Store,Chicago,"44,822",-18.6
Wasserman Media Group*,Los Angeles,"43,753",11
Neo@Ogilvy* [WPP],New York,"43,700",-11.2
Bernstein-Rein Advertising,"Kansas City, Mo.","43,026",-0.2
Russ Reid Co.* [Omnicom],"Pasadena, Calif.","42,320",7.1
CementBloc,New York,"41,600",-1.5
MKTG,New York,"41,581",12.8
Band Digital*,Chicago,"41,210",0
U.S. International Media*,Los Angeles,"41,163",7.1
Paradysz,New York,"41,043",8.5
BFG Communications,"Bluffton, S.C.","41,033",11.6
AgencyRx* [Omnicom],New York,"41,000",-2.4
Carmichael Lynch* [Interpublic],Minneapolis,"41,000",NA
GHG* [WPP],New York,"41,000",-8.5
Grayling* [Huntsworth],London,"40,880",-12.9
Fallon* [Publicis],Minneapolis,"40,479",-10.3
Performics* [Publicis],Chicago,"40,460",19
Kekst & Co.* [Publicis],New York,"40,319",NA
Water Cooler Group*,"Norwalk, Conn.","40,000",NA
Hacker Group* [Interpublic],Seattle,"39,936",-4
Switch,St. Louis,"39,800",22.1
"Butler, Shine, Stern & Partners","Sausalito, Calif.","39,780",15
JWT Inside* [WPP],New York,"39,700",2.6
Barkley,"Kansas City, Mo.","39,521",7.6
Droga5,New York,"39,500",40.6
RLM Finsbury* [WPP],New York,"39,300",0.8
CDMiConnect* [Omnicom],New York,"39,000",NA
Engauge,"Columbus, Ohio","38,958",8.8
"Venables, Bell & Partners",San Francisco,"38,879",29.8
Mars Advertising,"Southfield, Mich.","38,672",3.8
SMG Performance Marketing* [Publicis],New York,"38,295",3.5
Resolution Media* [Omnicom],Chicago,"38,042",21
E-Graphics Worldwide* [Omnicom],"Long Beach, Calif.","37,740",2
HL Group* [MDC Partners],New York,"37,618",26
Definition 6,Atlanta,"37,609",3.4
Ackerman McQueen,Oklahoma City,"37,590",27.7
Marc USA,Pittsburgh,"37,200",15.8
Bader Rutter & Associates,"Brookfield, Wis.","37,028",12.8
ICR,"Norwalk, Conn.","36,554",14.1
Grizzard Communications Group* [Omnicom],Atlanta,"36,435",5.3
Anderson Direct Marketing,"Poway, Calif.","36,361",39.8
Dachis Group*,"Austin, Texas","36,260",14.5
A.B. Data,Milwaukee,"36,129",38.4
Spark SMG* [Publicis],Chicago,"35,958",7.7
Marketing Werks,Chicago,"35,920",1.9
Eric Mower & Associates,"Syracuse, N.Y.","35,397",4.6
Allen & Gerritsen,Boston,"35,363",11
BGT Partners,"Hallandale Beach, Fla.","35,000",4.3
Team Epic* [Dentsu],"Norwalk, Conn.","34,800",4.8
Allied Integrated Marketing,"Cambridge, Mass.","34,704",16.2
Pop* [Advance Publications],Seattle,"34,408",34.5
Saatchi & Saatchi X* [Publicis],"Springdale, Ark.","34,201",1.5
Mother New York [Mother Holdings],New York,"34,000",4
Ruder Finn [Ruder Finn Group],New York,"33,704",-10.8
David & Goliath*,"El Segundo, Calif.","33,557",16.1
Anomaly* [MDC Partners],New York,"33,550",85.4
Colle & McVoy* [MDC Partners],Minneapolis,"33,294",13.4
Source Marketing* [MDC Partners],"Norwalk, Conn.","33,100",22
Digitaria* [WPP],San Diego,"33,000",37.5
The Search Agency*,Los Angeles,"32,987",2.7
DKC,New York,"32,897",20
Bartle Bogle Hegarty* [Publicis],London,"32,692",-14.2
Geary LSF Group,San Francisco,"32,574",NA
Acronym,New York,"32,500",4.8
Bravo Group* [WPP],Miami,"32,000",1.6
