AGENCY-COMPANY,HEADQUARTERS,2012-REVENUE,% CHG
Dalton Agency,"Jacksonville, Fla.","10,576",4.4
M&C Saatchi,London,"10,563",161.1
"Aloysius, Butler & Clark","Wilmington, Del.","10,552",20.6
Bromley Communications* [Publicis],San Antonio,"10,514",0
Phelps,"Santa Monica, Calif.","10,505",15.2
Questus,San Francisco,"10,500",9.4
Carol H. Williams Advertising,"Oakland, Calif.","10,322",-33
PBJS* [Publicis],Seattle,"10,280",NA
Gelia,"Williamsville, N.Y.","10,257",20.6
BoomBox,New York,"10,200",39.7
Stamats,"Cedar Rapids, Iowa","10,177",-0.3
Wpromote,"El Segundo, Calif.","10,171",31.9
Acento Advertising,"Santa Monica, Calif.","10,162",-5.8
Luquire George Andrews,"Charlotte, N.C.","10,134",44.4
Next Marketing,"Norcross, Ga.","10,100",36.5
Muse Communications,"Culver City, Calif.","10,091",176.1
Elite SEM,New York,"10,000",47.1
Pedone & Partners,New York,"10,000",11.1
Siltanen & Partners Advertising*,"El Segundo, Calif.","10,000",0
Radarworks,Los Angeles,"9,900",19.3
Strategic America,"West Des Moines, Iowa","9,876",5.5
Blitz Media*,"Waltham, Mass.","9,864",0
FullSix [FullSix Group],Paris,"9,818",0.9
Nelson Schmidt,Milwaukee,"9,800",16.7
InterTrend Communications,"Long Beach, Calif.","9,700",1
Anthology Marketing Group,Honolulu,"9,632",5.7
Elias/Savion Advertising,Pittsburgh,"9,584",4.7
FingerPaint,"Saratoga Springs, N.Y.","9,540",121
Noise [Engine Group],New York,"9,535",29.8
Marriner Marketing Communications,"Columbia, Md.","9,528",1.7
Sub Rosa,New York,"9,500",116.6
Babcock & Jenkins,"Portland, Ore.","9,450",13.2
Cole & Weber United* [WPP],Seattle,"9,450",-10
LaunchSquad,San Francisco,"9,387",26.6
Slack and Company,Chicago,"9,307",-19.8
Threespot,Washington,"9,184",15.8
Vladimir Jones,"Colorado Springs, Colo.","9,140",9.8
Charleston/Orwig,"Hartland, Wis.","9,131",3.6
Seiden Group,New York,"9,100",0
Bozell,"Omaha, Neb.","9,000",-43.8
Fly Communications,New York,"9,000",80
Rokkan* [Publicis],New York,"9,000",25
SSCG Media Group* [Omnicom],New York,"9,000",NA
Commonground Marketing,Chicago,"8,955",44.9
Johannes Leonardo* [WPP],New York,"8,935",35.4
Cannonball Advertising*,St. Louis,"8,913",13.9
Lewis Communications*,"Mobile, Ala.","8,903",0
Vizeum* [Dentsu],New York,"8,742",43.8
Butler/Till,"Rochester, N.Y.","8,728",15.7
Brighton Agency,St. Louis,"8,680",24.7
DGWB Advertising & Communications*,"Santa Ana, Calif.","8,617",-8.3
Marden-Kane,"Garden City, N.Y.","8,577",7.9
Doe-Anderson,"Louisville, Ky.","8,566",22
Centigrade,"Birmingham, Mich.","8,459",53.8
Southwest Media Group*,Dallas,"8,418",14.1
St. John & Partners Advertising & PR,"Jacksonville, Fla.","8,388",-6.1
E.B. Lane,Phoenix,"8,300",1.2
Source Communications,"Hackensack, N.J.","8,263",-5.6
Hunt Adkins,Minneapolis,"8,218",38.8
TaCito Direct,Dallas,"8,182",39.7
Castells & Asociados,Los Angeles,"8,108",-16.7
Location3 Media,Denver,"8,052",12.4
Taxi* [WPP],Toronto,"8,037",12.8
HeilBrice Marketing Communications,"Irvine, Calif.","8,036",17.3
Michael Walters Advertising,Chicago,"8,000",164.9
Strikeforce Communications,New York,"8,000",0
IW Group* [Interpublic],"West Hollywood, Calif.","7,991",-19.7
Milici Valenti Ng Pack,Honolulu,"7,973",6.8
E & M Advertising*,New York,"7,900",5
SMZ,"Troy, Mich.","7,900",1.3
Catalyst Public Relations,New York,"7,881",33
Airfoil Group,"Southfield, Mich.","7,867",-3.2
Hello Design* [MDC Partners],"Culver City, Calif.","7,860",20
Cibo Studios,San Francisco,"7,800",34.5
Corinthian Media*,New York,"7,770",2.8
Bayshore Solutions,"Tampa, Fla.","7,711",21.9
Media Horizons,"Norwalk, Conn.","7,619",3.7
Ames Scullin O'Haire,Atlanta,"7,566",0.9
Neiman Group,Philadelphia,"7,544",-7.6
Acquirgy*,"St. Petersburg, Fla.","7,525",3.1
EGC Group,"Melville, N.Y.","7,500",0
D Exposito & Partners,New York,"7,451",5.5
Modern Climate,Minneapolis,"7,450",43.3
Karsh Hagan,Denver,"7,448",10.7
Chandelier Creative*,New York,"7,385",-5.2
Interlex Communications,San Antonio,"7,347",6.8
Ozone Online*,San Francisco,"7,320",24.1
CDR Fundraising Group*,"Bowie, Md.","7,317",NA
Siren Interactive*,"Oak Park, Ill.","7,308",-5.6
O'Leary & Partners,"Newport Beach, Calif.","7,300",2.8
Footsteps* [Omnicom],New York,"7,280",4
Agency Q,Washington,"7,268",14.7
Accentmarketing* [Interpublic],"Coral Gables, Fla.","7,232",-16.9
Ignition Network*,Chicago,"7,200",0
Titan Agency*,Atlanta,"7,200",0
Crosby Marketing Communications,"Annapolis, Md.","7,147",-2.2
"Howard, Merrell & Partners*","Raleigh, N.C.","7,130",-19.3
HCB Health,"Austin, Texas","7,118",25
Amazon Advertising* [Publicis],San Francisco,"7,100",29.1
Hiebing,"Madison, Wis.","7,064",13.4
Gotham Direct,New York,"7,016",17.7
Beeby Clark & Meyler,"Stamford, Conn.","7,000",40
Downtown Partners Chicago* [Omnicom],Chicago,"7,000",0
Kemp Goldberg Partners,"Portland, Maine","7,000",16.7
PM Publicidad,Atlanta,"7,000",32.1
Traction,San Francisco,"7,000",16.7
Red Square Agency,"Mobile, Ala.","6,999",-3.8
Gragg Advertising,"Kansas City, Mo.","6,995",7.4
Borshoff,Indianapolis,"6,965",3.6
BusinessOnline,San Diego,"6,930",4.8
ISM,Boston,"6,875",3.4
Hart Associates,"Maumee, Ohio","6,842",9.6
NFusion Group,"Austin, Texas","6,802",24.9
Digital Pulp,New York,"6,800",6.3
Topin & Associates,Chicago,"6,750",3.7
Orci,"Santa Monica, Calif.","6,700",39.6
Gold n Fish Marketing Group,"Armonk, N.Y.","6,690",-0.2
San Jose Group,Chicago,"6,673",-8
ES Advertising,Los Angeles,"6,633",8.7
Ymarketing,"Costa Mesa, Calif.","6,618",22.1
Public Communications,Chicago,"6,550",33.7
Alinean,"Orlando, Fla.","6,545",1.3
Lopito Ileana & Howie,"Guaynabo, P.R.","6,522",8.5
Zehnder,New Orleans,"6,501",16
TBWA/WorldHealth* [Omnicom],New York,"6,500",-7.1
Yamamoto* [MDC Partners],Minneapolis,"6,500",13
Mortar,San Francisco,"6,484",0
Merritt Group*,"Reston, Va.","6,475",NA
SicolaMartin/Tech.YR* [WPP],"Austin, Texas","6,462",-10.3
Stone Ward,"Little Rock, Ark.","6,360",0.5
MediaMorphosis,"Long Island City, N.Y.","6,343",37.1
PPC Associates,"San Mateo, Calif.","6,333",66.8
Cactus*,Denver,"6,300",6.3
Silver & Partners*,New York,"6,300",26
Media Logic,"Albany, N.Y.","6,290",15.8
Carrot Creative*,"Brooklyn, N.Y.","6,290",29.4
HMH,"Portland, Ore.","6,223",7
Preston Kelly,Minneapolis,"6,215",-1.8
Three Deep,"St. Paul, Minn.","6,206",8.1
Fraser Communications,Los Angeles,"6,190",1.6
Lambesis*,"La Jolla, Calif.","6,183",3.3
InVnt,New York,"6,160",0
352 Media Group,"Newberry, Fla.","6,154",18.3
KraftWorks NYC,New York,"6,150",-8.4
Magner Sanborn,"Spokane, Wash.","6,130",43.1
Dae Advertising,San Francisco,"6,127",25.3
RP3 Agency,"Bethesda, Md.","6,100",17.2
LeapFrog Interactive,"Louisville, Ky.","6,056",0.3
GodwinGroup,"Jackson, Miss.","6,021",-6.2
Barker/DZP,New York,"6,006",16.9
Camp & King,San Francisco,"6,000",100
Keiler,"Farmington, Conn.","6,000",9.1
PAN Communications,Boston,"6,000",-1.6
Baker Street Advertising*,San Francisco,"5,968",10
VRTC,Houston,"5,921",105.8
WFofR Media,"Richmond, Va.","5,900",11.7
Extractable,San Francisco,"5,851",27
Fuse Marketing,"Burlington, Vt.","5,820",-0.6
Hybrid Design*,San Francisco,"5,814",16.3
M/C/C,Dallas,"5,760",8.1
Barrie D'Rozario Murphy*,Minneapolis,"5,717",-18.3
Marca Hispanic [Marc USA],"Coconut Grove, Fla.","5,672",20
Spectrum,Washington,"5,653",-1.3
Oden Marketing & Design,"Memphis, Tenn.","5,637",14.8
White & Partners,"Herndon, Va.","5,625",2.1
Bandy Carroll Hellige,"Louisville, Ky.","5,623",7.4
RBB Public Relations,Miami,"5,603",3.8
Moses Anshell,Phoenix,"5,600",12
ESW StoryLab,Chicago,"5,587",11.1
Brandkarma,"Somerset, N.J.","5,577",28.5
Woodruff Sweitzer,"Kansas City, Mo.","5,546",11.5
PriceWeber Marketing Communications,"Louisville, Ky.","5,524",1.4
Mile 9 Agency,"Calabasas, Calif.","5,500",10
Mirrorball,New York,"5,500",10
Pavone,"Harrisburg, Pa.","5,500",14.6
Cashman & Katz Integrated Communications,"Glastonbury, Conn.","5,485",8.3
Winner & Associates* [Publicis],Los Angeles,"5,428",NA
Ansible* [Interpublic],New York,"5,400",8
LiveAreaLabs,Seattle,"5,393",74
Sensis Agency,Los Angeles,"5,378",1.7
Red Door Interactive,San Diego,"5,378",-7.9
Arke Systems,Atlanta,"5,300",65.6
Magnani Continuum Marketing,Chicago,"5,300",0
Being* [Omnicom],New York,"5,274",0
Shine United,"Madison, Wis.","5,250",1.9
Gertrude,Chicago,"5,225",30.6
206 Inc.,Seattle,"5,207",69.8
AlPunto Advertising*,"Tustin, Calif.","5,192",3.8
Renavatio Healthcare Communications,"Newtown, Pa.","5,160",4.5
Fixation Marketing*,"Bethesda, Md.","5,136",10.4
Seiter & Miller,New York,"5,100",4.1
Chernoff Newman,"Columbia, S.C.","5,066",-18.6
AdFarm,"Kansas City, Mo.","5,036",5.5
Hispanic Group,Miami,"5,031",9.2
SKM Group,"Depew, N.Y.","5,005",9.7
Alexander Marketing,"Grand Rapids, Mich.","5,000",0
Brooklyn Brothers,New York,"5,000",25
Latin3,"Fort Lauderdale, Fla.","5,000",0
Tocquigny,"Austin, Texas","5,000",-2
Roth Partners,New York,"4,989",93
LatinSphere Advertising*,"Long Beach, Calif.","4,955",5
1stMovement,"Pasadena, Calif.","4,950",-4.8
Two by Four,Chicago,"4,926",19
Linhart Public Relations,Denver,"4,899",6.5
SocialChorus*,San Francisco,"4,875",NA
TDA Boulder,"Boulder, Colo.","4,835",1.3
Glenn Group,"Reno, Nev.","4,800",9.1
Richter7,Salt Lake City,"4,787",0.5
SMM Advertising,"Smithtown, N.Y.","4,762",2.5
Copacino & Fujikado,Seattle,"4,760",19.9
ADK America [Asatsu-DK],New York,"4,746",-8.1
GreenRubino*,Seattle,"4,739",-1.4
Chemistry Communications,Pittsburgh,"4,738",67.6
Arenas Entertainment*,Los Angeles,"4,718",9.2
Dojo [Grupo ABC],San Francisco,"4,700",-2.7
Littlefield Brand Development,"Tulsa, Okla.","4,689",37.7
Brokaw,Cleveland,"4,637",86.2
CooperKatz & Co.,New York,"4,622",13.8
Steak* [Dentsu],London,"4,601",111.7
BrandForce,San Francisco,"4,600",155.6
Kelliher Samets Volk,"Burlington, Vt.","4,600",15
Associated Integrated Marketing,"Wichita, Kan.","4,527",-12.4
Canyon Communications,"Mesa, Ariz.","4,500",3.4
Spring Creek Group* [Interpublic],Seattle,"4,500",8.4
Miller Brooks,"Zionsville, Ind.","4,492",-14.2
Love Communications*,Salt Lake City,"4,490",0
GRP Media,Chicago,"4,450",11.3
McK Healthcare,Boston,"4,440",20
Firehouse Agency,Dallas,"4,417",26.2
CBD Marketing,Chicago,"4,400",37.5
S2 Financial Marketing,Chicago,"4,400",-8.3
Garrand,"Portland, Maine","4,392",-4.4
GCG Marketing*,"Fort Worth, Texas","4,360",98.2
DBA Worldwide*,"Rochester, Mich.","4,359",NA
CreativeOnDemand*,"Coconut Grove, Fla.","4,271",4
Masterminds,"Egg Harbor Township, N.J.","4,257",-0.9
Jess3*,Los Angeles,"4,255",NA
Aaaza,Los Angeles,"4,250",-30.9
Launch Agency,"Carrollton, Texas","4,250",10.4
Nexus Direct*,"Virginia Beach, Va.","4,225",5.6
Wexley School for Girls,Seattle,"4,182",10
Mass Hispanic Marketing,"Doral, Fla.","4,152",-5.1
Curiosity,Cincinnati,"4,101",15.8
Bulldog Drummond*,San Diego,"4,100",0
Spike DDB* [Omnicom],"Brooklyn, N.Y.","4,100",9.3
iStrategyLabs,Washington,"4,068",35.1
Traffik,"Irvine, Calif.","4,028",11.6
GdB,Minneapolis,"4,000",-7
Integrity Corporation,St. Louis,"4,000",33.3
Portent,Seattle,"4,000",25
Saeshe*,Los Angeles,"4,000",0
Weintraub Advertising,St. Louis,"4,000",-11.1
Jellyfish,Baltimore,"3,994",202.2
Innis Maggiore,"Canton, Ohio","3,988",33.9
KD&E,New York,"3,961",-15.4
Cultivator Advertising & Design*,Denver,"3,878",6.2
TargetCom* [MDC Partners],Chicago,"3,877",0.9
Rabinovici & Associates,"North Miami Beach, Fla.","3,872",-5.5
Stephan & Brady,"Madison, Wis.","3,835",6
Glass Agency,"Sacramento, Calif.","3,800",13.8
Trigger,Los Angeles,"3,800",-13.6
Tiziani & Whitmyre,"Sharon, Mass.","3,775",-5.4
Barber Martin Advertising*,"Richmond, Va.","3,770",4
R/P Marketing Public Relations,"Holland, Ohio","3,769",-20.3
LatinMedios.com,"Aventura, Fla.","3,723",12
Baldwin&*,"Raleigh, N.C.","3,713",51.9
Grok,New York,"3,700",105.6
White Horse Productions*,"Portland, Ore.","3,700",2.8
KZSW Advertising,"Setauket, N.Y.","3,675",33.6
Terralever,"Tempe, Ariz.","3,609",-24.2
Brogan Tennyson Group,"Dayton, N.J.","3,600",9.1
Bruce Clay,"Moorpark, Calif.","3,600",4
Sullivan Perkins*,Dallas,"3,600",0
Dynamit,"Columbus, Ohio","3,580",49.2
ME&V,"Cedar Falls, Iowa","3,542",-6
Social Media Group*,Toronto,"3,527",-16
Asher Media,"Addison, Texas","3,500",20.7
Escape Pod,Chicago,"3,500",12.9
Joule* [WPP],London,"3,500",16.7
Plan C Agency,Los Angeles,"3,500",29.6
Small Army,Boston,"3,500",9.4
"Tom, Dick & Harry Creative Co.",Chicago,"3,500",3.7
Walrus,New York,"3,500",40
Mutt Industries,"Portland, Ore.","3,483",8.5
"Stiegler, Wells, Brunswick & Roth*","Bethlehem, Pa.","3,480",0
Matlock Advertising & Public Relations,Atlanta,"3,451",3.7
Mindpower,Atlanta,"3,431",3.3
Design Group,"Little Rock, Ark.","3,335",-5.8
MDB Communications,Washington,"3,275",3.5
Boelter & Lincoln*,Milwaukee,"3,250",4
BooneOakley*,"Charlotte, N.C.","3,218",9.7
AY Digital,New York,"3,200",0.6
Dotbox* [MDC Partners],New York,"3,200",0
Munn Rabot,New York,"3,187",8.2
Nail Communications,"Providence, R.I.","3,150",-10
Heinzeroth Marketing Group,"Rockford, Ill.","3,100",3.3
Walker Sands Communications,Chicago,"3,100",29.2
MarketingLab*,Minneapolis,"3,051",25.7
Davis Harrison Dion,Chicago,"3,025",7.2
Schermer,Minneapolis,"3,010",8.1
Shopper Sciences* [Interpublic],Chicago,"3,000",7.1
Turkel Brands,Miami,"3,000",0
McKee Wallwork & Co.,"Albuquerque, N.M.","2,997",-0.5
Greatest Common Factory*,"Austin, Texas","2,994",140.2
PanCom International*,Los Angeles,"2,991",-6.5
M45 Marketing*,"Freeport, Ill.","2,970",3.8
Walz Tetrick Advertising*,"Mission, Kan.","2,961",8.5
Neighbor,"Venice, Calif.","2,955",47.8
Nemer Fieger,Minneapolis,"2,934",10.6
Crossbow Group,"Westport, Conn.","2,925",30
Pilgrim*,Denver,"2,888",31.2
Goodman Marketing Partners,"San Rafael, Calif.","2,868",50.5
Remerinc*,Seattle,"2,833",0
Schaefer Advertising*,"Fort Worth, Texas","2,813",13.9
Reality Rx Communication,"Somerset, N.J.","2,800",27.3
Richards/Carlberg [Richards Group],Houston,"2,800",21.7
Thunder Tech*,Cleveland,"2,767",18.3
Travers Collins,"Buffalo, N.Y.","2,756",-24.7
Anderson Communications,Atlanta,"2,750",10
Ventura Associates,New York,"2,748",-1.8
U.S. Media Consulting*,Miami,"2,730",12
VSBrooks Advertising*,"Coral Gables, Fla.","2,671",16.1
Mason*,"Bethany, Conn.","2,652",17
Stoltz Marketing Group,"Boise, Idaho","2,621",54.2
Bradshaw Advertising,"Portland, Ore.","2,569",-22.8
Mortenson Safar Kim*,Milwaukee,"2,556",5.4
Brandner Communications,"Federal Way, Wash.","2,553",-10.2
Backe Digital Brand Marketing,"Radnor, Pa.","2,512",-27.6
Allied Media Corp.*,"McLean, Va.","2,500",0
Goda Advertising,"Inverness, Ill.","2,500",38.9
iQuanti,"Hoboken, N.J.","2,500",92.3
Jones Advertising,Seattle,"2,500",0
CTI Media*,Atlanta,"2,499",5.3
Socialarc,"Emeryville, Calif.","2,400",26.3
HeathWallace* [WPP],London,"2,371",0
Meers Advertising,"Kansas City, Mo.","2,349",45.1
Red7e,"Louisville, Ky.","2,311",21.1
Hoffman Agency,"San Jose, Calif.","2,303",-22.3
Truth Agency,"Santa Ana, Calif.","2,291",12.6
LaGrant Communications,Los Angeles,"2,256",-23.5
Squeaky Wheel Media,New York,"2,236",-23.4
Morrow Media*,"Forest Hills, N.Y.","2,220",NA
Singer Associates*,San Francisco,"2,220",2.8
Borenstein Group,"Fairfax, Va.","2,200",10
Princeton Partners,"Princeton, N.J.","2,127",6.5
Trumpet,New Orleans,"2,125",45.4
Demi & Cooper,"Elgin, Ill.","2,100",40
Submit Express,"Burbank, Calif.","2,100",-4.5
Steel Branding,"Austin, Texas","2,055",68.7
ASB Communications,New York,"2,016",-12.3
Renegade,New York,"2,000",17.6
Creative Department,Cincinnati,"1,950",-15.2
Leopold Ketel & Partners*,"Portland, Ore.","1,950",-18.8
K. Fernandez & Associates,San Antonio,"1,917",-33.7
Glyphix*,"West Hills, Calif.","1,857",-7.2
Object DC,"Vienna, Va.","1,852",74
N&A Advertising*,Atlanta,"1,850",48
Tipton & Maglione,"Great Neck, N.Y.","1,850",5.7
Coates Kokes,"Portland, Ore.","1,836",-11.7
Freebairn & Co.,Atlanta,"1,825",5.8
Foster Marketing,"Lafayette, La.","1,749",33
"Latorra, Paul & McCann Advertising","Syracuse, N.Y.","1,747",2.7
T.D. Wang Advertising Group,Seattle,"1,700",53.5
Hydrogen Advertising,Seattle,"1,690",30.2
Ohlmann Group*,"Dayton, Ohio","1,658",-2.5
Media Powers*,"Roswell, Ga.","1,650",68.7
Martz Agency,"Scottsdale, Ariz.","1,609",31.3
PriMedia,"Warwick, R.I.","1,601",-31.8
Siddall,"Richmond, Va.","1,583",-30.9
Premier Sports Management*,"Overland Park, Kan.","1,568",-3.8
Time Advertising*,"Millbrae, Calif.","1,550",0
OneWorld Communications,San Francisco,"1,543",8.1
TotalCom,"Tuscaloosa, Ala.","1,531",10.9
Ideal Promotions*,Chicago,"1,500",0
Modern Marketing Partners,"Naperville, Ill.","1,482",NA
Hanapin Marketing,"Bloomington, Ind.","1,479",4.5
Sockeye,"Portland, Ore.","1,467",9.4
Brand Arc*,Los Angeles,"1,440",14.3
Huntsinger & Jeffer,"Richmond, Va.","1,397",6.4
Oink Ink*,New York,"1,300",0
Bull-White House*,New York,"1,295",NA
Touchdown Media,"Metuchen, N.J.","1,261",0.9
FPO Marketing,San Antonio,"1,225",21.6
Beyond Total Branding,Miami,"1,200",26.3
Capital Position,"Weehawken, N.J.","1,200",84.6
Nye & Associates,"Wichita, Kan.","1,200",20
ScreenPlay InterActive*,"Clark, N.J.","1,200",0
Fusion B2B,"Naperville, Ill.","1,142",-42.5
Villing & Co.,"South Bend, Ind.","1,124",13
J-U Carter*,"San Clemente, Calif.","1,100",0
Sid Lee,Montreal,"1,035",-7.3
Vizion Interactive,"Irving, Texas",973,-29.2
ENA Healthcare Communications,"Fair Haven, N.J.",950,58.3
I Imagine Studio*,"Evanston, Ill.",930,20
White Good,"Lancaster, Pa.",909,-6.5
Spitfire Interactive*,"Westport, Conn.",861,11.1
Mandala,"Bend, Ore.",823,-36.3
LP&G,"Tucson, Ariz.",737,-9.8
Kinzie & Green,"Wausau, Wis.",715,-13.7
We Are Social,New York,713,NA
WalkerTek Interactive Marketing,"Fairfield, N.J.",648,6.3
TSA Communications,"Warsaw, Ind.",562,7.7
Mighty Fudge Studios*,"Boulder, Colo.",400,0
Fish,Chicago,350,55.6
Hudson Media Services,New York,325,0
Graphicmachine,"Kansas City, Mo.",259,16.1
