,2015-HOLDING,2015-COUNT,2015-REVENUE
4,Alliance Data Systems Corp.,2,2050465000
21,Independent,634,12696425000
22,Interpublic,43,4451749000
29,Omnicom,73,6777123000
31,Publicis,36,5186067000
35,WPP,43,5583747000
