,AGENCY-COMPANY,HEADQUARTERS,2012-REVENUE,% CHG,AGENCY-NAME,AGENCY-OWNER
17,inVentiv Health Communications*,New York,"341,500",,inVentiv Health Communications*,Independent
63,Horizon Media*,New York,"127,500",13.9,Horizon Media*,Independent
84,Gyro*,New York,"105,000",9.1,Gyro*,Independent
100,McMurry/TMG,New York,"90,954",18.4,McMurry/TMG,Independent
126,FTI Consulting* (Strategic Communications),New York,"66,351",-7.5,FTI Consulting* (Strategic Communications),Independent
144,TBA Global,New York,"59,000",13.5,TBA Global,Independent
177,CementBloc,New York,"41,600",-1.5,CementBloc,Independent
178,MKTG,New York,"41,581",12.8,MKTG,Independent
181,Paradysz,New York,"41,043",8.5,Paradysz,Independent
196,Droga5,New York,"39,500",40.6,Droga5,Independent
232,DKC,New York,"32,897",20.0,DKC,Independent
235,Acronym,New York,"32,500",4.8,Acronym,Independent
242,Global Advertising Strategies,New York,"31,500",18.9,Global Advertising Strategies,Independent
251,Translation,New York,"30,000",57.9,Translation,Independent
283,Heartbeat Ideas,New York,"25,349",58.1,Heartbeat Ideas,Independent
291,Magnani Caruso Dutton,New York,"24,500",5.4,Magnani Caruso Dutton,Independent
296,KSL Media*,New York,"23,680",5.2,KSL Media*,Independent
317,Profero,New York,"21,000",8.2,Profero,Independent
332,Taylor,New York,"19,800",3.7,Taylor,Independent
333,Gibbs & Soell*,New York,"19,735",34.2,Gibbs & Soell*,Independent
337,Code & Theory,New York,"19,500",18.2,Code & Theory,Independent
365,Greater Than One,New York,"17,900",11.2,Greater Than One,Independent
392,Peppercom,New York,"16,173",10.7,Peppercom,Independent
400,LeadDog Marketing Group,New York,"15,760",31.0,LeadDog Marketing Group,Independent
408,GlobalWorks Group,New York,"15,350",4.1,GlobalWorks Group,Independent
410,Della Femina/Rothschild/Jeary & Partners*,New York,"15,281",-2.6,Della Femina/Rothschild/Jeary & Partners*,Independent
420,Cheil Worldwide,New York,"14,656",10.6,Cheil Worldwide,Independent
421,Hunter Public Relations,New York,"14,554",21.0,Hunter Public Relations,Independent
431,5W Public Relations,New York,"14,189",13.9,5W Public Relations,Independent
436,Gravity Media,New York,"13,966",71.1,Gravity Media,Independent
439,Agency212*,New York,"13,875",2.8,Agency212*,Independent
451,Vidal Partnership*,New York,"13,140",-14.1,Vidal Partnership*,Independent
457,Makovsky,New York,"13,000",8.3,Makovsky,Independent
481,Rain,New York,"12,000",100.0,Rain,Independent
484,Admerasia,New York,"11,750",9.3,Admerasia,Independent
488,Lippe Taylor*,New York,"11,500",15.0,Lippe Taylor*,Independent
492,Bodden Partners,New York,"11,360",28.5,Bodden Partners,Independent
511,Kaplow*,New York,"10,850",8.2,Kaplow*,Independent
518,Sullivan,New York,"10,602",5.2,Sullivan,Independent
529,BoomBox,New York,"10,200",39.7,BoomBox,Independent
536,Elite SEM,New York,"10,000",47.1,Elite SEM,Independent
537,Pedone & Partners,New York,"10,000",11.1,Pedone & Partners,Independent
550,Sub Rosa,New York,"9,500",116.6,Sub Rosa,Independent
558,Seiden Group,New York,"9,100",0.0,Seiden Group,Independent
560,Fly Communications,New York,"9,000",80.0,Fly Communications,Independent
585,Strikeforce Communications,New York,"8,000",0.0,Strikeforce Communications,Independent
588,E & M Advertising*,New York,"7,900",5.0,E & M Advertising*,Independent
590,Catalyst Public Relations,New York,"7,881",33.0,Catalyst Public Relations,Independent
594,Corinthian Media*,New York,"7,770",2.8,Corinthian Media*,Independent
601,D Exposito & Partners,New York,"7,451",5.5,D Exposito & Partners,Independent
604,Chandelier Creative*,New York,"7,385",-5.2,Chandelier Creative*,Independent
620,Gotham Direct,New York,"7,016",17.7,Gotham Direct,Independent
633,Digital Pulp,New York,"6,800",6.3,Digital Pulp,Independent
653,Silver & Partners*,New York,"6,300",26.0,Silver & Partners*,Independent
661,InVnt,New York,"6,160",0.0,InVnt,Independent
663,KraftWorks NYC,New York,"6,150",-8.4,KraftWorks NYC,Independent
669,Barker/DZP,New York,"6,006",16.9,Barker/DZP,Independent
693,Mirrorball,New York,"5,500",10.0,Mirrorball,Independent
710,Seiter & Miller,New York,"5,100",4.1,Seiter & Miller,Independent
716,Brooklyn Brothers,New York,"5,000",25.0,Brooklyn Brothers,Independent
719,Roth Partners,New York,"4,989",93.0,Roth Partners,Independent
737,CooperKatz & Co.,New York,"4,622",13.8,CooperKatz & Co.,Independent
774,KD&E,New York,"3,961",-15.4,KD&E,Independent
786,Grok,New York,"3,700",105.6,Grok,Independent
802,Walrus,New York,"3,500",40.0,Walrus,Independent
811,AY Digital,New York,"3,200",0.6,AY Digital,Independent
813,Munn Rabot,New York,"3,187",8.2,Munn Rabot,Independent
839,Ventura Associates,New York,"2,748",-1.8,Ventura Associates,Independent
860,Squeaky Wheel Media,New York,"2,236",-23.4,Squeaky Wheel Media,Independent
869,ASB Communications,New York,"2,016",-12.3,ASB Communications,Independent
870,Renegade,New York,"2,000",17.6,Renegade,Independent
899,Oink Ink*,New York,"1,300",0.0,Oink Ink*,Independent
900,Bull-White House*,New York,"1,295",,Bull-White House*,Independent
919,We Are Social,New York,713,,We Are Social,Independent
924,Hudson Media Services,New York,325,0.0,Hudson Media Services,Independent
