AGENCY-COMPANY,HEADQUARTERS,2013-REVENUE,% CHG
Epsilon* [Alliance Data Systems Corp.],"Irving, Texas",1182570,11.6
Acxiom Corp.*,"Little Rock, Ark.",666540,1.9
IBM Interactive Experience* [IBM Corp.],"Armonk, N.Y.",598750,NA
SapientNitro* [Sapient Corp.],Boston,554648,11
BBDO Worldwide* [Omnicom ],New York,552000,2.1
Leo Burnett Worldwide/Arc* [Publicis ],Chicago,500680,6.2
Edelman [DJE Holdings],Chicago,450350,10.9
McCann Erickson Worldwide* [Interpublic],New York,437103,3.5
Publicis Worldwide* [Publicis ],New York/Paris,431139,0
Rapp* [Omnicom ],New York,428959,1.3
J. Walter Thompson Co.* [WPP],New York,426682,3.5
Y&R* [WPP],New York,417474,5.7
Experian Marketing Services [Experian],New York,417000,5.6
DigitasLBi* [Publicis ],Boston,416770,3.9
Razorfish* [Publicis ],New York,400000,2.6
Weber Shandwick* [Interpublic],New York,397719,8.6
FCB* [Interpublic],New York,373733,-15.6
FleishmanHillard* [Omnicom ],St. Louis,366425,-2.8
Wunderman* [WPP],New York,361590,2
Merkle,"Columbia, Md.",348000,16.5
TBWA Worldwide* [Omnicom ],New York,324476,1
Havas Worldwide* [Havas],New York,304400,-2.9
IN Marketing Services* [ASM],"Irvine, Calif.",295000,NA
Grey* [WPP],New York,294300,16.7
Starcom USA* [Publicis ],Chicago,278924,8
DDB Worldwide* [Omnicom ],New York,276869,5
Mindshare Worldwide* [WPP],New York,274000,8.7
Rosetta* [Publicis ],"Hamilton, N.J.",270375,5
inVentiv Health Communications*,New York,269000,-11.7
Ketchum* [Omnicom ],New York,262899,8
Saatchi & Saatchi* [Publicis ],New York,262245,5
PwC Digital [PwC],"Hallandale Beach, Fla.",260000,NA
MediaVest USA* [Publicis ],New York,251732,30
Ogilvy & Mather Advertising* [WPP],New York,247900,-4.7
OMD Worldwide* [Omnicom ],New York,245252,7.5
R/GA* [Interpublic],New York,238000,4.8
MRM//McCann* [Interpublic],New York,234746,6.3
OgilvyOne Worldwide* [WPP],New York,230200,0.7
Zenith Media USA* [Publicis ],New York,225002,12
Freeman,Dallas,225000,5.3
eBay Enterprise Marketing Solutions* [eBay],"King of Prussia, Pa.",223000,0.5
Novus Media* [Omnicom ],"Plymouth, Minn.",219738,15.7
MarketStar* [Omnicom ],"Ogden, Utah",216091,1.3
McGarryBowen* [Dentsu],New York,210000,5
Hill Holliday* [Interpublic],Boston,200560,9
Burson-Marsteller* [WPP],New York,195400,-1.1
Deutsch* [Interpublic],New York,187752,3.7
Richards Group,Dallas,184000,2.2
MEC* [WPP],New York/London,184000,-3
iCrossing* [Hearst Corp.],New York,182000,2.8
Geometry Global* [WPP],New York,181339,3.5
Havas Health* [Havas],New York,181000,-1.5
Wieden & Kennedy*,"Portland, Ore.",177823,-1
CP&B* [MDC Partners],"Boulder, Colo.",159400,12
Carat* [Dentsu],New York,153504,20
Cramer-Krasselt,Chicago,152380,-2.7
MediaCom* [WPP],New York,151000,9.8
