AGENCY-COMPANY,HEADQUARTERS,2015-REVENUE,% CHG
Epsilon [Alliance Data Systems Corp.],"Irving, Texas",1855045,3.5
Accenture Interactive [Accenture],New York,1231596,70.8
Deloitte Digital* [Deloitte],New York,865200,NA
IBM Interactive Experience* [IBM Corp.],"Armonk, N.Y.",796800,NA
Acxiom Corp.*,"Little Rock, Ark.",765299,7
Razorfish Global* [Publicis],New York,651665,-1.3
PwC Digital Services [PwC],New York,624000,NA
BBDO Worldwide* [Omnicom],New York,602798,4.5
SapientNitro* [Publicis],Boston,585000,1.3
McCann* [Interpublic],New York,561860,15.9
Edelman [DJE Holdings],Chicago,523065,8.5
J. Walter Thompson Co.* [WPP],New York,504176,5.9
Leo Burnett Worldwide/Arc* [Publicis],Chicago,489369,-1
Publicis Worldwide* [Publicis],Paris,487887,7.5
Advantage Marketing Partners [Advantage Solutions],"Irvine, Calif.",480668,9.2
Merkle,"Columbia, Md.",464500,5.8
DigitasLBi* [Publicis],Boston,458754,3.4
Rapp* [Omnicom],New York,458040,0.7
Y&R* [WPP],New York,454575,4.5
Weber Shandwick* [Interpublic],New York,448691,5.6
Experian Marketing Services [Experian],New York,432000,-0.2
Wunderman* [WPP],New York,415743,4.5
Harte Hanks*,San Antonio,380940,-14.3
TBWA Worldwide* [Omnicom],New York,361661,7.5
Havas Worldwide* [Havas],New York,358600,4.6
FleishmanHillard* [Omnicom],St. Louis,350458,-0.6
FCB* [Interpublic],New York,337838,2
Grey* [WPP],New York,336209,5.8
Mindshare Worldwide* [WPP],New York,331731,14.5
inVentiv Health* [inVentiv Group Holdings],New York,325844,8.2
Mosaic [Acosta],"Irving, Texas",321717,5.9
DDB Worldwide* [Omnicom],New York,320200,11.2
OMD Worldwide* [Omnicom],New York,301500,12.5
Ketchum* [Omnicom],New York,300000,10.8
OgilvyOne Worldwide* [WPP],New York,292500,1.5
Starcom USA* [Publicis],Chicago,289315,0.9
R/GA* [Interpublic],New York,284137,10
Saatchi & Saatchi* [Publicis],New York,282000,-2.1
Mediavest USA* [Publicis],New York,272396,0.8
Ogilvy & Mather Advertising* [WPP],New York,269620,-1.5
Zenith* [Publicis],New York,266729,12.9
Freeman,Dallas,260000,5.7
MRM//McCann* [Interpublic],New York,244900,6
FCB Health* [Interpublic],New York,244825,17.3
Novus Media* [Omnicom],"Plymouth, Minn.",237459,8.1
MEC* [WPP],London,234878,9.4
Horizon Media*,New York,225000,20.3
iCrossing* [Hearst Corp.],New York,224940,20
Wieden & Kennedy*,"Portland, Ore.",219000,6.3
MarketStar* [Omnicom],"Ogden, Utah",217680,0.7
Burson-Marsteller* [WPP],New York,217467,3.6
MediaCom* [WPP],New York,211050,20.5
Deutsch* [Interpublic],New York,208680,11
McGarryBowen* [Dentsu],New York,196000,-2
Havas Health* [Havas],New York,195500,3.7
Catapult [Alliance Data Systems Corp.],"Westport, Conn.",195420,14.1
Marketing Arm* [Omnicom],Dallas,193000,17
Richards Group,Dallas,190000,2.2
VML* [WPP],"Kansas City, Mo.",183000,11.6
Hill Holliday Group* [Interpublic],Boston,178630,-6.2
Huge* [Interpublic],"Brooklyn, N.Y.",177300,4.9
Geometry Global* [WPP],New York,174556,-8.3
MSL Group* [Publicis],Paris,172732,5
George P. Johnson [Project WorldWide],"Auburn Hills, Mich.",168779,13.5
360i* [Dentsu],New York,168200,17.5
ICF Olson [ICF International],Minneapolis,165000,NA
AKQA* [WPP],London,163000,8.7
Carat* [Dentsu],London,157088,-3
Ogilvy CommonHealth Worldwide* [WPP],"Parsippany, N.J.",155144,6.6
Interbrand* [Omnicom],New York,154200,7.7
Match Marketing Group,"Mississauga, Ontario",153247,13.3
Possible* [WPP],Seattle,153000,10
MullenLowe* [Interpublic],Boston,152395,9
Integer Group* [Omnicom],"Lakewood, Colo.",149910,-5
CP&B* [MDC Partners],"Boulder, Colo.",148407,0
Maxus* [WPP],New York,147751,40
Havas Media Group* [Havas],"Puteaux, France",146991,NA
Hill&Knowlton Strategies* [WPP],New York,143276,3.5
GMR Marketing* [Omnicom],"New Berlin, Wis.",138713,0.7
UM* [Interpublic],New York,134599,6.3
Zimmerman Advertising* [Omnicom],"Fort Lauderdale, Fla.",133876,10
Organic* [Omnicom],New York,131262,3
Cramer-Krasselt,Chicago,131149,-9.8
Momentum Worldwide* [Interpublic],New York,127536,0.9
Martin Agency* [Interpublic],"Richmond, Va.",126008,4.2
Droga5,New York,126000,61.5
72andSunny* [MDC Partners],"Playa Vista, Calif.",124432,20.6
Octagon* [Interpublic],"Norwalk, Conn.",124291,0.3
Ansira,St. Louis,124041,7.9
Meredith Xcelerated Marketing [Meredith Corp.],"Des Moines, Iowa",124000,-5.3
Proximity* [Omnicom],New York,123449,3
Golin* [Interpublic],Chicago,123401,7.9
OMG Entertainment & Sports* [Omnicom],New York,123066,25
Trailer Park [Engine Group],Los Angeles,123000,7
Jack Morton Worldwide* [Interpublic],Boston,122180,-3.3
Ogilvy Public Relations* [WPP],New York,121000,4.9
Critical Mass* [Omnicom],"Calgary, Canada",121000,17.5
GHG/GreyHealth Group* [WPP],New York,120000,10
Gyro*,New York,117000,2.6
KBS* [MDC Partners],New York,115154,11
Digitas Health LifeBrands* [Publicis],Philadelphia,115000,0
RPA,"Santa Monica, Calif.",113000,7.6
CDM New York* [Omnicom],New York,112326,10
Moxie* [Publicis],Atlanta,110247,-8.9
Assembly* [MDC Partners],New York,110175,12
Initiative* [Interpublic],New York,109721,5
Klick,Toronto,109152,8.1
McCann Health* [Interpublic],New York,108624,14.1
TBWA/WorldHealth* [Omnicom],New York,108078,-1.1
Isobar* [Dentsu],London,107010,23
Campbell Ewald* [Interpublic],Detroit,103767,-8.5
Sudler & Hennessey* [WPP],New York,103430,6.6
Arnold Worldwide* [Havas],Boston,102500,7.9
Intouch Solutions,"Overland Park, Kan.",101765,32.5
"Goodby, Silverstein & Partners* [Omnicom]",San Francisco,99607,-8.3
Harrison & Star* [Omnicom],New York,96684,8.5
Cohn & Wolfe* [WPP],New York,96423,16.3
TracyLocke* [Omnicom],Dallas,96252,0.7
Doner* [MDC Partners],"Southfield, Mich.",95475,-8.6
PHD* [Omnicom],New York,95340,0
iProspect* [Dentsu],Boston,94726,-2
Derse*,Milwaukee,94478,2.5
Team One* [Publicis],Los Angeles,92466,14
Huntsworth Health* [Huntsworth],"Yardley, Pa.",92065,24.1
TMP Worldwide Advertising & Communications,New York,91816,6.1
Innocean Worldwide,"Huntington Beach, Calif.",91270,4.6
Group360 Worldwide*,St. Louis,90000,12.5
W2O Group,San Francisco,88468,16.9
Brunswick Group*,London,88250,25
EPAM Systems,"Newtown, Pa.",85754,15.9
Javelin Marketing Group* [Omnicom],"Irving, Texas",85450,6.7
Wasserman Media Group*,Los Angeles,85280,19.6
Targetbase* [Omnicom],"Irving, Texas",84117,0.7
MRY* [Publicis],New York,84000,-16
GSD&M* [Omnicom],"Austin, Texas",83050,-1
Spark* [Publicis],Chicago,82777,17.6
Global Experience Specialists* [Viad Corp.],Las Vegas,82520,-0.5
Mirum* [WPP],New York,82251,9.7
Porter Novelli* [Omnicom],New York,81893,-0.6
MKTG* [Dentsu],New York,81615,10
WE Communications,"Bellevue, Wash.",80044,-8.6
Landor* [WPP],San Francisco,80000,3.7
Blast Radius* [WPP],"Vancouver, British Columbia",79943,4.5
Resolution Media* [Omnicom],Chicago,78412,30.3
22squared,Atlanta,76646,2
Periscope,Minneapolis,74380,7
VSA Partners,Chicago,73769,-7.6
Ivie & Associates,"Flower Mound, Texas",72809,26
SourceLink,"Itasca, Ill.",72800,9
AbelsonTaylor,Chicago,72092,13.2
Merkley & Partners* [Omnicom],New York,71000,6.2
