,2014-HOLDING,2014-COUNT,2014-REVENUE
1,Advance Publications,1,33179000
6,Cheil Worldwide,3,72626000
18,Huntsworth,2,111124000
20,ICF International's Olson,1,101465000
23,Klick Inc.,1,100967000
26,Matomy Media Group,1,30618000
27,Meredith Corp.,1,131000000
28,Mother Holdings,1,33000000
29,Next Fifteen Communications Group,4,83400000
33,Viad Corp.'s Global Experience Specialists,1,82900000
