,AGENCY-COMPANY,HEADQUARTERS,2013-REVENUE,% CHG,AGENCY-NAME,AGENCY-OWNER
28,inVentiv Health Communications*,New York,"269,000",-11.7,inVentiv Health Communications*,Independent
60,Horizon Media*,New York,"140,250",10.0,Horizon Media*,Independent
86,Gyro*,New York,"110,000",4.8,Gyro*,Independent
107,McMurry/TMG,New York,"93,000",1.8,McMurry/TMG,Independent
132,MWW,New York,"72,139",,MWW,Independent
144,FTI Consulting (Strategic Communications),New York,"63,900",5.3,FTI Consulting (Strategic Communications),Independent
166,Droga5*,New York,"54,000",36.7,Droga5*,Independent
182,CementBloc,New York,"47,025",13.0,CementBloc,Independent
188,Sard Verbinnen & Co.*,New York,"44,400",9.9,Sard Verbinnen & Co.*,Independent
197,Paradysz,New York,"42,204",2.8,Paradysz,Independent
198,MKTG,New York,"42,012",1.0,MKTG,Independent
225,DKC,New York,"36,500",11.0,DKC,Independent
232,Acronym,New York,"36,000",10.8,Acronym,Independent
238,Translation,New York,"34,500",15.0,Translation,Independent
253,TBA Global*,New York,"32,000",,TBA Global*,Independent
264,Code & Theory,New York,"30,000",53.8,Code & Theory,Independent
275,Magnani Caruso Dutton,New York,"28,750",17.3,Magnani Caruso Dutton,Independent
308,Greater Than One,New York,"23,940",33.7,Greater Than One,Independent
321,Gibbs & Soell*,New York,"22,490",14.0,Gibbs & Soell*,Independent
323,Gravity Media,New York,"22,277",,Gravity Media,Independent
338,Taylor,New York,"21,100",6.6,Taylor,Independent
339,IMG Consulting*,New York,"21,100",,IMG Consulting*,Independent
380,Hunter Public Relations,New York,"18,417",26.5,Hunter Public Relations,Independent
388,Peppercomm,New York,"17,637",-14.0,Peppercomm,Independent
395,Morpheus Media*,New York,"17,380",-13.0,Morpheus Media*,Independent
407,LeadDog Marketing Group,New York,"16,530",4.9,LeadDog Marketing Group,Independent
412,5W Public Relations,New York,"16,019",12.9,5W Public Relations,Independent
429,GlobalWorks Group,New York,"15,000",-2.3,GlobalWorks Group,Independent
440,Makovsky,New York,"14,250",9.6,Makovsky,Independent
448,Chandelier Creative,New York,"14,000",40.0,Chandelier Creative,Independent
454,Elite SEM,New York,"13,800",38.0,Elite SEM,Independent
455,Sub Rosa,New York,"13,800",45.3,Sub Rosa,Independent
469,Vidal Partnership*,New York,"13,140",0.0,Vidal Partnership*,Independent
471,Rain*,New York,"13,000",8.3,Rain*,Independent
474,Modco Group,New York,"12,936",20.9,Modco Group,Independent
477,Lippe Taylor*,New York,"12,842",11.7,Lippe Taylor*,Independent
487,Bodden Partners,New York,"12,314",8.4,Bodden Partners,Independent
503,True North,New York,"11,814",3.8,True North,Independent
512,Sullivan*,New York,"11,344",7.0,Sullivan*,Independent
513,Della Femina/Rothschild/Jeary & Partners*,New York,"11,324",-25.9,Della Femina/Rothschild/Jeary & Partners*,Independent
517,Broadstreet Productions,New York,"11,254",-13.4,Broadstreet Productions,Independent
528,Kaplow Communications,New York,"10,869",0.2,Kaplow Communications,Independent
538,Admerasia,New York,"10,500",-10.6,Admerasia,Independent
539,Prime Access,New York,"10,500",,Prime Access,Independent
548,Pedone & Partners,New York,"10,000",0.0,Pedone & Partners,Independent
567,Fly Communications,New York,"9,500",5.6,Fly Communications,Independent
571,Seiden Group,New York,"9,300",2.2,Seiden Group,Independent
592,BoomBox,New York,"8,500",18.1,BoomBox,Independent
600,Corinthian Media*,New York,"8,446",8.7,Corinthian Media*,Independent
602,D Exposito & Partners,New York,"8,227",10.4,D Exposito & Partners,Independent
605,InVnt,New York,"8,160",32.5,InVnt,Independent
607,Launchpad Advertising,New York,"8,100",24.6,Launchpad Advertising,Independent
616,MBLM Advertising*,New York,"8,000",0.0,MBLM Advertising*,Independent
617,Strikeforce Communications,New York,"8,000",0.0,Strikeforce Communications,Independent
626,DeSantis Breindel,New York,"7,600",18.8,DeSantis Breindel,Independent
628,Digital Pulp,New York,"7,500",10.3,Digital Pulp,Independent
645,E & M Advertising*,New York,"7,125",-9.8,E & M Advertising*,Independent
665,Silver & Partners,New York,"6,500",8.3,Silver & Partners,Independent
669,Cheil Worldwide,New York,"6,409",-56.3,Cheil Worldwide,Independent
671,KraftWorks NYC,New York,"6,325",2.8,KraftWorks NYC,Independent
675,Barker/DZP,New York,"6,287",4.7,Barker/DZP,Independent
682,Mirrorball,New York,"6,050",10.0,Mirrorball,Independent
707,Brooklyn Brothers,New York,"5,600",12.0,Brooklyn Brothers,Independent
708,AY Digital,New York,"5,600",75.0,AY Digital,Independent
730,SMA NYC*,New York,"5,100",0.0,SMA NYC*,Independent
740,L3 Advertising,New York,"5,000",0.0,L3 Advertising,Independent
758,CooperKatz & Co.,New York,"4,466",-3.4,CooperKatz & Co.,Independent
796,Grok,New York,"3,700",0.0,Grok,Independent
813,Munn Rabot*,New York,"3,320",4.2,Munn Rabot*,Independent
816,Roth Partners,New York,"3,286",-34.1,Roth Partners,Independent
827,Ready Set Rocket,New York,"3,071",70.6,Ready Set Rocket,Independent
853,Ventura Associates International,New York,"2,618",-4.7,Ventura Associates International,Independent
860,Goldin Solutions*,New York,"2,500",0.0,Goldin Solutions*,Independent
877,Renegade,New York,"2,000",0.0,Renegade,Independent
907,ASB Communications*,New York,"1,456",-27.8,ASB Communications*,Independent
910,Oink Ink*,New York,"1,300",0.0,Oink Ink*,Independent
937,Hudson Media Services,New York,330,1.5,Hudson Media Services,Independent
