AGENCY-COMPANY,HEADQUARTERS,2014-REVENUE,% CHG
Epsilon [Alliance Data Systems Corp.],"Irving, Texas",1793417,4.9
Deloitte Digital* [Deloitte],Seattle,757100,NA
IBM Interactive Experience* [IBM Corp.],"Armonk, N.Y.",708520,NA
Acxiom Corp.*,"Little Rock, Ark.",706761,2.4
SapientNitro* [Publicis],Boston,606387,9.3
BBDO Worldwide* [Omnicom],New York,576840,4.5
Accenture Interactive [Accenture],New York,565765,NA
Leo Burnett Worldwide/Arc* [Publicis],Chicago,487455,-0.6
Edelman [DJE Holdings],Chicago,482138,7.1
PwC's Digital Services,"Hallandale Beach, Fla.",471000,NA
Rapp* [Omnicom],New York,454697,6
Publicis Worldwide* [Publicis],Paris,453848,1
McCann Erickson Worldwide* [Interpublic],New York,445000,10.7
DigitasLBi* [Publicis],Boston,443841,4
J. Walter Thompson Co.* [WPP],New York,435216,2
Y&R* [WPP],New York,435000,4.2
Experian Marketing Services [Experian],New York,433000,3.8
Harte Hanks*,San Antonio,427025,0.6
Weber Shandwick* [Interpublic],New York,425098,11
Merkle,"Columbia, Md.",424500,15.5
Wunderman* [WPP],New York,397840,0
Razorfish* [Publicis],New York,356600,-11.6
FleishmanHillard* [Omnicom],St. Louis,352484,5.4
IN Marketing Services* [Advantage Sales and Marketing],"Irvine, Calif.",352169,19.4
Havas Worldwide* [Havas],New York,342900,12.6
TBWA Worldwide* [Omnicom],New York,330965,2
FCB* [Interpublic],New York,328876,-5.2
Grey* [WPP],New York,317844,8
inVentiv Health*,New York,301280,12
Rosetta* [Publicis],"Hamilton, N.J.",293357,8.5
Mindshare Worldwide* [WPP],New York,289620,5.7
OgilvyOne Worldwide* [WPP],New York,288100,25.2
Saatchi & Saatchi* [Publicis],New York,288000,9.8
DDB Worldwide* [Omnicom],New York,287943,4
Starcom USA* [Publicis],Chicago,286734,2.8
Ketchum* [Omnicom],New York,280000,6.5
OMD Worldwide* [Omnicom],New York,274946,12.1
Ogilvy & Mather Advertising* [WPP],New York,273800,10.4
MediaVest USA* [Publicis],New York,270234,7.4
R/GA* [Interpublic],New York,258307,8.5
MRM//McCann* [Interpublic],New York,257825,10.5
eBay Enterprise [eBay],"King of Prussia, Pa.",253000,-5.6
Freeman,Dallas,246000,9.3
Zenith* [Publicis],New York,236252,5
Novus Media* [Omnicom],"Plymouth, Minn.",219738,0
MarketStar* [Omnicom],"Ogden, Utah",216091,0
MEC* [WPP],London,214600,16.6
FCB Health* [Interpublic],New York,208717,9.4
McGarryBowen* [Dentsu],New York,200000,-4.8
Burson-Marsteller* [WPP],New York,197354,1
Hill Holliday* [Interpublic],Boston,190532,-5
Geometry Global* [WPP],New York,190406,5
Havas Health* [Havas],New York,188500,4.1
Deutsch* [Interpublic],New York,188000,0.1
iCrossing* [Hearst Corp.],New York,187450,3
Horizon Media*,New York,187094,16
Richards Group,Dallas,186000,1.1
Wieden & Kennedy*,"Portland, Ore.",182917,2.9
MediaCom* [WPP],New York,175160,16
Catapult [Alliance Data Systems Corp.],"Westport, Conn.",171218,28.2
Huge* [Interpublic],"Brooklyn, N.Y.",169000,33.1
Marketing Arm* [Omnicom],Dallas,165000,10.5
VML* [WPP],"Kansas City, Mo.",164000,19.9
Carat* [Dentsu],New York,161947,5.5
Integer Group* [Omnicom],"Lakewood, Colo.",157800,8.6
AKQA* [WPP],San Francisco,150000,8.7
CP&B* [MDC Partners],"Boulder, Colo.",148407,-6.9
Ogilvy CommonHealth Worldwide* [WPP],"Parsippany, N.J.",145500,0.5
Cramer-Krasselt,Chicago,145371,-4.6
George P. Johnson [Project WorldWide],"Auburn Hills, Mich.",144689,4.3
Interbrand* [Omnicom],New York,143191,2.3
360i* [Dentsu],New York,143190,11
Mullen* [Interpublic],Boston,139875,8
Possible* [WPP],Seattle,139091,18.6
Hill&Knowlton Strategies* [WPP],New York,138424,-1.5
GMR Marketing* [Omnicom],"New Berlin, Wis.",137700,8
Match Marketing Group,"Mississauga, Ontario",135200,3.5
Meredith Xcelerated Marketing [Meredith Corp.],"Des Moines, Iowa",131000,2.3
Organic* [Omnicom],San Francisco,127439,2.3
UM* [Interpublic],New York,124522,4.5
Octagon* [Interpublic],"Norwalk, Conn.",123905,15.2
Assembly* [MDC Partners],New York,122350,NA
Zimmerman Advertising* [Omnicom],"Fort Lauderdale, Fla.",121705,0
Jack Morton Worldwide* [Interpublic],Boston,121475,0
Moxie* [Publicis],Atlanta,121000,0
Martin Agency* [Interpublic],"Richmond, Va.",120929,0.9
72andSunny* [MDC Partners],"Playa Vista, Calif.",120008,38.6
Proximity* [Omnicom],New York,119854,5.1
Ogilvy Public Relations* [WPP],New York,115300,-4.9
Trailer Park [Engine Group],Los Angeles,115000,9.5
Digitas Health LifeBrands* [Publicis],Philadelphia,115000,15
Golin* [Interpublic],Chicago,114313,6
Gyro*,New York,114000,3.6
Lowe* [Interpublic],London,113456,-5
KBS+* [MDC Partners],New York,110643,6.9
Havas Media Group* [Havas],"Puteaux, France",109900,17.4
"Goodby, Silverstein & Partners* [Omnicom]",San Francisco,108566,-10
PlattForm Advertising,"Lenexa, Kan.",107272,2.1
Maxus* [WPP],New York,105537,36.5
RPA,"Santa Monica, Calif.",105000,4
Initiative* [Interpublic],New York,104496,12.5
Doner* [MDC Partners],"Southfield, Mich.",104405,-0.7
MSL Group* [Publicis],Paris,103254,-7
Critical Mass* [Omnicom],"Calgary, Alberta",103000,13.2
CDM New York* [Omnicom],New York,102114,-5.4
Olson [ICF International's Olson],Minneapolis,101465,8.5
Klick Health [Klick Inc.],Toronto,100967,25.1
MRY* [Publicis],New York,100000,-1
OMG Entertainment & Sports* [Omnicom],New York,98453,5
Sudler & Hennessey* [WPP],New York,97000,-2.3
iProspect* [Dentsu],Boston,96659,1.1
Ansira,St. Louis,95556,0.3
TracyLocke* [Omnicom],Dallas,95550,-7.5
McCann Health* [Interpublic],New York,95201,4.8
Arnold Worldwide* [Havas],Boston,95000,-6.9
PHD* [Omnicom],New York,93879,5.5
GHG* [WPP],New York,93121,1.7
Derse*,Milwaukee,92186,6.1
Momentum Worldwide* [Interpublic],New York,91972,4.3
McMurry/TMG,New York,91525,0.3
Harrison & Star* [Omnicom],New York,89112,43.5
Waggener Edstrom Communications,"Bellevue, Wash.",87548,-10.9
Isobar* [Dentsu],London,87000,-1.7
TMP Worldwide Advertising & Communications,New York,86544,-0.9
Marketing Werks,Chicago,84810,16.4
GSD&M* [Omnicom],"Austin, Texas",83850,7.5
Brierley & Partners* [WPP],"Plano, Texas",83683,6.4
Targetbase* [Omnicom],"Irving, Texas",83503,0
Cohn & Wolfe* [WPP],New York,82909,9.1
Global Experience Specialists* [Viad Corp.'s Global Experience Specialists],Las Vegas,82900,10.4
Porter Novelli* [Omnicom],New York,82366,2.5
Team One* [Publicis],Los Angeles,81110,19.1
VSA Partners,Chicago,80690,9
Javelin Marketing Group* [Omnicom],"Irving, Texas",80100,23.2
Group360 Worldwide*,St. Louis,80000,23.1
Droga5*,New York,78000,44.4
Landor* [WPP],San Francisco,77143,-4.8
Intouch Solutions,"Overland Park, Kan.",76804,13.4
Blast Radius* [WPP],"Vancouver, British Columbia",76500,2
W2O Group,San Francisco,75670,8.6
22squared,Atlanta,75144,7.3
Resource/Ammirati,"Columbus, Ohio",75000,13.6
Mirum* [WPP],San Diego,74963,13.9
EPAM Systems,"Newtown, Pa.",74000,NA
Huntsworth Health [Huntsworth],"Yardley, Pa.",73809,15.2
Brunswick Group*,London,70600,8.3
Spark* [Publicis],Chicago,70389,35
HelloWorld,"Pleasant Ridge, Mich.",70000,7.2
CAHG* [Omnicom],Chicago,69722,8.5
Periscope,Minneapolis,69516,4.6
Apco Worldwide,Washington,69073,-9.8
Merkley & Partners* [Omnicom],New York,66842,6.1
SourceLink,"Itasca, Ill.",66800,-8.6
Team Enterprises* [MDC Partners],"Fort Lauderdale, Fla.",65000,0
OMG Outdoor Media Group* [Omnicom],New York,64870,5.5
FTI Consulting (Strategic Communications)*,New York,64210,0.5
Pacific Communications,"Costa Mesa, Calif.",63857,15.4
AbelsonTaylor,Chicago,63681,-7.9
Moroch Partners,Dallas,63428,5.3
Glover Park Group* [WPP],Washington,61934,0
Optimedia International U.S.* [Publicis],New York,61884,1.1
DDB Health/DDB Remedy* [Omnicom],New York,60866,-0.5
Wasserman Media Group*,Los Angeles,60280,12.8
Resolution Media* [Omnicom],Chicago,60163,14.6
SMG Performance Marketing* [Publicis],Chicago,59963,12
Rauxa,"Costa Mesa, Calif.",59637,9.5
Tribal Worldwide* [Omnicom],New York,59474,2.3
Finn Partners,New York,58921,9.2
R&R Partners,Las Vegas,58647,24.4
Ivie & Associates,"Flower Mound, Texas",57764,4.7
Marketing Store,Chicago,57501,17.5
Allen & Gerritsen,Boston,57435,5
PMK-BNC* [Interpublic],"West Hollywood, Calif.",55000,10
GMMB* [Omnicom],Washington,55000,71.9
PureRed,"Stone Mountain, Ga.",54509,-6.7
Mars Agency,"Southfield, Mich.",54231,9.4
MWWPR,New York,53517,14.8
Saatchi & Saatchi Wellness* [Publicis],New York,52000,4
Anomaly* [MDC Partners],New York,51523,19.4
Neo@Ogilvy* [WPP],New York,51219,14.6
GlobalHue*,"Southfield, Mich.",50816,-7.3
ICR,New York,50688,19.4
CDMiConnect* [Omnicom],New York,50484,23.2
Acronym,New York,50200,39.4
Publicis Life Brands Medicus* [Publicis],New York,50000,0
Fusion Marketing,St. Louis,50000,4.2
TPN* [Omnicom],Dallas,49500,10
Performics* [Publicis],Chicago,48716,4.7
Healthcare Consultancy Group* [Omnicom],New York,48450,2
Russ Reid Co.* [Omnicom],"Pasadena, Calif.",48428,6.4
Sard Verbinnen & Co.*,New York,47600,7.2
Giant Creative Strategy,San Francisco,47000,34.3
Ackerman McQueen,Oklahoma City,46887,15.4
AgencyRx* [Omnicom],New York,46543,-9.1
Barkley,"Kansas City, Mo.",46533,5.5
Ruder Finn,New York,46352,23.8
Paradysz & PM Digital,New York,45971,8.9
CementBloc,New York,45416,-3.4
David & Goliath*,"El Segundo, Calif.",44958,16.5
Water Cooler Group*,"Norwalk, Conn.",44506,7.4
R2C Group,"Portland, Ore.",44239,3.5
Carmichael Lynch* [Interpublic],Minneapolis,44040,8
Havas PR* [Havas],New York,43900,-6
U.S. International Media*,Los Angeles,43661,0.6
Marc USA,Pittsburgh,43417,5.8
Tukaiz,"Franklin Park, Ill.",42834,-7.9
Commonground/MGS,New York,42492,4.4
MKTG* [Dentsu],New York,42457,1.1
Lopez Negrete Communications,Houston,42300,26.3
DKC,New York,41500,13.7
JWT Inside* [WPP],"Santa Monica, Calif.",41090,3.5
BFG Communications,"Bluffton, S.C.",41072,-27.3
Allied Integrated Marketing,"Cambridge, Mass.",40531,8
EG+ Worldwide* [Omnicom],"Long Beach, Calif.",40301,1.7
Code & Theory,New York,40000,33.3
Mithun* [Interpublic],Minneapolis,39780,0
Finsbury* [WPP],New York,39693,0
Sparks,Philadelphia,39225,18.1
"Venables, Bell & Partners",San Francisco,39000,-4.9
Essence,London,38511,63.3
Deep Focus [Engine Group],New York,38501,29.7
Siegel & Gale* [Omnicom],New York,38448,-15.5
BVK,Milwaukee,38400,13.6
Magna Global* [Interpublic],New York,38030,9.4
Colle & McVoy* [MDC Partners],Minneapolis,38000,2.7
Discovery USA* [Publicis],Chicago,38000,0
Bernstein-Rein Advertising,"Kansas City, Mo.",37492,-12.4
Grayling [Huntsworth],London,37315,-4.1
Bartle Bogle Hegarty* [Publicis],London,37246,13.9
HackerAgency* [Interpublic],Seattle,37229,-9
Inter/Media Advertising*,"Woodland Hills, Calif.",36845,8.2
Big Fuel Communications* [Publicis],New York,36673,45
Mercury Media*,"Santa Monica, Calif.",36380,5
Translation*,New York,36316,5.3
Rockfish* [WPP],"Rogers, Ark.",36309,0
Eric Mower & Associates,"Syracuse, N.Y.",36260,0.3
LatinWorks* [Omnicom],"Austin, Texas",36010,-0.9
Bader Rutter & Associates,"Brookfield, Wis.",35797,-6.2
Adcom Group,Cleveland,35312,21.3
Marina Maher Communications* [Omnicom],New York,35300,6
Kekst & Co.* [Publicis],New York,35000,1.4
Conill* [Publicis],"El Segundo, Calif.",34496,15
Saatchi & Saatchi X* [Publicis],"Springdale, Ark.",34201,0
Doremus* [Omnicom],New York,34061,1.2
FutureBrand* [Interpublic],London,34025,3.4
Anderson Direct & Digital,"Poway, Calif.",34012,-10.9
Grizzard Communications Group* [Omnicom],Atlanta,33975,-6.7
Kinetic* [WPP],New York,33956,11
McKinney [Cheil Worldwide],"Durham, N.C.",33896,6.6
Brodeur Partners*,Boston,33354,9
Pop* [Advance Publications],Seattle,33179,-3.6
Mother New York [Mother Holdings],New York,33000,4.8
MCD Partners,New York,32500,13
MMGY Global,"Kansas City, Mo.",32490,7.4
CMD,"Portland, Ore.",32187,7.4
Ayzenberg Group,"Pasadena, Calif.",32000,4.9
Bravo Group* [WPP],Miami,32000,0
Allison & Partners* [MDC Partners],San Francisco,31740,NA
Team Epic* [Dentsu],"Norwalk, Conn.",31738,-8.8
PadillaCRT,Minneapolis,31624,-2.2
CDM Princeton* [Omnicom],"Princeton, N.J.",31422,19
Fallon* [Publicis],Minneapolis,31287,-19
CCG Marketing Solutions,"West Caldwell, N.J.",31000,4.6
Matomy* [Matomy Media Group],New York,30618,21.2
Eleven,San Francisco,30506,18.6
T3,"Austin, Texas",30375,-1.6
Davis Elen Advertising,Los Angeles,30332,9.7
Swirl*,San Francisco,30137,33.5
WongDoody,Seattle,30000,3.4
Publicis Health Media* [Publicis],Philadelphia,30000,20
CMI/Compas*,"King of Prussia, Pa.",29903,13.4
Vizeum* [Dentsu],New York,29871,160
Orion Holdings* [Interpublic],New York,29796,1.3
Fahlgren Mortine,"Columbus, Ohio",29681,6.2
Wire Stone,San Francisco,29327,11.5
Firstborn* [Dentsu],New York,29242,8.3
Brunner,Pittsburgh,29100,0.3
Greater Than One,New York,29045,21.3
Laughlin Constable,Milwaukee,28500,-1.7
180 Amsterdam/180LA* [Omnicom],Amsterdam,28456,21.6
Star Group,"Voorhees, N.J.",28425,8
Alma* [Omnicom],Miami,28415,13.7
Zeno Group [DJE Holdings],New York,28299,0.6
Switch,St. Louis,28235,-13.7
"Butler, Shine, Stern & Partners","Sausalito, Calif.",28211,-3.9
ID Media* [Interpublic],New York,28000,7.7
Blue State Digital* [WPP],New York,28000,0
Lewis PR,San Francisco,27900,22.9
Fitch* [WPP],London,27759,0
Omelet,"Culver City, Calif.",27600,10
Jackson Marketing Group,"Greenville, S.C.",27250,9
A.B. Data,Milwaukee,27107,-17.1
Martin Williams* [Omnicom],Minneapolis,26800,-4.8
Grupo Gallegos,"Huntington Beach, Calif.",26000,40.5
Cramer,"Norwood, Mass.",26000,-10.3
Enlighten,"Ann Arbor, Mich.",26000,18.2
Dailey* [Interpublic],"West Hollywood, Calif.",25913,0
Cadient,"Malvern, Pa.",25500,24.4
Regan Communications Group*,Boston,25475,9
G&S Business Communications*,New York,25438,13.1
Kobie Marketing,"St. Petersburg, Fla.",25333,26.2
Alcone Marketing* [Omnicom],"Irvine, Calif.",25303,0
Tapestry* [Publicis],Chicago,25279,4.5
Didit,"Mineola, N.Y.",25240,9.4
Mekanism,San Francisco,25161,14
M&C Saatchi,London,25009,34.2
OutCast Agency [Next Fifteen Communications Group],San Francisco,25000,19
Biolumina* [Omnicom],New York,25000,8.9
Source Marketing* [MDC Partners],"Norwalk, Conn.",25000,-10.7
Text 100 [Next Fifteen Communications Group],New York,24852,20
Adelphi Group* [Omnicom],New York,24821,0.7
Fuseideas,"Winchester, Mass.",24550,9.6
Empower MediaMarketing,Cincinnati,24500,18.4
French/West/Vaughan,"Raleigh, N.C.",24202,0.8
Pereira & O'Dell [Grupo ABC],San Francisco,24000,20
Via Agency,"Portland, Maine",23850,6
MMB*,Boston,23823,11.1
Upshot,Chicago,23700,5.3
Concentric Health Experience* [MDC Partners],New York,23400,25.8
GA Communication Group,Chicago,23100,2.7
Coyne Public Relations,"Parsippany, N.J.",23010,14.8
Gravity Media,New York,22945,3
HL Group* [MDC Partners],New York,22795,9.6
Geary LSF Group,San Francisco,22659,-14.9
Revolution,Chicago,22630,20
EVB*,"Oakland, Calif.",22545,23.1
Haworth Marketing & Media*,Minneapolis,22475,3.6
MV42* [Publicis],New York,22444,16
Kern* [Omnicom],"Woodland Hills, Calif.",22370,3.5
Osborn Barr,St. Louis,22246,1.2
Avrett Free Ginsberg* [Interpublic],New York,22199,0
John McNeil Studio,"Berkeley, Calif.",22058,55.1
Laird & Partners* [MDC Partners],New York,21927,1.6
Blitz,"Santa Monica, Calif.",21898,10.6
RevHealth*,"Morristown, N.J.",21848,17.9
Barbarian Group [Cheil Worldwide],New York,21772,23.5
Entree Health New York* [Omnicom],New York,21772,0
Legacy Marketing Partners,Chicago,21744,14.9
Red Interactive Agency*,"Santa Monica, Calif.",21738,14.6
Scoppechio,"Louisville, Ky.",21722,11.7
Taylor,New York,21700,2.8
The Search Agency*,Los Angeles,21563,-1.2
Gotham Beauty* [Interpublic],New York,21556,-9
Connelly Partners,Boston,21548,2.6
Peter A. Mayer Advertising,New Orleans,21375,-15.9
Closerlook*,Chicago,21368,27.6
Dieste* [Omnicom],Dallas,21250,3.6
Walton Isaacson,"Culver City, Calif.",21022,8.4
Sigma Group,"Upper Saddle River, N.J.",21000,7.7
Images USA,Atlanta,21000,0
LLNS* [Omnicom],New York,20900,10
Vitro* [MDC Partners],San Diego,20900,0
Roberts & Langer DDB* [Omnicom],New York,20851,4.3
Marcus Thomas,Cleveland,20820,14.7
Racepoint Global,Boston,20547,18.3
Elite SEM*,New York,20400,47.8
Fingerpaint,"Saratoga Springs, N.Y.",20346,7.7
Hunter Public Relations* [MDC Partners],New York,20250,10
Heartbeat Ideas* [Publicis],New York,20000,0
Razorfish Health* [Publicis],New York,20000,0
Flashpoint Medica* [Omnicom],New York,19989,0
Dudnyk*,"Horsham, Pa.",19900,19.9
Cone Communications* [Omnicom],Boston,19808,0
Adams & Knight,"Avon, Conn.",19787,27.8
Schafer Condon Carter,Chicago,19772,7.8
GlynnDevins Advertising & Marketing,"Overland Park, Kan.",19673,11.7
LeadDog Marketing Group,New York,19614,18.7
Mastermind Involvement Marketing,Atlanta,19500,9.6
HY Connect,Chicago,19478,-6.5
Tierney* [Interpublic],Philadelphia,19440,16
Trisect,Chicago,19428,-9.6
Archer Malmo,"Memphis, Tenn.",19290,27.7
Digital Kitchen,Seattle,19200,-5.4
Vision7 International [BlueFocus Communication Group],Quebec City,19032,12.4
5W Public Relations,New York,18961,18.4
Zubi Advertising Services,"Coral Gables, Fla.",18900,-0.5
M Booth [Next Fifteen Communications Group],New York,18848,8.2
Riester,Phoenix,18742,10.9
Fathom,"Valley View, Ohio",18551,13.9
Agency 720* [Omnicom],Detroit,18489,-3
Shift Communications,"Newton, Mass.",18445,-1.1
McGarrah Jessee,"Austin, Texas",18400,38.7
Burrell Communications Group* [Publicis],Chicago,18164,-6.5
Rodgers Townsend* [Omnicom],St. Louis,18000,11
Risdall Marketing Group*,"New Brighton, Minn.",17950,1
Gage,Minneapolis,17900,-24.2
Sterling-Rice Group,"Boulder, Colo.",17600,-14.1
Serino/Coyne* [Omnicom],New York,17597,-8.8
Moosylvania*,St. Louis,17581,-4.5
3Q Digital [Harte Hanks],"San Mateo, Calif.",17548,22.2
Casanova Pendrill* [Interpublic],"Costa Mesa, Calif.",17500,25.8
Godfrey Q,San Francisco,17500,2.9
Direct Partners* [Omnicom],"Marina del Rey, Calif.",17468,11.4
SparkPR,San Francisco,17425,26.6
TM Advertising* [Interpublic],Dallas,17394,-25
Mitchell Communications Group* [Dentsu],"Fayetteville, Ark.",17393,15.8
Wpromote,"El Segundo, Calif.",17389,37.5
Swanson Russell*,"Lincoln, Neb.",17360,0.3
Sprocket Media*,"Pasadena, Calif.",17328,-4.3
H&L Partners,San Francisco,17101,12.9
Marquette Group,"Peoria, Ill.",17074,-22.3
Sanders/Wingo,"El Paso, Texas",17029,11.4
Bottle Rocket* [WPP],Dallas,17000,0
GlobalWorks Group*,New York,17000,13.3
Iris Worldwide [Cheil Worldwide],New York,16958,-26.9
Peppercomm,New York,16958,-3.9
Liquid Agency,"San Jose, Calif.",16944,-0.4
Zambezi,"Venice, Calif.",16912,13.8
Duncan/Channon,San Francisco,16400,15.5
AdAsia Communications,"Englewood Cliffs, N.J.",16394,5.8
GKV,Baltimore,16378,4.8
UniWorld Group* [WPP],"Brooklyn, N.Y.",16357,-5.8
MSI*,Chicago,16300,-6.8
Pitch [Project WorldWide],"Culver City, Calif.",16200,32.8
Carrot Creative*,"Brooklyn, N.Y.",16170,56.4
Fitzgerald & Co.* [Interpublic],Atlanta,16154,2
SK&G*,Las Vegas,16148,-15.7
Sundog,"Fargo, N.D.",16134,1.6
Underground Elephant*,San Diego,16064,16.4
Sullivan Higdon & Sink,"Wichita, Kan.",16059,0.9
Eveo,San Francisco,16000,-3
Partners & Napier [Project WorldWide],"Rochester, N.Y.",16000,-8.3
Trozzolo Communications Group,"Kansas City, Mo.",15715,15.8
Elias/Savion Advertising,Pittsburgh,15708,42.1
Cooney/Waters Unlimited [Creston],New York,15438,10.1
BKV,Atlanta,15400,8.5
TBC,Baltimore,15400,-3.8
MX Group,"Burr Ridge, Ill.",15275,14
Space150,Minneapolis,15272,8.8
Ignited,"El Segundo, Calif.",15270,-17.5
KHJ Brand Activation,Boston,15250,5.2
Ignite Social Media*,"Cary, N.C.",15161,7.8
Sawtooth,"Red Bank, N.J.",15050,-11
Chandelier Creative,New York,15000,7.1
