,2011-HOLDING,2011-COUNT,2011-REVENUE
1,Aegis Group,5,284081000
7,Daniel J. Edelman,2,397351000
8,Dentsu,6,316420000
17,Hearst Corp.'s iCrossing,1,161000000
19,Hyper Marketing,5,327093000
20,IBM Corp.'s IBM Interactive,1,255000000
29,Meredith Corp.'s Meredith Xcelerated Marketing,1,180000000
34,Project WorldWide,2,165116000
41,Sapient Corp.'s SapientNitro,1,450400000
45,eBay's GSI Marketing Services,1,226700000
