,2014-HOLDING,2014-COUNT,2014-REVENUE
2,Advantage Sales and Marketing,1,352169000
11,Engine Group,2,153501000
12,Experian,1,433000000
17,Hearst Corp.,1,187450000
31,Project WorldWide,4,187889000
35,eBay,1,253000000
