,AGENCY-COMPANY,HEADQUARTERS,2015-REVENUE,% CHG,AGENCY-NAME,AGENCY-OWNER
0,Epsilon [Alliance Data Systems Corp.],"Irving, Texas",185504500,3.5,Epsilon ,Alliance Data Systems Corp.
1,Accenture Interactive [Accenture],New York,123159600,70.8,Accenture Interactive ,Accenture
2,Deloitte Digital* [Deloitte],New York,86520000,,Deloitte Digital* ,Deloitte
3,IBM Interactive Experience* [IBM Corp.],"Armonk, N.Y.",79680000,,IBM Interactive Experience* ,IBM Corp.
4,Acxiom Corp.*,"Little Rock, Ark.",76529900,7.0,Acxiom Corp.*,Independent
5,Razorfish Global* [Publicis],New York,65166500,-1.3,Razorfish Global* ,Publicis
6,PwC Digital Services [PwC],New York,62400000,,PwC Digital Services ,PwC
7,BBDO Worldwide* [Omnicom],New York,60279800,4.5,BBDO Worldwide* ,Omnicom
8,SapientNitro* [Publicis],Boston,58500000,1.3,SapientNitro* ,Publicis
9,McCann* [Interpublic],New York,56186000,15.9,McCann* ,Interpublic
10,Edelman [DJE Holdings],Chicago,52306500,8.5,Edelman ,DJE Holdings
11,J. Walter Thompson Co.* [WPP],New York,50417600,5.9,J. Walter Thompson Co.* ,WPP
12,Leo Burnett Worldwide/Arc* [Publicis],Chicago,48936900,-1.0,Leo Burnett Worldwide/Arc* ,Publicis
13,Publicis Worldwide* [Publicis],Paris,48788700,7.5,Publicis Worldwide* ,Publicis
14,Advantage Marketing Partners [Advantage Solutions],"Irvine, Calif.",48066800,9.2,Advantage Marketing Partners ,Advantage Solutions
15,Merkle,"Columbia, Md.",46450000,5.8,Merkle,Independent
16,DigitasLBi* [Publicis],Boston,45875400,3.4,DigitasLBi* ,Publicis
17,Rapp* [Omnicom],New York,45804000,0.7,Rapp* ,Omnicom
18,Y&R* [WPP],New York,45457500,4.5,Y&R* ,WPP
19,Weber Shandwick* [Interpublic],New York,44869100,5.6,Weber Shandwick* ,Interpublic
20,Experian Marketing Services [Experian],New York,43200000,-0.2,Experian Marketing Services ,Experian
21,Wunderman* [WPP],New York,41574300,4.5,Wunderman* ,WPP
22,Harte Hanks*,San Antonio,38094000,-14.3,Harte Hanks*,Independent
23,TBWA Worldwide* [Omnicom],New York,36166100,7.5,TBWA Worldwide* ,Omnicom
24,Havas Worldwide* [Havas],New York,35860000,4.6,Havas Worldwide* ,Havas
25,FleishmanHillard* [Omnicom],St. Louis,35045800,-0.6,FleishmanHillard* ,Omnicom
26,FCB* [Interpublic],New York,33783800,2.0,FCB* ,Interpublic
27,Grey* [WPP],New York,33620900,5.8,Grey* ,WPP
28,Mindshare Worldwide* [WPP],New York,33173100,14.5,Mindshare Worldwide* ,WPP
29,inVentiv Health* [inVentiv Group Holdings],New York,32584400,8.2,inVentiv Health* ,inVentiv Group Holdings
30,Mosaic [Acosta],"Irving, Texas",32171700,5.9,Mosaic ,Acosta
31,DDB Worldwide* [Omnicom],New York,32020000,11.2,DDB Worldwide* ,Omnicom
32,OMD Worldwide* [Omnicom],New York,30150000,12.5,OMD Worldwide* ,Omnicom
33,Ketchum* [Omnicom],New York,30000000,10.8,Ketchum* ,Omnicom
34,OgilvyOne Worldwide* [WPP],New York,29250000,1.5,OgilvyOne Worldwide* ,WPP
35,Starcom USA* [Publicis],Chicago,28931500,0.9,Starcom USA* ,Publicis
36,R/GA* [Interpublic],New York,28413700,10.0,R/GA* ,Interpublic
37,Saatchi & Saatchi* [Publicis],New York,28200000,-2.1,Saatchi & Saatchi* ,Publicis
38,Mediavest USA* [Publicis],New York,27239600,0.8,Mediavest USA* ,Publicis
39,Ogilvy & Mather Advertising* [WPP],New York,26962000,-1.5,Ogilvy & Mather Advertising* ,WPP
40,Zenith* [Publicis],New York,26672900,12.9,Zenith* ,Publicis
41,Freeman,Dallas,26000000,5.7,Freeman,Independent
42,MRM//McCann* [Interpublic],New York,24490000,6.0,MRM//McCann* ,Interpublic
43,FCB Health* [Interpublic],New York,24482500,17.3,FCB Health* ,Interpublic
44,Novus Media* [Omnicom],"Plymouth, Minn.",23745900,8.1,Novus Media* ,Omnicom
45,MEC* [WPP],London,23487800,9.4,MEC* ,WPP
46,Horizon Media*,New York,22500000,20.3,Horizon Media*,Independent
47,iCrossing* [Hearst Corp.],New York,22494000,20.0,iCrossing* ,Hearst Corp.
48,Wieden & Kennedy*,"Portland, Ore.",21900000,6.3,Wieden & Kennedy*,Independent
49,MarketStar* [Omnicom],"Ogden, Utah",21768000,0.7,MarketStar* ,Omnicom
50,Burson-Marsteller* [WPP],New York,21746700,3.6,Burson-Marsteller* ,WPP
51,MediaCom* [WPP],New York,21105000,20.5,MediaCom* ,WPP
52,Deutsch* [Interpublic],New York,20868000,11.0,Deutsch* ,Interpublic
53,McGarryBowen* [Dentsu],New York,19600000,-2.0,McGarryBowen* ,Dentsu
54,Havas Health* [Havas],New York,19550000,3.7,Havas Health* ,Havas
55,Catapult [Alliance Data Systems Corp.],"Westport, Conn.",19542000,14.1,Catapult ,Alliance Data Systems Corp.
56,Marketing Arm* [Omnicom],Dallas,19300000,17.0,Marketing Arm* ,Omnicom
57,Richards Group,Dallas,19000000,2.2,Richards Group,Independent
58,VML* [WPP],"Kansas City, Mo.",18300000,11.6,VML* ,WPP
59,Hill Holliday Group* [Interpublic],Boston,17863000,-6.2,Hill Holliday Group* ,Interpublic
60,Huge* [Interpublic],"Brooklyn, N.Y.",17730000,4.9,Huge* ,Interpublic
61,Geometry Global* [WPP],New York,17455600,-8.3,Geometry Global* ,WPP
62,MSL Group* [Publicis],Paris,17273200,5.0,MSL Group* ,Publicis
63,George P. Johnson [Project WorldWide],"Auburn Hills, Mich.",16877900,13.5,George P. Johnson ,Project WorldWide
64,360i* [Dentsu],New York,16820000,17.5,360i* ,Dentsu
65,ICF Olson [ICF International],Minneapolis,16500000,,ICF Olson ,ICF International
66,AKQA* [WPP],London,16300000,8.7,AKQA* ,WPP
67,Carat* [Dentsu],London,15708800,-3.0,Carat* ,Dentsu
68,Ogilvy CommonHealth Worldwide* [WPP],"Parsippany, N.J.",15514400,6.6,Ogilvy CommonHealth Worldwide* ,WPP
69,Interbrand* [Omnicom],New York,15420000,7.7,Interbrand* ,Omnicom
70,Match Marketing Group,"Mississauga, Ontario",15324700,13.3,Match Marketing Group,Independent
71,Possible* [WPP],Seattle,15300000,10.0,Possible* ,WPP
72,MullenLowe* [Interpublic],Boston,15239500,9.0,MullenLowe* ,Interpublic
73,Integer Group* [Omnicom],"Lakewood, Colo.",14991000,-5.0,Integer Group* ,Omnicom
74,CP&B* [MDC Partners],"Boulder, Colo.",14840700,0.0,CP&B* ,MDC Partners
75,Maxus* [WPP],New York,14775100,40.0,Maxus* ,WPP
76,Havas Media Group* [Havas],"Puteaux, France",14699100,,Havas Media Group* ,Havas
77,Hill&Knowlton Strategies* [WPP],New York,14327600,3.5,Hill&Knowlton Strategies* ,WPP
78,GMR Marketing* [Omnicom],"New Berlin, Wis.",13871300,0.7,GMR Marketing* ,Omnicom
79,UM* [Interpublic],New York,13459900,6.3,UM* ,Interpublic
80,Zimmerman Advertising* [Omnicom],"Fort Lauderdale, Fla.",13387600,10.0,Zimmerman Advertising* ,Omnicom
81,Organic* [Omnicom],New York,13126200,3.0,Organic* ,Omnicom
82,Cramer-Krasselt,Chicago,13114900,-9.8,Cramer-Krasselt,Independent
83,Momentum Worldwide* [Interpublic],New York,12753600,0.9,Momentum Worldwide* ,Interpublic
84,Martin Agency* [Interpublic],"Richmond, Va.",12600800,4.2,Martin Agency* ,Interpublic
85,Droga5,New York,12600000,61.5,Droga5,Independent
86,72andSunny* [MDC Partners],"Playa Vista, Calif.",12443200,20.6,72andSunny* ,MDC Partners
87,Octagon* [Interpublic],"Norwalk, Conn.",12429100,0.3,Octagon* ,Interpublic
88,Ansira,St. Louis,12404100,7.9,Ansira,Independent
89,Meredith Xcelerated Marketing [Meredith Corp.],"Des Moines, Iowa",12400000,-5.3,Meredith Xcelerated Marketing ,Meredith Corp.
90,Proximity* [Omnicom],New York,12344900,3.0,Proximity* ,Omnicom
91,Golin* [Interpublic],Chicago,12340100,7.9,Golin* ,Interpublic
92,OMG Entertainment & Sports* [Omnicom],New York,12306600,25.0,OMG Entertainment & Sports* ,Omnicom
93,Trailer Park [Engine Group],Los Angeles,12300000,7.0,Trailer Park ,Engine Group
94,Jack Morton Worldwide* [Interpublic],Boston,12218000,-3.3,Jack Morton Worldwide* ,Interpublic
95,Ogilvy Public Relations* [WPP],New York,12100000,4.9,Ogilvy Public Relations* ,WPP
96,Critical Mass* [Omnicom],"Calgary, Canada",12100000,17.5,Critical Mass* ,Omnicom
97,GHG/GreyHealth Group* [WPP],New York,12000000,10.0,GHG/GreyHealth Group* ,WPP
98,Gyro*,New York,11700000,2.6,Gyro*,Independent
99,KBS* [MDC Partners],New York,11515400,11.0,KBS* ,MDC Partners
100,Digitas Health LifeBrands* [Publicis],Philadelphia,11500000,0.0,Digitas Health LifeBrands* ,Publicis
101,RPA,"Santa Monica, Calif.",11300000,7.6,RPA,Independent
102,CDM New York* [Omnicom],New York,11232600,10.0,CDM New York* ,Omnicom
103,Moxie* [Publicis],Atlanta,11024700,-8.9,Moxie* ,Publicis
