Advance Publications,1
Alliance Data Systems Corp.,2
Asatsu-DK,1
Cheil Worldwide,2
Creston,1
DJE Holdings,2
Deloitte Touche Tohmatsu,1
Dentsu,12
Engine Group,2
Experian,1
FullSix Group,1
Grupo ABC,2
Harte-Hanks,1
Havas,5
Hawkeye Group,1
HealthStar Communications,1
Hearst Corp.,1
Huntsworth,2
IBM Corp.,1
Independent,639
Interpublic,38
Iris Worldwide,1
Klick Inc.,1
MDC Partners,24
MSQ Partners,1
Marc USA,1
Matomy Media Group,1
Meredith Corp.,1
Mother Holdings,1
Next Fifteen Communications Group,3
Omnicom,68
Project WorldWide,2
Publicis,41
Quebecor Media's Nurun,1
Regan Communications Group,1
Richards Group,1
RiverNorth Group,1
Ruder Finn Group,3
Sapient Corp.,1
TMP Worldwide,1
Viad Corp.,1
WPP,53
eBay,1
